"Genus","Species","Kingdom","Phylum","Class","Order","Family","limit_type","Tpref","ref_Tpref","n_Tpref","ref_from_ref","notes_Tpref"
"Liolaemus","petrophilus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","pictus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","platei","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","poecilochromus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","pseudoanomalus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","pseudolemniscatus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","quilmes","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","riojanus","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","robertmertensi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","rothi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","salinicola","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","scapularis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","schroederi","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
"Liolaemus","telsen","Animalia","Chordata","Reptilia","Squamata","Iguanidae","max, min",NA,NA,NA,NA,NA
"Liolaemus","tenuis","Animalia","Chordata","Reptilia","Squamata","Iguanidae","min",NA,NA,NA,NA,NA
