"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name"
"Diplodus","sargus","max",33.8,"ct",38,38,-9,0,24,24,0.017,NA,"Chordata","Actinopteri","Spariformes","Sparidae","Marine","ectotherm","Diplodus_sargus","Madeira_et_al_2012",22.84000015,1.15999985,"Diplodus sargus"
"Diplodus","vulgaris","max",31.1,"ct",38,38,-9,0,24,24,0.017,NA,"Chordata","Actinopteri","Spariformes","Sparidae","Marine","ectotherm","Diplodus_vulgaris","Madeira_et_al_2012",22.84000015,1.15999985,"Diplodus vulgaris"
"Dipoena","inornata","max",43.2,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Theridiidae","Terrestrial","ectotherm","Dipoena_inornata","Almquist_1970",20.58191681,-5.58191681,"Dipoena inornata"
"Dipoena","inornata","min",-16.4,"lt",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Theridiidae","Terrestrial","ectotherm","Dipoena_inornata","Almquist_1970",-1.632228255,5.632228255,"Dipoena inornata"
"Dipsosaurus","dorsalis","max",47.5,"ct",35.7,35.7,-116.34,47,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Dipsosaurus_dorsalis","Cowles_&_Bogert_1944",39.159832,NA,"Dipsosaurus dorsalis"
"Dipsosaurus","dorsalis","min",14,"ct",34.15,34.15,-116.34,594,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Dipsosaurus_dorsalis","Simandle_et_al_2001",1.465982318,NA,"Dipsosaurus dorsalis"
"Distaplia","occidentalis","max",21.9,"lt",38.33,38.33,-123.06,0,12,0.067,NA,24,"Chordata","Ascidiacea","Enterogona","Clavelinidae","Marine","ectotherm","Distaplia_occidentalis","Zerebecki_&_Sorte_2011",17.40999985,-5.40999985,"Distaplia occidentalis"
"Divaricella","irpex","max",36.94,"lt",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Divaricella_irpex","Compton_et_al2007",31.47999954,-6.47999954,"Divaricella irpex"
"Divaricella","irpex","min",5.51,"lt",-17,17,122,0,25,NA,NA,24,"Mollusca","Bivalvia","Lucinoida","Lucinidae","Intertidal","ectotherm","Divaricella_irpex","Compton_et_al2007",23.37999916,1.62000084,"Divaricella irpex"
"Dolichoderus","beccarii","max",45.63,"ct",4.05,4.05,114.81,0,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Dolichoderus_beccarii","Diamond_et_al_2012",31.30045509,-6.30045509,"Dolichoderus beccarii"
"Dolichoderus","cuspidatus","max",44.5,"ct",4.05,4.05,114.81,0,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Dolichoderus_cuspidatus","Diamond_et_al_2012",31.30045509,-6.30045509,"Dolichoderus cuspidatus"
"Donax","serra","max",33,"lt",-33.9,33.9,25.6,0,20,NA,NA,12,"Mollusca","Bivalvia","Veneroida","Donacidae","Marine","ectotherm","Donax_serra","Ansell_&_McLachlan_1980",25.38999939,-5.38999939,"Donax serra"
"Donax","sordidus","max",35,"lt",-33.9,33.9,25.6,0,20,NA,NA,12,"Mollusca","Bivalvia","Veneroida","Donacidae","Marine","ectotherm","Donax_sordidus","Ansell_&_McLachlan_1980",25.38999939,-5.38999939,"Donax sordidus"
"Dorymyrmex","sp.1","max",48.5,"ct",35.77,35.77,-78.68,146,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Dorymyrmex_sp.1","Diamond_et_al_2012",32.93321609,-7.93321609,"Dorymyrmex sp.1"
"Drosophila","angularis","max",34.4,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_angularis","Kimura_2004",29.98994637,NA,"Drosophila angularis"
"Drosophila","angularis","min",-2.1,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_angularis","Kimura_2004",-0.012384742,NA,"Drosophila angularis"
"Drosophila","auraria","max",33.9,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_auraria","Kimura_2004",24.39656448,NA,"Drosophila auraria"
"Drosophila","auraria","min",-3.3,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_auraria","Kimura_2004",-8.855576515,NA,"Drosophila auraria"
"Drosophila","biauraria","max",32.5,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_biauraria","Kimura_2004",24.39656448,NA,"Drosophila biauraria"
"Drosophila","biauraria","min",-2.7,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_biauraria","Kimura_2004",-8.855576515,NA,"Drosophila biauraria"
"Drosophila","bipectinata","max",33.5,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_bipectinata","Kimura_2004",NA,NA,"Drosophila bipectinata"
"Drosophila","bipectinata","min",7.1,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_bipectinata","Kimura_2004",NA,NA,"Drosophila bipectinata"
"Drosophila","birchii","max",35.5,"ct",-17,17,146,130,25,NA,NA,NA,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_birchii","Berrigan_2000",29.40991592,-4.40991592,"Drosophila birchii"
"Drosophila","bizonata","max",32.9,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_bizonata","Kimura_2004",29.98994637,NA,"Drosophila bizonata"
"Drosophila","bizonata","min",-2.7,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_bizonata","Kimura_2004",-0.012384742,NA,"Drosophila bizonata"
"Drosophila","bocki","max",33.2,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_bocki","Kimura_2004",NA,NA,"Drosophila bocki"
"Drosophila","bocki","min",6.8,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_bocki","Kimura_2004",NA,NA,"Drosophila bocki"
"Drosophila","brachynephros","max",33.6,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_brachynephros","Kimura_2004",24.39656448,NA,"Drosophila brachynephros"
"Drosophila","brachynephros","min",-3.7,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_brachynephros","Kimura_2004",-8.855576515,NA,"Drosophila brachynephros"
"Drosophila","curviceps","max",30,"lt",36.5,36.5,138.5,1600,21,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_curviceps","Ohtsu_et_al_1999",30.02619171,-9.02619171,"Drosophila curviceps"
"Drosophila","curviceps","min",-3,"lt",36.5,36.5,138.5,1600,21,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_curviceps","Ohtsu_et_al_1999",-5.633777618,26.63377762,"Drosophila curviceps"
"Drosophila","curvispina","max",32.6,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_curvispina","Kimura_2004",24.39656448,NA,"Drosophila curvispina"
"Drosophila","curvispina","min",-4.5,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_curvispina","Kimura_2004",-8.855576515,NA,"Drosophila curvispina"
"Drosophila","daruma","max",33.4,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_daruma","Kimura_2004",29.98994637,NA,"Drosophila daruma"
"Drosophila","daruma","min",-0.2,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_daruma","Kimura_2004",-0.012384742,NA,"Drosophila daruma"
"Drosophila","elegans","max",33.6,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_elegans","Kimura_2004",NA,NA,"Drosophila elegans"
"Drosophila","elegans","min",3.6,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_elegans","Kimura_2004",NA,NA,"Drosophila elegans"
"Drosophila","ficusphila","max",33.5,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_ficusphila","Kimura_2004",NA,NA,"Drosophila ficusphila"
"Drosophila","ficusphila","min",1.7,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_ficusphila","Kimura_2004",NA,NA,"Drosophila ficusphila"
"Drosophila","guttifera","max",35.8,"ct",32,32,-99,400,25,NA,NA,NA,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_guttifera","Berrigan_2000",35.68505859,-10.68505859,"Drosophila guttifera"
"Drosophila","immigrans","max",31.5,"lt",43,43,141.3,30,21,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_immigrans","Ohtsu_et_al_1999",24.39656448,-3.39656448,"Drosophila immigrans"
"Drosophila","immigrans","min",1,"lt",43,43,141.3,30,21,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_immigrans","Ohtsu_et_al_1999",-8.855576515,29.85557652,"Drosophila immigrans"
"Drosophila","kanekoi","max",35.4,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_kanekoi","Kimura_2004",24.39656448,NA,"Drosophila kanekoi"
"Drosophila","kanekoi","min",-5.5,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_kanekoi","Kimura_2004",-8.855576515,NA,"Drosophila kanekoi"
"Drosophila","lacertosa","max",31,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_lacertosa","Kimura_2004",24.39656448,NA,"Drosophila lacertosa"
"Drosophila","lacertosa","min",0.7,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_lacertosa","Kimura_2004",-8.855576515,NA,"Drosophila lacertosa"
"Drosophila","lacteicornis","max",32.5,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_lacteicornis","Kimura_2004",NA,NA,"Drosophila lacteicornis"
"Drosophila","lacteicornis","min",1.7,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_lacteicornis","Kimura_2004",NA,NA,"Drosophila lacteicornis"
"Drosophila","lutescens","max",31.1,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_lutescens","Kimura_2004",29.98994637,NA,"Drosophila lutescens"
"Drosophila","lutescens","min",0.5,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_lutescens","Kimura_2004",-0.012384742,NA,"Drosophila lutescens"
"Drosophila","neotestacea","max",32,"ct",43,43,-77.6,200,25,NA,NA,NA,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_neotestacea","Berrigan_2000",25.95337868,-0.95337868,"Drosophila neotestacea"
"Drosophila","nigromaculata","max",34.3,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_nigromaculata","Kimura_2004",24.39656448,NA,"Drosophila nigromaculata"
"Drosophila","nigromaculata","min",-4.5,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_nigromaculata","Kimura_2004",-8.855576515,NA,"Drosophila nigromaculata"
"Drosophila","orientacea","max",31.9,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_orientacea","Kimura_2004",24.39656448,NA,"Drosophila orientacea"
"Drosophila","orientacea","min",-4.5,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_orientacea","Kimura_2004",-8.855576515,NA,"Drosophila orientacea"
"Drosophila","putrida","max",34.7,"ct",43,43,-77.6,200,25,NA,NA,NA,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_putrida","Berrigan_2000",25.95337868,-0.95337868,"Drosophila putrida"
"Drosophila","quadrilineata","max",33.9,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_quadrilineata","Kimura_2004",NA,NA,"Drosophila quadrilineata"
"Drosophila","quadrilineata","min",6.8,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_quadrilineata","Kimura_2004",NA,NA,"Drosophila quadrilineata"
"Drosophila","recens","max",34.4,"ct",43,43,-77.6,200,25,NA,NA,NA,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_recens","Berrigan_2000",25.95337868,-0.95337868,"Drosophila recens"
"Drosophila","ruberrima","max",32.1,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_ruberrima","Kimura_2004",NA,NA,"Drosophila ruberrima"
"Drosophila","ruberrima","min",2.5,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_ruberrima","Kimura_2004",NA,NA,"Drosophila ruberrima"
"Drosophila","rufa","max",32.9,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_rufa","Kimura_2004",29.98994637,NA,"Drosophila rufa"
"Drosophila","rufa","min",0.6,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_rufa","Kimura_2004",-0.012384742,NA,"Drosophila rufa"
"Drosophila","serrata","max",36.7,"ct",-17,17,146,130,25,NA,NA,NA,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_serrata","Berrigan_2000",29.40991592,-4.40991592,"Drosophila serrata"
"Drosophila","sternopleuralis","max",31.4,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_sternopleuralis","Kimura_2004",29.98994637,NA,"Drosophila sternopleuralis"
"Drosophila","sternopleuralis","min",1.7,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_sternopleuralis","Kimura_2004",-0.012384742,NA,"Drosophila sternopleuralis"
"Drosophila","suzukii","max",32.7,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_suzukii","Kimura_2004",29.98994637,NA,"Drosophila suzukii"
"Drosophila","suzukii","min",-1.2,"lt",35.5,35.5,139.7,2,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_suzukii","Kimura_2004",-0.012384742,NA,"Drosophila suzukii"
"Drosophila","takahashii","max",32.5,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_takahashii","Kimura_2004",NA,NA,"Drosophila takahashii"
"Drosophila","takahashii","min",4.5,"lt",24.3,24.3,123.8,28,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_takahashii","Kimura_2004",NA,NA,"Drosophila takahashii"
"Drosophila","unispina","max",32.3,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_unispina","Kimura_2004",24.39656448,NA,"Drosophila unispina"
"Drosophila","unispina","min",-3.5,"lt",43.1,43.1,141.4,10,NA,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_unispina","Kimura_2004",-8.855576515,NA,"Drosophila unispina"
"Drosophila","validus","max",33,"lt",26.5,26.5,129.3,50,21,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_validus","Ohtsu_et_al_1999",NA,NA,"Drosophila validus"
"Drosophila","validus","min",5.5,"lt",26.5,26.5,129.3,50,21,NA,NA,24,"Arthropoda","Insecta","Diptera","Drosophilidae","Terrestrial","ectotherm","Drosophila_validus","Ohtsu_et_al_1999",NA,NA,"Drosophila validus"
"Echinometra","lucunter","max",37.1,"ct",-7.89,7.89,-14.38,0,26,26.1,0.017,NA,"Echinodermata","Echinoidea","Echinoida","Echinometridae","Marine","ectotherm","Echinometra_lucunter","Morley_et_al_2016",29.18999863,-3.18999863,"Echinometra lucunter"
"Ectemnorhinus","marioni","max",38,"ct",-46.8,46.8,37.7,5,NA,-4.3,0.25,NA,"Arthropoda","Insecta","Coleoptera","Brachyceridae","Terrestrial","ectotherm","Ectemnorhinus_marioni","Klok_&_Chown_2003",NA,NA,"Ectemnorhinus marioni"
"Ectemnorhinus","marioni","min",-4.3,"ct",-46.8,46.8,37.7,5,NA,0,0.25,NA,"Arthropoda","Insecta","Coleoptera","Brachyceridae","Terrestrial","ectotherm","Ectemnorhinus_marioni","Klok_&_Chown_2003",NA,NA,"Ectemnorhinus marioni"
"Ectemnorhinus","similis","max",36.5,"ct",-46.8,46.8,37.7,5,NA,-4.7,0.25,NA,"Arthropoda","Insecta","Coleoptera","Brachyceridae","Terrestrial","ectotherm","Ectemnorhinus_similis","Klok_&_Chown_2003",NA,NA,"Ectemnorhinus similis"
"Ectemnorhinus","similis","min",-4.7,"ct",-46.8,46.8,37.7,5,NA,0,0.25,NA,"Arthropoda","Insecta","Coleoptera","Brachyceridae","Terrestrial","ectotherm","Ectemnorhinus_similis","Klok_&_Chown_2003",NA,NA,"Ectemnorhinus similis"
"Ectemnorhinus","viridis","max",33.9,"ct",-53,53,73.5,5,NA,-5.6,0.25,NA,"Arthropoda","Insecta","Coleoptera","Brachyceridae","Terrestrial","ectotherm","Ectemnorhinus_viridis","Klok_&_Chown_2003",5.602842808,NA,"Ectemnorhinus viridis"
"Ectemnorhinus","viridis","min",-5.6,"ct",-53,53,73.5,5,NA,0,0.25,NA,"Arthropoda","Insecta","Coleoptera","Brachyceridae","Terrestrial","ectotherm","Ectemnorhinus_viridis","Klok_&_Chown_2003",-2.157297373,NA,"Ectemnorhinus viridis"
"Egernia","cunninghami","max",41.9,"ct",-33.88,33.88,151.2,399,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_cunninghami","Spellerberg_1972a",25.52132607,NA,"Egernia cunninghami"
"Egernia","cunninghami","min",4.7,"ct",-33.88,33.88,151.2,399,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_cunninghami","Spellerberg_1972a",6.599608898,NA,"Egernia cunninghami"
"Egernia","inornata","max",41.6,"ct",-28.13,28.13,123.92,402,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_inornata","Spellerberg_1972a",36.59660339,NA,"Egernia inornata"
"Egernia","inornata","min",9.8,"ct",-28.13,28.13,123.92,402,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_inornata","Spellerberg_1972a",4.794540882,NA,"Egernia inornata"
"Egernia","saxatilis","max",41.8,"ct",-37.33,37.33,148.01,548,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_saxatilis","Spellerberg_1972a",26.92676544,NA,"Egernia saxatilis"
"Egernia","saxatilis","min",4.5,"ct",-37.33,37.33,148.01,548,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_saxatilis","Spellerberg_1972a",1.407356977,NA,"Egernia saxatilis"
"Egernia","striolata","max",44.2,"ct",-34.57,34.57,139.58,11,35,35,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_striolata","Bennett_&_John-Alder_1986",32.29346466,2.70653534,"Egernia striolata"
"Egernia","striolata","min",6.1,"ct",-34.57,34.57,139.58,11,15,15,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_striolata","Bennett_&_John-Alder_1986",4.161160469,10.83883953,"Egernia striolata"
"Egernia","whitii","max",41.2,"ct",-36.4,36.4,148.41,1752,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_whitii","Spellerberg_1972a",26.67256927,NA,"Egernia whitii"
"Egernia","whitii","min",4,"ct",-36.4,36.4,148.41,1752,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Egernia_whitii","Spellerberg_1972a",-0.844748616,NA,"Egernia whitii"
"Eleutherodactylus","coqui","max",37.2,"ct",18.4,18.4,-65.8,15,NA,25,0.5,NA,"Chordata","Amphibia","Anura","Eleutherodactylidae","Terrestrial","ectotherm","Eleutherodactylus_coqui","Christian_et_al_1988",31.60007858,NA,"Eleutherodactylus coqui"
"Eleutherodactylus","coqui","min",7.5,"ct",18.4,18.4,-65.8,15,20,20,0.5,NA,"Chordata","Amphibia","Anura","Eleutherodactylidae","Terrestrial","ectotherm","Eleutherodactylus_coqui","Christian_et_al_1988",18.81883621,1.18116379,"Eleutherodactylus coqui"
"Eleutherodactylus","portoricensus","max",36.3,"ct",18.31,18.31,-65.75,500,NA,25,0.5,NA,"Chordata","Amphibia","Anura","Eleutherodactylidae","Terrestrial","ectotherm","Eleutherodactylus_portoricensus","Christian_et_al_1988",31.60007858,NA,"Eleutherodactylus portoricensus"
"Eleutherodactylus","portoricensus","min",7.5,"ct",18.31,18.31,-65.75,500,20,20,0.5,NA,"Chordata","Amphibia","Anura","Eleutherodactylidae","Terrestrial","ectotherm","Eleutherodactylus_portoricensus","Christian_et_al_1988",18.81883621,1.18116379,"Eleutherodactylus portoricensus"
"Elgaria","coerulea","max",39.2,"ct",43.64,43.64,-123.82,56,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Anguidae","Terrestrial","ectotherm","Elgaria_coerulea","Brattstrom_1965",24.74050331,NA,"Elgaria coerulea"
"Elgaria","multicarinata","max",41.4,"ct",34,34,-118.9,8,21.4,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Anguidae","Terrestrial","ectotherm","Elgaria_multicarinata","Cunningham_1966",30.25820732,-8.85820732,"Elgaria multicarinata"
"Elgaria","multicarinata","min",2.2,"ct",34,34,-118.9,8,21.4,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Anguidae","Terrestrial","ectotherm","Elgaria_multicarinata","Cunningham_1966",3.336201668,18.06379833,"Elgaria multicarinata"
"Ellochelon","vaigiensis","max",44.5,"ct",-5.45,5.45,123.77,0,35,35,0.31,NA,"Chordata","Actinopteri","Mugiliformes","Mugilidae","Marine","ectotherm","Ellochelon_vaigiensis","Eme_&_Bennett_2009",31.20999908,3.79000092,"Ellochelon vaigiensis"
"Ellochelon","vaigiensis","min",9.9,"ct",-5.45,5.45,123.77,0,20,20,0.31,NA,"Chordata","Actinopteri","Mugiliformes","Mugilidae","Marine","ectotherm","Ellochelon_vaigiensis","Eme_&_Bennett_2009",26.23999977,-6.23999977,"Ellochelon vaigiensis"
"Engraulis","japonicus","max",32,"lt",34.9,34.9,138.6,0,NA,NA,NA,3,"Chordata","Actinopteri","Clupeiformes","Engraulidae","Marine","ectotherm","Engraulis_japonicus","Suehiro1951_in_Brett_1970",29.25,NA,"Engraulis japonicus"
"Engraulis","japonicus","min",8,"lt",34.9,34.9,138.6,0,22,NA,NA,3,"Chordata","Actinopteri","Clupeiformes","Engraulidae","Marine","ectotherm","Engraulis_japonicus","Suehiro1951_in_Brett_1970",15.48999977,6.51000023,"Engraulis japonicus"
"Engystomops","pustulosus","min",6,"lt",9.15,9.15,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Leptodactylidae","Terrestrial","ectotherm","Engystomops_pustulosus","Brattstrom_1968",NA,NA,"Engystomops pustulosus"
"Ensis","macha","max",25,"lt",-36.5,36.5,-73.9,0,13,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Pharidae","Marine","ectotherm","Ensis_macha","Urban_1994",18.27000046,-5.27000046,"Ensis macha"
"Epigomphus","quadracies","max",41.1,"ct",9.16,9.16,-79.83,0,25,NA,NA,NA,"Arthropoda","Insecta","Odonata","Gomphidae","Terrestrial","ectotherm","Epigomphus_quadracies","May_1976",31.81584358,-6.81584358,"Epigomphus quadrices"
"Eremias","argus","max",44.9,"ct",35.59,35.59,112.25,802,28,NA,0.175,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Eremias_argus","Luo_et_al_2006",30.17569542,-2.17569542,"Eremias argus"
"Eremias","argus","min",1,"ct",35.59,35.59,112.25,802,28,NA,0.175,NA,"Chordata","Lepidosauria","Squamata","Lacertidae","Terrestrial","ectotherm","Eremias_argus","Luo_et_al_2006",-8.526444435,36.52644444,"Eremias argus"
