"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name"
"Carlia","munda","max",42.4,"ct",-17.01,17.01,145.43,410,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Carlia_munda","Greer_1980",33.91498566,NA,"Carlia munda"
"Carlia","pectoralis","max",41.3,"ct",-24.34,24.34,151.04,492,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Carlia_pectoralis","Greer_1980",31.27479172,NA,"Carlia pectoralis"
"Carlia","rhomboidalis","max",41.2,"ct",-17.27,17.27,145.63,744,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Carlia_rhomboidalis","Greer_1980",29.40991592,NA,"Carlia rhomboidalis"
"Carlia","schmeltzi","max",42.3,"ct",-23.38,23.38,150.51,16,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Carlia_schmeltzi","Greer_1980",32.95811462,NA,"Carlia schmeltzi"
"Carlia","vivax","max",41.3,"ct",-27.48,27.48,152.97,83,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Carlia_vivax","Greer_1980",31.01422119,NA,"Carlia vivax"
"Cerastoderma","edule","max",33.98,"lt",53,53,5,0,5,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Cardiidae","Intertidal","ectotherm","Cerastoderma_edule","Compton_et_al2007",20.19999886,-15.19999886,"Cerastoderma edule"
"Cerastoderma","edule","min",-6.18,"lt",53,53,5,0,5,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Cardiidae","Intertidal","ectotherm","Cerastoderma_edule","Compton_et_al2007",1.279999971,3.720000029,"Cerastoderma edule"
"Chamaeleo","dilepis","max",43.6,"ct",-2.42,2.42,37.97,800,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Chamaeleonidae","Terrestrial","ectotherm","Chamaeleo_dilepis","Bennett_2004",30.18096924,NA,"Chamaeleo dilepis"
"Chamaeleo","dilepis","min",7.6,"ct",-2.42,2.42,37.97,800,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Chamaeleonidae","Terrestrial","ectotherm","Chamaeleo_dilepis","Bennett_2004",13.21642113,NA,"Chamaeleo dilepis"
"Chamaeleo","jacksonii","max",41,"ct",-1.28,1.28,36.82,1700,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Chamaeleonidae","Terrestrial","ectotherm","Chamaeleo_jacksonii","Bennett_2004",28.33215904,NA,"Trioceros jacksonii"
"Chamaeleo","jacksonii","min",5.3,"ct",-1.28,1.28,36.82,1700,NA,NA,1,NA,"Chordata","Lepidosauria","Squamata","Chamaeleonidae","Terrestrial","ectotherm","Chamaeleo_jacksonii","Bennett_2004",11.70781517,NA,"Trioceros jacksonii"
"Charina","bottae","max",38,"ct",44.56,44.56,-123.26,60,14,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Boidae","Terrestrial","ectotherm","Charina_bottae","Brattstrom_1965",23.52952576,-9.52952576,"Charina bottae"
"Chionactis","occipitalis","max",38,"ct",35.7,35.7,-116.34,47,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Colubridae","Terrestrial","ectotherm","Chionactis_occipitalis","Cowles_&_Bogert_1944",39.159832,NA,"Chionactis occipitalis"
"Chondrodactylus","angulifer","max",42.9,"ct",-25.75,25.75,20.73,1219,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Gekkonidae","Terrestrial","ectotherm","Chondrodactylus_angulifer","Stebbins_1961",36.92285538,NA,"Chondrodactylus angulifer"
"Chondrodactylus","bibronii","max",42.7,"ct",-25.75,25.75,20.73,1219,NA,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Gekkonidae","Terrestrial","ectotherm","Chondrodactylus_bibronii","Stebbins_1961",36.92285538,NA,"Chondrodactylus bibronii"
"Clubiona","diversa","max",41.4,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Clubionidae","Terrestrial","ectotherm","Clubiona_diversa","Almquist_1970",20.58191681,-5.58191681,"Clubiona diversa"
"Clubiona","diversa","min",-10.2,"lt",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Clubionidae","Terrestrial","ectotherm","Clubiona_diversa","Almquist_1970",-1.632228255,5.632228255,"Clubiona diversa"
"Clubiona","trivialis","max",42.1,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Clubionidae","Terrestrial","ectotherm","Clubiona_trivialis","Almquist_1970",20.58191681,-5.58191681,"Clubiona trivialis"
"Clubiona","trivialis","min",-7.4,"lt",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Clubionidae","Terrestrial","ectotherm","Clubiona_trivialis","Almquist_1970",-1.632228255,5.632228255,"Clubiona trivialis"
