"genus_species","limit_type","Tpref","ref_Tpref","ref_from_ref","notes_Tpref","Tb","ref_Tb","notes_Tb"
"Liolaemus_lorenzmuelleri","min","36.13","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_salinicola","max, min","34.258","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_scapularis","max, min","32.98","Cruz_et_al_2014","","",NA,"",""
"Liolaemus_nigromaculatus","min","35.12","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_nigroviridis","min","36.31","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_nitidus","min","35.7","Labra_1998","","",NA,"",""
"Lophognathus_gilberti","max, min",NA,"","","",33.7,"Meiri_et_al_2018",""
"Liolaemus_platei","min","34.5","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Moloch_horridus","max, min","36.7","Light_et_al_1966","","",NA,"",""
"Nannoscincus_maccoyi","max, min","21","Clusella-Trullas_et_al_2011","","",17.8,"Meiri_et_al_2018",""
"Liolaemus_pseudolemniscatus","min","34.6","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Niveoscincus_metallicus","max, min","29","Clusella-Trullas_et_al_2011","","",32.2,"Meiri_et_al_2018",""
"Phymaturus_antofagastensis","max, min","33.2","Cruz_et_al_2009","","",NA,"",""
"Liolaemus_schroederi","min","34.9","Labra_1998","","",NA,"",""
"Phymaturus_indistinctus","max, min","34.1","Cruz_et_al_2009","","",NA,"",""
"Liolaemus_vallecurensis","min","35.91","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Liolaemus_walkeri","min","33.76","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Phymaturus_palluma","max, min","35.3","Cruz_et_al_2009","","",NA,"",""
"Phymaturus_somuncurensis","max, min","32.8","Cruz_et_al_2009","","",NA,"",""
"Masticophis_lateralis","max","32.9","Clusella-Trullas_et_al_2011","","",NA,"",""
"Meroles_suborbitalis","max",NA,"","","",36.8,"Huey_and_Pianka_1977","summer mean"
"Morethia_butleri","max",NA,"","","",33.6,"Meiri_et_al_2018",""
"Morethia_obscura","max",NA,"","","",34.68,"Pianka_2014",""
"Phymaturus_zapalensis","max, min","35.84","Duran_et_al_2018","","",NA,"",""
"Niveoscincus_coventryi","max",NA,"","","",27,"Meiri_et_al_2018",""
"Platysaurus_intermedius","max, min","31.5","Clusella-Trullas_et_al_2007","Lailvaux et al. 2003","subspecies; wilhelmi",NA,"",""
"Plestiodon_elegans","max, min",NA,"","","",31,"Meiri_et_al_2018",""
"Pedioplanis_lineoocellata","max",NA,"","","",37.5,"Meiri_et_al_2018",""
"Petrosaurus_mearnsi","max",NA,"","","",36,"Meiri_et_al_2018",""
"Plestiodon_gilberti","max, min","29.1","Tracy_2017","","",NA,"",""
"Phrynosoma_coronatum","max","35","Ramirez_Enriquez_2018","","",NA,"",""
"Psammodromus_hispanicus","max, min","35.1","Bauwens_and_Garland_1995","","Median tb",NA,"",""
"Pseudemoia_spenceri","max, min","31","Clusella-Trullas_et_al_2011","","",NA,"",""
"Pseudonaja_textilis","max, min","34.5","Lillywhite_1980","","",NA,"",""
"Sceloporus_malachiticus","max, min",NA,"","","",31,"Meiri_et_al_2018",""
"Sceloporus_merriami","max, min",NA,"","","",34.6,"Meiri_et_al_2018",""
"Plestiodon_obsoletus","max",NA,"","","",33,"Meiri_et_al_2018",""
"Plestiodon_skiltonianus","max","29.1","Tracy_2017","","",NA,"",""
"Sceloporus_variabilis","max, min",NA,"","","",32.9,"Meiri_et_al_2018",""
"Sphaerodactylus_gaigeae","max, min","31.6","Martin_et_al_2008","","",NA,"",""
"Sphaerodactylus_klauberi","max, min","30.8","Martin_et_al_2008","","",NA,"",""
"Sphaerodactylus_macrolepis","max, min","30.6","Martin_et_al_2008","","",NA,"",""
"Pseudocordylus_melanotus","min","30.535","McConnachie_et_al_2009","","subspecies, average across summer and winter",NA,"",""
"Sphaerodactylus_nicholsi","max, min","32.6","Martin_et_al_2008","","",NA,"",""
"Ptenopus_garrulus","max",NA,"","","",21.9,"Meiri_et_al_2018",""
"Sphaerodactylus_roosevelti","max, min","29.3","Martin_et_al_2008","","",NA,"",""
"Sphaerodactylus_townsendi","max, min","28.7","Martin_et_al_2008","","",NA,"",""
"Takydromus_hsuehshanensis","max, min","32.1","Huang_et_al_2014","","",NA,"",""
"Sceloporus_woodi","max","37.25","Neel_2016","","",NA,"",""
"Scelotes_gronovii","max","30.4","Clusella-Trullas_et_al_2011","","",23,"Meiri_et_al_2018",""
"Takydromus_sexlineatus","max, min","31.5","Zhang_and_Ji_2004","","",NA,"",""
"Tarentola_boettgeri","max, min","33","Clusella-Trullas_et_al_2011","","",19.8,"Meiri_et_al_2018",""
"Thamnophis_ordinoides","max, min","27.6","Stewart_1965","","",NA,"",""
"Tiliqua_nigrolutea","max, min","34.8","Bennett_and_John-Alder_1986","","",NA,"",""
"Trapelus_savignii","max, min",NA,"","","",36,"Meiri_et_al_2018",""
"Varanus_varius","max, min",NA,"","","",34.9,"Meiri_et_al_2018",""
"Liolaemus_dorbignyi","max, min","31.01","Labra_et_al_2008","Labra_et_al_2009","",NA,"",""
"Teratoscincus_przewalskii","min",NA,"","","",20.2,"Meiri_et_al_2018",""
"Anolis_cupreus","max, min",NA,"","","",27.9,"Meiri_et_al_2018",""
"Anolis_humilis","max, min",NA,"","","",24,"Meiri_et_al_2018",""
"Tiliqua_scincoides","max","29.3","Myhre_and_Hammel_1969","","",NA,"",""
"Anolis_intermedius","max, min",NA,"","","",25.5,"Meiri_et_al_2018",""
"Uma_inornata","max","37","Crowley_1985","Brattstrom 1965","",NA,"",""
"Anolis_lemurinus","max, min",NA,"","","",21,"Meiri_et_al_2018",""
"Varanus_gouldii","max","35.1","Clusella-Trullas_et_al_2011","","",31.5,"Meiri_et_al_2018",""
"Xantusia_henshawi","max","27.2","Mautz_and_Case_1974","","",NA,"",""
"Anolis_tropidolepis","max, min",NA,"","","",19.5,"Fitch_1957",""
"Lepidodactylus_lugubris","max, min","31.08","Bolger_and_Case_1994","","",NA,"",""
"Phymaturus_patagonicus","max, min","31.13","Ibarguengoytia_2005","","",NA,"",""
"Anolis_auratus","max",NA,"","","",32.3,"Meiri_et_al_2018",""
"Trachylepis_striata","max, min","35.2","Clusella-Trullas_et_al_2011","","",36.5,"Meiri_et_al_2018",""
"Anolis_distichus","max","30.96","Corn_1971","","",NA,"",""
"Anolis_pentaprion","max",NA,"","","",28,"Meiri_et_al_2018",""
"Pardosa_nigriceps","max, min","21","Almquist_1970","","",NA,"",""
"Lerista_bougainvilli","max","30.7","Clusella-Trullas_et_al_2011","","",NA,"",""
"Typhlacontias_brevipes","max","30.8","Clusella-Trullas_et_al_2011","","",NA,"",""
"Pinoyscincus_jagori","max",NA,"","","",23.1,"Meiri_et_al_2018",""
"Myrmecocystus_mimicus","max, min","27","Kay_1974","","",NA,"",""
"Clubiona_trivialis","max, min","16","Alfaro_et_al_2013","","",NA,"",""
"Ambystoma_macrodactylum","max",NA,"","","",18.1,"Anderson_1986"," "
"Eleutherodactylus_coqui","max, min",NA,"","","",21.21,"Rios-Franceschi_et_al_2019","different populations different populations different populations different populations different populations"
"Lepidophyma_flavimaculatum","max, min",NA,"","","",27.26,"Arenas-Morena_et_al_2018",""
"Pituophis_catenifer","max",NA,"","","",27.53,"Kapfer_et_al_2008","summer months only summer months only summer months only summer months only summer months only summer months only summer months only"
"Pseudacris_regilla","max, min",NA,"","","",23.14,"Goodman_and_Johnson_2011","normal  malformed"
"Acris_crepitans","min","26.92","Sauer_et_al_2018 Gray_1977 Gray_1977 Gray_1977","   ","   ",NA,"",""
"Agkistrodon_contortrix","max, min","26.44","Carter_2012 Mueller_and_Gienger_2019"," ","Tpref here defined as interquantile range of temps ",NA,"",""
"Amphibolurus_muricatus","max, min","36","Light_et_al_1966","","abstract only",NA,"",""
"Anniella_pulchra","max","24.03","Bury_and_Balgooyen_1976 Bury_and_Balgooyen_1976"," "," ",NA,"",""
"Anolis_carolinensis","max, min","34.63","Ryan_and_Gunderson_2020 Ryan_and_Gunderson_2020 Ryan_and_Gunderson_2020","  ","different acclimation temperatures different acclimation temperatures different acclimation temperatures",NA,"",""
"Anolis_cybotes","max","29.92","Munoz_2014 Munoz_2014 Munoz_2014 Munoz_2014","   ","   ",NA,"",""
"Anolis_gundlachi","max, min","25.2","Hertz_et_al_1993","","range of Tset point given",NA,"",""
"Anolis_limifrons","max, min","25.95","Rosso_2020 Rosso_2020"," ","different acclimation temperatures, averaged across before+after treatment different acclimation temperatures, averaged across before+after treatment",NA,"",""
"Anolis_sagrei","max","32.94","Ryan_and_Gunderson_2020 Ryan_and_Gunderson_2020 Ryan_and_Gunderson_2020 Neel_et_al_2021","   ","different acclimation temperatures different acclimation temperatures different acclimation temperatures ",NA,"",""
"Cnemidophorus_sexlineatus","max","35.15","Witz_2005 Witz_2005"," "," ",NA,"",""
"Coleonyx_variegatus","max, min","30.36","Dial_and_Grismer_1992 Vance_1973"," "," also has multiple acclimation temperatures",NA,"",""
"Coluber_constrictor","max","29.31","Howey_2014 Kitchell_1969"," "," ",NA,"",""
"Cordylus_oelofseni","max, min","32.85","Clusella-Trullas_et_al_2007 Basson_and_Clusella-Trullas_2015 Basson_and_Clusella-Trullas_2015","  ","  ",NA,"",""
"Crotalus_viridis","max","29.6","Gier_et_al_1989 Gier_et_al_1989"," "," ",NA,"",""
"Crotaphytus_collaris","max","32.57","Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989 Sievert_and_Hutchison_1989","     ","male vs female, different light treatments male vs female, different light treatments male vs female, different light treatments male vs female, different light treatments male vs female, different light treatments male vs female, different light treatments",NA,"",""
"Dipsosaurus_dorsalis","max, min","38.65","Bradshaw_1988 Pianka_1971 Crowley_1985","De Witt 1967  Licht 1964a cited in Dawson 1967","  ",NA,"",""
"Egernia_cunninghami","max, min","32.77","Wilson_1974 Light_et_al_1966"," "," ",NA,"",""
"Elgaria_coerulea","max","23.53","Campbell_1981 Campbell_1981 Campbell_1981 Campbell_1981","   ","   ",NA,"",""
"Elgaria_multicarinata","max, min","26.2","Crowley_1985","Bennett 1980","",NA,"",""
"Eremias_argus","max, min","35.63","Li_et_al_2009 Li_et_al_2009 Li_et_al_2009 Li_et_al_2017","   ","different acclimation temperatures different acclimation temperatures different acclimation temperatures ",NA,"",""
"Eremias_brenchleyi","max, min","34.59","Li_et_al_2009 Li_et_al_2009 Li_et_al_2009 Xu_and_Ji_2006 Xu_and_Ji_2006","    ","different acclimation temperatures different acclimation temperatures different acclimation temperatures different ages different ages",NA,"",""
"Eremias_multiocellata","max, min","35.19","Li_et_al_2009 Li_et_al_2009 Li_et_al_2009 Li_et_al_2019","   ","different acclimation temperatures different acclimation temperatures different acclimation temperatures ",NA,"",""
"Eremiascincus_fasciolatus","max, min","22.8","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986"," "," ",NA,"",""
"Eremiascincus_richardsoni","max, min","25.95","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986"," "," ",NA,"",""
"Eulamprus_kosciuskoi","max, min","30.6","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Bell_et_al_2019"," Spellerberg, 1972c ","  ",NA,"",""
