"genus_species","limit_type","Tpref","ref_Tpref","ref_from_ref","notes_Tpref","Tb","ref_Tb","notes_Tb"
"Plestiodon_chinensis","max, min","31.58","Shu_et_al_2010 Shu_et_al_2010 Shu_et_al_2010 Shu_et_al_2010","   ","different food and temperaure treatments different food and temperaure treatments different food and temperaure treatments different food and temperaure treatments",NA,"",""
"Plethodon_glutinosus","max","21.9","Elwood_2003","","",NA,"",""
"Podarcis_bocagei","max","32.27","Sannolo_et_al_2018 Bauwens_and_Garland_1995"," "," median Tb",NA,"",""
"Podarcis_lilfordi","max","33.84","Ortega_and_Perez-Mellado_2017 Edward_1984 Edward_1984 Edward_1984 Edward_1984 Edward_1984 Edward_1984 Bauwens_and_Garland_1995","       ","mean Tb different acclimation temperatures and weeks  different acclimation temperatures and weeks  different acclimation temperatures and weeks  different acclimation temperatures and weeks  different acclimation temperatures and weeks  different acclimation temperatures and weeks  median Tb",NA,"",""
"Podarcis_muralis","max, min","34.15","Bauwens_and_Garland_1995","","median body temp",NA,"",""
"Podarcis_tiliguerta","max","35.48","Bauwens_and_Garland_1995 Van_Damme_et_al_1989 Van_Damme_et_al_1989","  ","median Tb  ",NA,"",""
"Psammodromus_algirus","max, min","34.91","Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Zamora-Camacho_et_al_2016 Diaz_1997 Bauwens_and_Garland_1995","       ","across elevation across elevation across elevation across elevation across elevation across elevation median selected Tb Median tb",NA,"",""
"Pseudemoia_entrecasteauxii","max, min","32.39","Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986 Stapley_2006","   ","   ",NA,"",""
"Saiphos_equalis","max","20.49","Wu_et_al_2009 Wu_et_al_2009 Wu_et_al_2009 Wu_et_al_2009","   ","   ",NA,"",""
"Sceloporus_graciosus","max, min","32.73","Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Mueller_1970 Licht_1965 Licht_1965","          ","          ",NA,"",""
"Sceloporus_grammicus","max","30.2","Lara-Resendiz_et_al_2014 Vega-Perez_et_al_2019 Vega-Perez_et_al_2019 Vega-Perez_et_al_2019 Vega-Perez_et_al_2019","    ","    ",NA,"",""
"Sceloporus_magister","max","34.95","Parker_and_Pianka_1973 Parker_and_Pianka_1973 Engbretson_and_Hutchinson_1974 Sartorius_2002","   ","different acclimation temperatures   ",NA,"",""
"Sceloporus_occidentalis","max, min","32.62","Crowley_1985 Wilhoft_and_Anderson_1960 Wilhoft_and_Anderson_1960 Wilhoft_and_Anderson_1960 Wilhoft_and_Anderson_1960 Wilhoft_and_Anderson_1960","Brattstrom 1965     "," different acclimation temperatures different acclimation temperatures different acclimation temperatures different acclimation temperatures different acclimation temperatures",NA,"",""
"Sceloporus_undulatus","max, min","35.32","Crowley_1985 Sartorius_2002"," "," ",NA,"",""
"Sphenomorphus_indicus","max, min","25.7","Du_et_al_2006 Du_et_al_2006 Ji_et_al_1997","  ","male female ",NA,"",""
"Takydromus_septentrionalis","max, min","33.07","Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008 Yang_et_al_2008","       ","different populations, sexes different populations, sexes different populations, sexes different populations, sexes different populations, sexes different populations, sexes different populations, sexes different populations, sexes",NA,"",""
"Thamnophis_elegans","max, min","27.6","Scott_and_Pettus_1979 Scott_and_Pettus_1979"," ","sampled in different seasons sampled in different seasons",NA,"",""
"Thamnophis_marcianus","min","27.5","Jackson_2014 Jackson_2014 Jackson_2014 Jackson_2014 Jackson_2014 Jackson_2014","     ","     ",NA,"",""
"Thamnophis_sirtalis","max, min","29.15","Lysenko_and_Gillis_1980 Lysenko_and_Gillis_1980 Lysenko_and_Gillis_1980 Lysenko_and_Gillis_1980 Kitchell_1969 Abney_2019 Taylor_and_Davies_1981","      ","     subspecies:sirtalis subspecies: parietalis",NA,"",""
"Tiliqua_rugosa","max, min","30.47","Wilson_1974 Light_et_al_1966 Bennett_and_John-Alder_1986 Bennett_and_John-Alder_1986","   Wilson, 1974","   ",NA,"",""
"Trimeresurus_stejnegeri","max, min","24.33","Tsai_and_Tu_2005 Tsai_and_Tu_2005"," "," ",NA,"",""
"Urosaurus_ornatus","max","35.93","Sartorius_2002 Gilbert_2020 Gilbert_2020 Gilbert_2020","   ","tsel as a range selection experiment selection experiment selection experiment",NA,"",""
"Xantusia_riversiana","max, min","31.68","Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010 Ehrenberger_2010","      ","multiple populatipns multiple populatipns multiple populatipns multiple populatipns multiple populatipns multiple populatipns multiple populatipns",NA,"",""
"Xantusia_vigilis","max, min","31.97","Kaufmann_and_Bennett_1989 Kaufmann_and_Bennett_1989"," ","multiple acclimation temps multiple acclimation temps",NA,"",""
"Zootoca_vivipara","max, min","33.46","Rechels_et_al_2021 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Carretero_et_al_2009 Patterson_and_Davies_1978 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Le_Gaillard_et_al_2021 Bauwens_and_Garland_1995 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Rozen-Rechels_et_al_2020 Van_Damme_et_al_1990 Van_Damme_et_al_1990 Artacho_et_al_2013"," Patterson & Davies 1978 Van Damme et al. 1990 Van Damme et al. 1990 Gvozdik & Castilla 2001  Van Damme et al. 1986 Van Damme et al. 1986 Gvozdik & Castilla 2001  Van Damme et al. 1986 Van Damme et al. 1986 Gvozdik & Castilla 2001  Van Damme et al. 1986 Van Damme et al. 1986 Gvozdik & Castilla 2001                                                                ","from figure 4, mean across populations                  6 individuals measured 8 times over a few months f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels f, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels m, manipulated water levels median Tb different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different ages and populations different populations different populations ",NA,"",""
