"Genus","Species","type","thermal_limit","metric","collection_latitude","absolute_latitude","collection_longitude","elevation","acclimation_temperature","start_temp","ramping_rate","exposure_duration","Phylum","Class","Order","Family","realm","thermy","genus_species","reference","extreme_enviro_temp","acclimation_offset","acc_name","parameter_tmax_or_tmin","realm_mean_ARR","realm_sd_ARR","realm_n_ARR","class_mean_ARR","class_sd_ARR","class_n_ARR","class_specific","ARR_equ_slope","ARR_equ_int","mean_int_class","mean_int_realm","int"
"Anolis","oculatus","max",35.5,"ct",15.29,15.29,-61.4,0,25,25,3.6,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_oculatus","Brooks_1968",31.3945179,-6.3945179,"Anolis oculatus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,32.8059210526316,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","pulchellus","max",36.1,"ct",18.37,18.37,-65.72,1,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_pulchellus","Hertz_1979",31.60007858,-6.60007858,"Anolis pulchellus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,33.4059210526316,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","roquet","max",35.9,"ct",14.64,14.64,-61.02,350,25,NA,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_roquet","Hertz_1981",31.27609825,-6.27609825,"Anolis roquet","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,33.2059210526316,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","sagrei","max",40.5,"ct",25.72,25.72,-80.27,1,20,20,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_sagrei","Corn_1971",33.6676178,-13.6676178,"Anolis sagrei","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,38.3447368421053,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","semilineatus","max",39.6,"ct",18.45,18.45,-69.66,16,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_semilineatus","Hertz_1979",31.66293716,-6.66293716,"Anolis semilineatus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,36.9059210526316,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","shrevei","max",40.1,"ct",18.8,18.8,-70.68,2200,29.2,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_shrevei","Hertz_&_Huey_1981",31.87837982,-2.67837982,"Anolis shrevei","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,36.9533157894737,39.5340918339664,37.2276849039965,39.5340918339664
"Anolis","stratulus","max",41.2,"ct",18.4,18.4,-66.05,28,30,30,NA,NA,"Chordata","Lepidosauria","Squamata","Iguanidae","Terrestrial","ectotherm","Anolis_stratulus","Heatwole_et_al_1969",31.60007858,-1.60007858,"Anolis stratulus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,37.9671052631579,39.5340918339664,37.2276849039965,39.5340918339664
"Aphaenogaster","fulva","max",41.8,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Aphaenogaster_fulva","Diamond_et_al_2012",32.19478226,-7.19478226,"Aphaenogaster fulva","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,39.0427315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Argopecten","purpuratus","max",29,"lt",-14.25,14.25,-76.2,0,19,NA,NA,24,"Mollusca","Bivalvia","Pectinoida","Pectinidae","Marine","ectotherm","Argopecten_purpuratus","Urban_1994",25.26999855,-6.26999855,"Argopecten purpuratus","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,26.34,27.8706666666667,24.0662256604722,27.8706666666667
"Aulacomya","atra","max",25.6,"lt",-36.5,36.5,-73.9,0,13,NA,NA,24,"Mollusca","Bivalvia","Mytiloida","Mytilidae","Marine","ectotherm","Aulacomya_atra","Urban_1994",NA,NA,"Aulacomya atra","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,23.78,27.8706666666667,24.0662256604722,27.8706666666667
"Boreogadus","saida","min",-2,"lt",71,71,-156.47,0,1,NA,NA,5,"Chordata","Actinopteri","Gadiformes","Gadidae","Marine","ectotherm","Boreogadus_saida","Scholander_et_al_1953",-1.75999999,2.75999999,"Boreogadus saida","tmin",0.328281949870445,0.145860630180451,40,0.299,0.0837973746605465,6,"TRUE",0.299,-2.299,3.06775,3.06775,3.06775
"Bullia","rhodostoma","max",34.7,"lt",-33.9,33.9,25.6,0,20,NA,NA,12,"Mollusca","Gastropoda","Neogastropoda","Nassariidae","Marine","ectotherm","Bullia_rhodostoma","Ansell_&_McLachlan_1980",25.38999939,-5.38999939,"Bullia rhodostoma","tmax",0.327634847626389,0.227531873483291,371,0.525,0.411298755975102,4,"TRUE",0.525,24.2,21.625,24.0662256604722,21.625
"Calathus","melanocephalus","min",-3.8,"ct",60.6,60.6,NA,1200,13,13,1,NA,"Arthropoda","Insecta","Coleoptera","Carabidae","Terrestrial","ectotherm","Calathus_melanocephalus","Nylund_1991",NA,NA,"Calathus melanocephalus","tmin",0.1573876403802,0.112913726528327,50,0.138109030264777,0.114853130149162,30,"TRUE",0.138109030264777,-5.5954173934421,-0.190738241697436,1.13734758558321,-0.190738241697436
"Camponotus","americanus","max",42.8,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_americanus","Diamond_et_al_2012",32.19478226,-7.19478226,"Camponotus americanus","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,40.0427315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Camponotus","castaneus","max",40.5,"ct",35.78,35.78,-78.8,146,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_castaneus","Diamond_et_al_2012",32.93321609,-7.93321609,"Camponotus castaneus","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,37.7427315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Camponotus","chromaiodes","max",44,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_chromaiodes","Diamond_et_al_2012",32.19478226,-7.19478226,"Camponotus chromaiodes","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,41.2427315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Camponotus","novaeboracensis","max",40,"ct",42.51,42.51,-72.21,232,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_novaeboracensis","Diamond_et_al_2012",27.61415291,-2.61415291,"Camponotus novaeboracensis","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,37.2427315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Camponotus","pennsylvanicus","max",40,"ct",42.51,42.51,-72.21,232,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Camponotus_pennsylvanicus","Diamond_et_al_2012",27.61415291,-2.61415291,"Camponotus pennsylvanicus","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,37.2427315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Cerastoderma","edule","max",33.98,"lt",53,53,5,0,5,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Cardiidae","Intertidal","ectotherm","Cerastoderma_edule","Compton_et_al2007",20.19999886,-15.19999886,"Cerastoderma edule","tmax",0.327634847626389,0.227531873483291,371,0.14,0.114017542509914,5,"TRUE",0.14,33.28,27.8706666666667,30.0833830033931,27.8706666666667
"Cerastoderma","edule","min",-6.18,"lt",53,53,5,0,5,NA,NA,24,"Mollusca","Bivalvia","Veneroida","Cardiidae","Intertidal","ectotherm","Cerastoderma_edule","Compton_et_al2007",1.279999971,3.720000029,"Cerastoderma edule","tmin",0.328281949870445,0.145860630180451,40,NA,NA,NA,NA,0.328281949870445,-7.82140974935222,-5.05172924805667,-4.98774849899235,-5.05172924805667
"Charina","bottae","max",38,"ct",44.56,44.56,-123.26,60,14,NA,NA,NA,"Chordata","Lepidosauria","Squamata","Boidae","Terrestrial","ectotherm","Charina_bottae","Brattstrom_1965",23.52952576,-9.52952576,"Charina bottae","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,36.4913157894737,39.5340918339664,37.2276849039965,39.5340918339664
"Clubiona","diversa","max",41.4,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Clubionidae","Terrestrial","ectotherm","Clubiona_diversa","Almquist_1970",20.58191681,-5.58191681,"Clubiona diversa","tmax",0.140537431829408,0.111211536764043,256,NA,NA,NA,NA,0.140537431829408,39.2919385225589,38.391400086146,37.2276849039965,38.391400086146
"Clubiona","diversa","min",-10.2,"lt",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Clubionidae","Terrestrial","ectotherm","Clubiona_diversa","Almquist_1970",-1.632228255,5.632228255,"Clubiona diversa","tmin",0.1573876403802,0.112913726528327,50,NA,NA,NA,NA,0.1573876403802,-10.8295505615208,-9.14163942759749,1.13734758558321,-9.14163942759749
"Clubiona","trivialis","max",42.1,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Clubionidae","Terrestrial","ectotherm","Clubiona_trivialis","Almquist_1970",20.58191681,-5.58191681,"Clubiona trivialis","tmax",0.140537431829408,0.111211536764043,256,NA,NA,NA,NA,0.140537431829408,39.9919385225589,38.391400086146,37.2276849039965,38.391400086146
"Clubiona","trivialis","min",-7.4,"lt",55.4,55.4,14.19,3,4,0.02,NA,72,"Arthropoda","Arachnida","Araneae","Clubionidae","Terrestrial","ectotherm","Clubiona_trivialis","Almquist_1970",-1.632228255,5.632228255,"Clubiona trivialis","tmin",0.1573876403802,0.112913726528327,50,NA,NA,NA,NA,0.1573876403802,-8.0295505615208,-9.14163942759749,1.13734758558321,-9.14163942759749
"Clupea","harengus","max",21.2,"lt",45.09,45.09,-66.96,0,11,NA,NA,48,"Chordata","Actinopteri","Clupeiformes","Clupeidae","Marine","ectotherm","Clupea_harengus","Brawn_1960_in_Brett_1970, Brawn_1960",NA,NA,"Clupea harengus","tmax",0.327634847626389,0.227531873483291,371,0.300624422823022,0.146207033599519,40,"TRUE",0.300624422823022,17.8931313489468,23.5717496237145,24.0662256604722,23.5717496237145
"Cnemidocarpa","bicornuta","max",29,"ct",-45.4,45.4,167.1,0,26,18.7,0.017,NA,"Chordata","Ascidiacea","Stolidobranchia","Styelidae","Marine","ectotherm","Cnemidocarpa_bicornuta","Morley_et_al_2016",18.27999878,7.72000122,"Cnemidocarpa bicornuta","tmax",0.327634847626389,0.227531873483291,371,NA,NA,NA,NA,0.327634847626389,20.4814939617139,19.2249378950986,24.0662256604722,19.2249378950986
"Cnemidophorus","sexlineatus","max",51,"ct",33.96,33.96,-96.76,249,25,25,1,NA,"Chordata","Lepidosauria","Squamata","Teiidae","Terrestrial","ectotherm","Cnemidophorus_sexlineatus","Paulissen_1988",35.35910416,-10.35910416,"Cnemidophorus sexlineatus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,48.3059210526316,39.5340918339664,37.2276849039965,39.5340918339664
"Cookia","sulcata","max",32.7,"ct",-45.8,45.8,170.6,0,26,18.7,0.017,NA,"Mollusca","Gastropoda","Vetigastropoda","Turbinidae","Marine","ectotherm","Cookia_sulcata","Morley_et_al_2016",17.52999878,8.47000122,"Cookia sulcata","tmax",0.327634847626389,0.227531873483291,371,0.525,0.411298755975102,4,"TRUE",0.525,19.05,21.625,24.0662256604722,21.625
"Cordylus","cordylus","max",41.6,"ct",-33.77,33.77,18.78,289,27,30,1,NA,"Chordata","Lepidosauria","Squamata","Cordylidae","Terrestrial","ectotherm","Cordylus_cordylus","Clusella-Trullas_et_al_2009",29.00185776,-2.00185776,"Cordylus cordylus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,38.6903947368421,39.5340918339664,37.2276849039965,39.5340918339664
"Cordylus","cordylus","min",7.5,"ct",-33.77,33.77,18.78,289,27,15,1,NA,"Chordata","Lepidosauria","Squamata","Cordylidae","Terrestrial","ectotherm","Cordylus_cordylus","Clusella-Trullas_et_al_2009",6.105827808,20.89417219,"Cordylus cordylus","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,2.3925,2.78138764044944,1.13734758558321,2.78138764044944
"Cordylus","niger","max",41,"ct",-32.98,32.98,17.87,5,27,30,1,NA,"Chordata","Lepidosauria","Squamata","Cordylidae","Terrestrial","ectotherm","Cordylus_niger","Clusella-Trullas_et_al_2009",28.90424347,-1.90424347,"Cordylus niger","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,38.0903947368421,39.5340918339664,37.2276849039965,39.5340918339664
"Cordylus","niger","min",7.4,"ct",-32.98,32.98,17.87,5,27,15,1,NA,"Chordata","Lepidosauria","Squamata","Cordylidae","Terrestrial","ectotherm","Cordylus_niger","Clusella-Trullas_et_al_2009",6.917508125,20.08249188,"Cordylus niger","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,2.2925,2.78138764044944,1.13734758558321,2.78138764044944
"Cordylus","oelofseni","max",40.8,"ct",-34.03,34.03,19,1080,27,30,1,NA,"Chordata","Lepidosauria","Squamata","Cordylidae","Terrestrial","ectotherm","Cordylus_oelofseni","Clusella-Trullas_et_al_2009",23.63539505,3.36460495,"Cordylus oelofseni","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,37.8903947368421,39.5340918339664,37.2276849039965,39.5340918339664
"Cordylus","oelofseni","min",6.3,"ct",-34.03,34.03,19,1080,27,15,1,NA,"Chordata","Lepidosauria","Squamata","Cordylidae","Terrestrial","ectotherm","Cordylus_oelofseni","Clusella-Trullas_et_al_2009",9.94078064,17.05921936,"Cordylus oelofseni","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,1.1925,2.78138764044944,1.13734758558321,2.78138764044944
"Crangon","crangon","max",33.8,"ct",38,38,-9,0,24,24,0.017,NA,"Arthropoda","Malacostraca","Decapoda","Crangonidae","Marine","ectotherm","Crangon_crangon","Madeira_et_al_2012",22.84000015,1.15999985,"Crangon crangon","tmax",0.327634847626389,0.227531873483291,371,0.305662878787879,0.157352590829053,44,"TRUE",0.305662878787879,26.4640909090909,28.1471105587121,24.0662256604722,28.1471105587121
"Craugastor","fitzingeri","min",8,"lt",9.15,9.15,NA,304.8,23,NA,NA,24,"Chordata","Amphibia","Anura","Craugastoridae","Terrestrial","ectotherm","Craugastor_fitzingeri","Brattstrom_1968",NA,NA,"Craugastor fitzingeri","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,3.81368055568333,-0.927581699231373,1.13734758558321,-0.927581699231373
"Craugastor","fleischmanni","max",31.4,"ct",10,10,-83.7,1554.48,23,23,1,NA,"Chordata","Amphibia","Anura","Craugastoridae","Terrestrial","ectotherm","Craugastor_fleischmanni","Brattstrom_1968",30.38962555,-7.38962555,"Craugastor fleischmanni","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,27.7758356013278,31.5985265134056,37.2276849039965,31.5985265134056
"Craugastor","fleischmanni","min",6,"lt",10,10,-83.7,1554.48,23,NA,NA,24,"Chordata","Amphibia","Anura","Craugastoridae","Terrestrial","ectotherm","Craugastor_fleischmanni","Brattstrom_1968",18.74819756,4.25180244,"Craugastor fleischmanni","tmin",0.1573876403802,0.112913726528327,50,0.182013888883333,0.123963049028441,8,"TRUE",0.182013888883333,1.81368055568333,-0.927581699231373,1.13734758558321,-0.927581699231373
"Crematogaster","lineolata","max",43.25,"ct",36.04,36.04,-79.07,180,25,36,0.2,NA,"Arthropoda","Insecta","Hymenoptera","Formicidae","Terrestrial","ectotherm","Crematogaster_lineolata","Diamond_et_al_2012",32.19478226,-7.19478226,"Crematogaster lineolata","tmax",0.140537431829408,0.111211536764043,256,0.110290736577246,0.113804640745541,71,"TRUE",0.110290736577246,40.4927315855689,40.0134976045186,37.2276849039965,40.0134976045186
"Crinia","signifera","max",35.7,"ct",-38,38,142.5,304.8,25,20,1,NA,"Chordata","Amphibia","Anura","Myobatrachidae","Terrestrial","ectotherm","Crinia_signifera","Brattstrom_1970",24.16413116,0.83586884,"Crinia signifera","tmax",0.140537431829408,0.111211536764043,256,0.15757236515966,0.110920125452087,165,"TRUE",0.15757236515966,31.7606908710085,31.5985265134056,37.2276849039965,31.5985265134056
"Crustulina","guttata","max",41.8,"ct",55.4,55.4,14.19,3,15,15,0.5,NA,"Arthropoda","Arachnida","Araneae","Theridiidae","Terrestrial","ectotherm","Crustulina_guttata","Almquist_1970",20.58191681,-5.58191681,"Crustulina guttata","tmax",0.140537431829408,0.111211536764043,256,NA,NA,NA,NA,0.140537431829408,39.6919385225589,38.391400086146,37.2276849039965,38.391400086146
"Crustulina","guttata","min",-8,"lt",55.4,55.4,14.19,3,15,0.5,NA,72,"Arthropoda","Arachnida","Araneae","Theridiidae","Terrestrial","ectotherm","Crustulina_guttata","Almquist_1970",-1.632228255,16.63222826,"Crustulina guttata","tmin",0.1573876403802,0.112913726528327,50,NA,NA,NA,NA,0.1573876403802,-10.360814605703,-9.14163942759749,1.13734758558321,-9.14163942759749
"Ctenotus","regius","max",45.1,"ct",-34.18,34.18,139.98,16,35,35,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Ctenotus_regius","Bennett_&_John-Alder_1986",32.29346466,2.70653534,"Ctenotus regius","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,41.3282894736842,39.5340918339664,37.2276849039965,39.5340918339664
"Ctenotus","regius","min",8.7,"ct",-34.18,34.18,139.98,16,15,15,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Ctenotus_regius","Bennett_&_John-Alder_1986",4.161160469,10.83883953,"Ctenotus regius","tmin",0.1573876403802,0.112913726528327,50,0.189166666666667,0.0983923808333786,12,"TRUE",0.189166666666667,5.8625,2.78138764044944,1.13734758558321,2.78138764044944
"Ctenotus","taeniolatus","max",44.7,"ct",-30.52,30.52,151.65,1013,35,35,1,NA,"Chordata","Lepidosauria","Squamata","Scincidae","Terrestrial","ectotherm","Ctenotus_taeniolatus","Bennett_&_John-Alder_1986",29.56103897,5.43896103,"Ctenotus taeniolatus","tmax",0.140537431829408,0.111211536764043,256,0.107763157894737,0.0724994958643493,19,"TRUE",0.107763157894737,40.9282894736842,39.5340918339664,37.2276849039965,39.5340918339664
