Genus,Species,type,thermal_limit,metric,collection_latitude,absolute_latitude,collection_longitude,elevation,acclimation_temperature,start_temp,ramping_rate,exposure_duration,Phylum,Class,Order,Family,realm,thermy,genus_species,reference,extreme_enviro_temp,acclimation_offset
Acridotheres,cristatellus,max,32.5,TNZ,27.29,27.29,120.51,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Sturnidae,Terrestrial,endotherm,Acridotheres_cristatellus,Lin_et_al_2010,32.38182449,NA
Acridotheres,cristatellus,min,25,TNZ,27.29,27.29,120.51,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Sturnidae,Terrestrial,endotherm,Acridotheres_cristatellus,Lin_et_al_2010,3.942542315,NA
Acris,crepitans,min,-1,LT50,29.95,29.95,NA,304.8,23,NA,NA,24,Chordata,Amphibia,Anura,Hylidae,Terrestrial,ectotherm,Acris_crepitans,Brattstrom_1968,NA,NA
Acrobates,pygmaeus,max,35.1,TNZ,-37.57,37.57,145.33,NA,20,NA,NA,NA,Chordata,Mammalia,Diprotodontia,Acrobatidae,Terrestrial,endotherm,Acrobates_pygmaeus,Fleming_1985,27.79928589,-7.79928589
Acrobates,pygmaeus,min,34,TNZ,-37.57,37.57,145.33,NA,20,NA,NA,NA,Chordata,Mammalia,Diprotodontia,Acrobatidae,Terrestrial,endotherm,Acrobates_pygmaeus,Fleming_1985,3.381584644,16.61841536
Adamussium,colbecki,max,2,ct,-67.5,67.5,-68,0,NA,0,1.70E-04,NA,Mollusca,Bivalvia,Pectinoida,Pectinidae,Marine,ectotherm,Adamussium_colbecki,Peck_et_al_2004,1.350000024,NA
Adelotus,brevis,max,31.2,ct,-33.43,33.43,151.35,304.8,5,20,1,NA,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,ectotherm,Adelotus_brevis,Brattstrom_1970,25.52132607,-20.52132607
Adenandra,uniflora,min,-4.6,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Sapindales,Rutaceae,Terrestrial,plant,Adenandra_uniflora,Bannister_&_Lord_2010,NA,NA
Adenostoma,fasciculatum,max,64.1,ct,33.5,33.5,-117.1,375,NA,NA,NA,NA,Streptophyta,Spermatophyta,Rosales,Rosaceae,Terrestrial,plant,Adenostoma_fasciculatum,Knight_&_Ackerly_2002,30.17784309,NA
Aegolius,acadicus,max,32,TNZ,42.28,42.28,-83.74,NA,23,NA,NA,NA,Chordata,Aves,Strigiformes,Strigidae,Terrestrial,endotherm,Aegolius_acadicus,Ligon_1969,28.81782341,-5.81782341
Aegolius,acadicus,min,24,TNZ,42.28,42.28,-83.74,NA,23,NA,NA,NA,Chordata,Aves,Strigiformes,Strigidae,Terrestrial,endotherm,Aegolius_acadicus,Ligon_1969,-9.09954071,32.09954071
Aegolius,funereus,min,10,TNZ,64.48,64.48,NA,NA,NA,NA,NA,NA,Chordata,Aves,Strigiformes,Strigidae,Terrestrial,endotherm,Aegolius_funereus,Hohtola_et_al_1994,NA,NA
Aegopodium,podagraria,max,45.4,LT50,NA,NA,NA,NA,NA,NA,NA,0.5,Streptophyta,Spermatophyta,Apiales,Apiaceae,Terrestrial,plant,Aegopodium_podagraria,Bilger_et_al_1984,NA,NA
Aegotheles,cristatus,max,34.8,TNZ,-30.35,30.35,151.45,1.00E+03,NA,NA,NA,NA,Chordata,Aves,Caprimulgiformes,Aegothelidae,Terrestrial,endotherm,Aegotheles_cristatus,Doucette_&_Geiser_2008,29.56103897,NA
Aegotheles,cristatus,min,31.3,TNZ,-30.35,30.35,151.45,1.00E+03,NA,NA,NA,NA,Chordata,Aves,Caprimulgiformes,Aegothelidae,Terrestrial,endotherm,Aegotheles_cristatus,Doucette_&_Geiser_2008,1.229507804,NA
Aenictus,sp.1,max,43.75,ct,4.05,4.05,114.81,0,25,36,0.2,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,ectotherm,Aenictus_sp.1,Diamond_et_al_2012,31.30045509,-6.30045509
Aepyprymnus,rufescens,max,33,TNZ,-28.92,28.92,152.37,NA,22,NA,NA,NA,Chordata,Mammalia,Diprotodontia,Potoroidae,Terrestrial,endotherm,Aepyprymnus_rufescens,R<9f>bsamen_et_al_1983,30.11128998,-8.11128998
Aepyprymnus,rufescens,min,25,TNZ,-28.92,28.92,152.37,NA,22,NA,NA,NA,Chordata,Mammalia,Diprotodontia,Potoroidae,Terrestrial,endotherm,Aepyprymnus_rufescens,R<9f>bsamen_et_al_1983,3.743121147,18.25687885
Aethomys,namaquensis,max,34.49,TNZ,-23.48,23.48,15.5,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Muridae,Terrestrial,endotherm,Aethomys_namaquensis,Buffenstein_1984,28.94936752,NA
Aethomys,namaquensis,min,26.39,TNZ,-23.48,23.48,15.5,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Muridae,Terrestrial,endotherm,Aethomys_namaquensis,Buffenstein_1984,10.09410763,NA
Afrinus,sp.1,min,-6.8,LT50,-32.4,32.4,NA,1550,6,0.1,NA,1,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Terrestrial,ectotherm,Afrinus_sp.1,Sinclair_&_Chown_2005,NA,NA
Agelaius,phoeniceus,max,40,TNZ,42.5,42.5,-82.48,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Icteridae,Terrestrial,endotherm,Agelaius_phoeniceus,Lewies_&_Dwyer_1969,27.47766876,NA
Agelaius,phoeniceus,min,27.5,TNZ,42.5,42.5,-82.48,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Icteridae,Terrestrial,endotherm,Agelaius_phoeniceus,Lewies_&_Dwyer_1969,-9.152482986,NA
Agkistrodon,contortrix,max,40.6,ct,35.33,35.33,-90.07,78,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,ectotherm,Agkistrodon_contortrix,Sanders_&_Jacob_1981,33.58058929,NA
Agkistrodon,contortrix,min,6.9,ct,35.33,35.33,-90.07,78,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,ectotherm,Agkistrodon_contortrix,Sanders_&_Jacob_1981,-1.961768508,NA
Agonis,flexuosa,min,-4.4,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Myrtales,Myrtaceae,Terrestrial,plant,Agonis_flexuosa,Bannister_&_Lord_2010,NA,NA
Agosia,chrysogaster,max,38.2,ct,33,33,-111,1.00E+03,25,25,0.3,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Freshwater,ectotherm,Agosia_chrysogaster,Carveth_et_al_2006,37.72694778,-12.72694778
Agouti,paca,min,28,TNZ,11,11,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Cuniculidae,Terrestrial,endotherm,Agouti_paca,Arends_&_McNab_2001,NA,NA
Agroeca,proxima,max,37.4,ct,55.4,55.4,14.19,3,15,15,0.5,NA,Arthropoda,Arachnida,Araneae,Liocranidae,Terrestrial,ectotherm,Agroeca_proxima,Almquist_1970,20.58191681,-5.58191681
Agroeca,proxima,min,-6.7,LT50,55.4,55.4,14.19,3,4,0.02,NA,72,Arthropoda,Arachnida,Araneae,Liocranidae,Terrestrial,ectotherm,Agroeca_proxima,Almquist_1970,-1.632228255,5.632228255
Ailurus,fulgens,max,36,TNZ,33.1,33.1,103.27,NA,NA,NA,NA,NA,Chordata,Mammalia,Carnivora,Ailuridae,Terrestrial,endotherm,Ailurus_fulgens,McNab_1988,19.58660698,NA
Ailurus,fulgens,min,25,TNZ,33.1,33.1,103.27,NA,NA,NA,NA,NA,Chordata,Mammalia,Carnivora,Ailuridae,Terrestrial,endotherm,Ailurus_fulgens,McNab_1988,-15.37546539,NA
Akodon,azarae,max,32,TNZ,-37.8,37.8,-58.3,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Akodon_azarae,Dalby_&_Heath_1976,27.88147354,NA
Akodon,azarae,min,30,TNZ,-37.8,37.8,-58.3,NA,NA,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Akodon_azarae,Dalby_&_Heath_1976,3.392099857,NA
Alaemon,alaudipes,max,37.5,TNZ,22.15,22.15,41.5,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Alaudidae,Terrestrial,endotherm,Alaemon_alaudipes,Tieleman_2002,38.61370087,NA
Alaemon,alaudipes,min,32.7,TNZ,22.15,22.15,41.5,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Alaudidae,Terrestrial,endotherm,Alaemon_alaudipes,Tieleman_2002,11.88844299,NA
Alauda,arvensis,max,35.1,TNZ,52.52,52.52,6.2,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Alaudidae,Terrestrial,endotherm,Alauda_arvensis,Tieleman_2002,23.1270237,NA
Alauda,arvensis,min,22.2,TNZ,52.52,52.52,6.2,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Alaudidae,Terrestrial,endotherm,Alauda_arvensis,Tieleman_2002,-0.572172523,NA
Alcedo,azurea,max,34,TNZ,-5.22,5.22,145.79,NA,NA,NA,NA,NA,Chordata,Aves,Coraciiformes,Alcedinidae,Terrestrial,endotherm,Alcedo_azurea,McNab_2013,28.7184391,NA
Alcedo,azurea,min,19,TNZ,-5.22,5.22,145.79,NA,NA,NA,NA,NA,Chordata,Aves,Coraciiformes,Alcedinidae,Terrestrial,endotherm,Alcedo_azurea,McNab_2013,21.16282463,NA
Alectoria,ochroleuca,min,-8.1,ct,46.8,46.8,NA,2300,NA,NA,NA,NA,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,Terrestrial,plant,Alectoria_ochroleuca,Lange_1965,NA,NA
Alectoris,chukar,max,38.5,TNZ,30.86,30.86,34.76,476,NA,NA,NA,NA,Chordata,Aves,Galliformes,Phasianidae,Terrestrial,endotherm,Alectoris_chukar,Frumkin_et_al_1986,35.96490097,NA
Alectoris,chukar,min,28,TNZ,30.86,30.86,34.76,476,NA,NA,NA,NA,Chordata,Aves,Galliformes,Phasianidae,Terrestrial,endotherm,Alectoris_chukar,Frumkin_et_al_1986,5.692753315,NA
Alle,alle,max,20,TNZ,79,79,-11,NA,NA,NA,NA,NA,Chordata,Aves,Charadriiformes,Alcidae,Terrestrial,endotherm,Alle_alle,Gabrielsen_et_al_1991,NA,NA
Alle,alle,min,4.5,TNZ,79,79,-11,NA,NA,NA,NA,NA,Chordata,Aves,Charadriiformes,Alcidae,Terrestrial,endotherm,Alle_alle,Gabrielsen_et_al_1991,NA,NA
