Genus,Species,type,thermal_limit,metric,collection_latitude,absolute_latitude,collection_longitude,elevation,acclimation_temperature,start_temp,ramping_rate,exposure_duration,Phylum,Class,Order,Family,realm,thermy,genus_species,reference,extreme_enviro_temp,acclimation_offset
Coryphopterus,urospilus,max,35.4,ct,2.96,2.96,-78.2,0,26.5,26.5,0.017,NA,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,ectotherm,Coryphopterus_urospilus,Mora_&_Ospina_2001,29.89999962,-3.39999962
Coryphopterus,urospilus,min,12.3,ct,2.96,2.96,-78.2,0,26.5,26.5,0.017,NA,Chordata,Actinopteri,Perciformes,Gobiidae,Marine,ectotherm,Coryphopterus_urospilus,Mora_&_Ospina_2002,24.36999893,2.13000107
Cottus,bairdi,max,30.9,ct,43,43,-78.5,250,15,15,1,NA,Chordata,Actinopteri,Perciformes,Cottidae,Freshwater,ectotherm,Cottus_bairdi,Kowalski_et_al_1978,25.87695313,-10.87695313
Cottus,cognatus,max,29.4,ct,42.2,42.2,-86.7,120,20,20,0.5,NA,Chordata,Actinopteri,Perciformes,Cottidae,Freshwater,ectotherm,Cottus_cognatus,Otto_&_O<d5>Hara_Rice_1977,28.79851341,-8.79851341
Cottus,cognatus,min,3.5,LT50,42.2,42.2,-86.7,120,15,NA,NA,168,Chordata,Actinopteri,Perciformes,Cottidae,Freshwater,ectotherm,Cottus_cognatus,Otto_&_O<d5>Hara_Rice_1977,-7.993723392,22.99372339
Coturnix,pectoralis,max,35,TNZ,-35.17,35.17,139.02,NA,NA,NA,NA,NA,Chordata,Aves,Galliformes,Phasianidae,Terrestrial,endotherm,Coturnix_pectoralis,Roberts_&_Baudinette_1986,27.3443985,NA
Coturnix,pectoralis,min,30,TNZ,-35.17,35.17,139.02,NA,NA,NA,NA,NA,Chordata,Aves,Galliformes,Phasianidae,Terrestrial,endotherm,Coturnix_pectoralis,Roberts_&_Baudinette_1986,6.818665981,NA
Crangon,crangon,max,33.8,ct,38,38,-9,0,24,24,0.017,NA,Arthropoda,Malacostraca,Decapoda,Crangonidae,Marine,ectotherm,Crangon_crangon,Madeira_et_al_2012,22.84000015,1.15999985
Cranopsis,coccifer,min,2.8,LT50,10,10,NA,1219.2,23,NA,NA,24,Chordata,Amphibia,Anura,Bufonidae,Terrestrial,ectotherm,Cranopsis_coccifer,Brattstrom_1968,NA,NA
Crateroscelis,robusta,max,28,TNZ,-5.31,5.31,143.52,2860,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Acanthizidae,Terrestrial,endotherm,Crateroscelis_robusta,McNab_2013,25.49918556,NA
Crateroscelis,robusta,min,11,TNZ,-5.31,5.31,143.52,2860,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Acanthizidae,Terrestrial,endotherm,Crateroscelis_robusta,McNab_2013,13.99034977,NA
Craugastor,fitzingeri,min,8,LT50,9.15,9.15,NA,304.8,23,NA,NA,24,Chordata,Amphibia,Anura,Craugastoridae,Terrestrial,ectotherm,Craugastor_fitzingeri,Brattstrom_1968,NA,NA
Craugastor,fleischmanni,max,31.4,ct,10,10,-83.7,1554.48,23,23,1,NA,Chordata,Amphibia,Anura,Craugastoridae,Terrestrial,ectotherm,Craugastor_fleischmanni,Brattstrom_1968,30.38962555,-7.38962555
Craugastor,fleischmanni,min,6,LT50,10,10,-83.7,1554.48,23,NA,NA,24,Chordata,Amphibia,Anura,Craugastoridae,Terrestrial,ectotherm,Craugastor_fleischmanni,Brattstrom_1968,18.74819756,4.25180244
Crematogaster,NAlata,max,47.75,ct,4.05,4.05,114.81,0,25,36,0.2,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,ectotherm,Crematogaster_NAlata,Diamond_et_al_2012,31.30045509,-6.30045509
Crematogaster,lineolata,max,43.25,ct,36.04,36.04,-79.07,180,25,36,0.2,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,ectotherm,Crematogaster_lineolata,Diamond_et_al_2012,32.19478226,-7.19478226
Crematogaster,Physocremasp,max,40.75,ct,4.05,4.05,114.81,0,25,36,0.2,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,ectotherm,Crematogaster_Physocremasp,Diamond_et_al_2012,31.30045509,-6.30045509
Crematogaster,sp.1,max,47.75,ct,4.05,4.05,114.81,0,25,36,0.2,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,ectotherm,Crematogaster_sp.1,Diamond_et_al_2012,31.30045509,-6.30045509
Crematogaster,sp.2,max,46.75,ct,4.05,4.05,114.81,0,25,36,0.2,NA,Arthropoda,Insecta,Hymenoptera,Formicidae,Terrestrial,ectotherm,Crematogaster_sp.2,Diamond_et_al_2012,31.30045509,-6.30045509
Cricetulus,barabensis,max,30,TNZ,39.25,39.25,116.34,NA,23,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Cricetulus_barabensis,Song_&_Wang_2003,31.0112381,-8.0112381
Cricetulus,barabensis,min,27,TNZ,39.25,39.25,116.34,NA,23,NA,NA,NA,Chordata,Mammalia,Rodentia,Cricetidae,Terrestrial,endotherm,Cricetulus_barabensis,Song_&_Wang_2003,-9.599881172,32.59988117
Crinia,darlingtoni,max,31,ct,-28.28,28.28,153.11,762,5,20,1,NA,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,ectotherm,Crinia_darlingtoni,Brattstrom_1970,30.11128998,-25.11128998
Crinia,laevis,max,34.6,ct,-37.5,37.5,142.5,304.8,25,20,1,NA,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,ectotherm,Crinia_laevis,Brattstrom_1970,28.10611725,-3.10611725
Crinia,parainsignifera,max,34,ct,-31.55,31.55,147.2,304.8,25,20,1,NA,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,ectotherm,Crinia_parainsignifera,Brattstrom_1970,34.49520493,-9.49520493
Crinia,signifera,max,35.7,ct,-38,38,142.5,304.8,25,20,1,NA,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,ectotherm,Crinia_signifera,Brattstrom_1970,24.16413116,0.83586884
Crinia,victoriana,max,35,ct,-37,37,144.3,304.8,25,20,1,NA,Chordata,Amphibia,Anura,Myobatrachidae,Terrestrial,ectotherm,Crinia_victoriana,Brattstrom_1970,28.06298447,-3.06298447
Crinodendron,hookerianum,min,-4.9,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Oxalidales,Elaeocarpaceae,Terrestrial,plant,Crinodendron_hookerianum,Bannister_&_Lord_2010,NA,NA
Crocidura,hildegardeae,min,30,TNZ,-4.14,4.14,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_hildegardeae,Sparti_1990,NA,NA
Crocidura,jouvenetae,min,31,TNZ,5.35,5.35,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_jouvenetae,Sparti_1990,NA,NA
Crocidura,luna,min,31,TNZ,-4.14,4.14,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_luna,Sparti_1990,NA,NA
Crocidura,olivieri,min,27.5,TNZ,6.81,6.81,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_olivieri,Sparti_1990,NA,NA
Crocidura,poensis,min,30,TNZ,5.35,5.35,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_poensis,Sparti_1990,NA,NA
Crocidura,russula,max,35,TNZ,46.51,46.51,6.63,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_russula,Sparti_1990,24.15605354,NA
Crocidura,russula,min,27.5,TNZ,46.51,46.51,6.63,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_russula,Sparti_1990,-2.917616606,NA
Crocidura,suaveolens,max,35,TNZ,46.22,46.22,8.74,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_suaveolens,Sparti_1990,20.26600838,NA
Crocidura,suaveolens,min,27.5,TNZ,46.22,46.22,8.74,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_suaveolens,Sparti_1990,-7.769154549,NA
Crocidura,viaria,min,31,TNZ,14.68,14.68,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Insectivora,Soricidae,Terrestrial,endotherm,Crocidura_viaria,Sparti_1990,NA,NA
Crotalus,atrox,max,39,ct,35.7,35.7,-116.34,47,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,ectotherm,Crotalus_atrox,Cowles_&_Bogert_1944,39.159832,NA
Crotalus,cerastes,max,41.6,ct,35.7,35.7,-116.34,47,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,ectotherm,Crotalus_cerastes,Cowles_&_Bogert_1944,39.159832,NA
Crotalus,scutulatus,max,42,ct,34.74,34.74,-115.66,NA,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,ectotherm,Crotalus_scutulatus,Brattstrom_1965,38.66157913,NA
Crotalus,viridis,max,38,ct,33.83,33.83,-116.54,NA,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Viperidae,Terrestrial,ectotherm,Crotalus_viridis,Brattstrom_1965,37.67389297,NA
Crotaphytus,collaris,max,46.5,ct,31.85,31.85,-106.48,1388,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Iguanidae,Terrestrial,ectotherm,Crotaphytus_collaris,Cole_1943,35.46657944,NA
Crustulina,guttata,max,41.8,ct,55.4,55.4,14.19,3,15,15,0.5,NA,Arthropoda,Arachnida,Araneae,Theridiidae,Terrestrial,ectotherm,Crustulina_guttata,Almquist_1970,20.58191681,-5.58191681
Crustulina,guttata,min,-8,LT50,55.4,55.4,14.19,3,15,0.5,NA,72,Arthropoda,Arachnida,Araneae,Theridiidae,Terrestrial,ectotherm,Crustulina_guttata,Almquist_1970,-1.632228255,16.63222826
Cryptoblepharus,litoralis,max,41.4,ct,-17.49,17.49,146.08,12,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Cryptoblepharus_litoralis,Greer_1980,29.40991592,NA
Cryptoblepharus,plagiocephalus,max,43.1,ct,-24.36,24.36,131.75,655,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Cryptoblepharus_plagiocephalus,Greer_1980,38.11965561,NA
Cryptoblepharus,virgatus,max,41.1,ct,-27.48,27.48,152.97,83,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Cryptoblepharus_virgatus,Greer_1980,31.01422119,NA
Cryptomys,bocagei,max,32.5,TNZ,-14.53,14.53,13.28,NA,26,NA,NA,NA,Chordata,Mammalia,Rodentia,Bathyergidae,Terrestrial,endotherm,Cryptomys_bocagei,Bennett_et_al_1994,28.94857788,-2.94857788
Cryptomys,bocagei,min,31.5,TNZ,-14.53,14.53,13.28,NA,26,NA,NA,NA,Chordata,Mammalia,Rodentia,Bathyergidae,Terrestrial,endotherm,Cryptomys_bocagei,Bennett_et_al_1994,10.06071281,15.93928719
Cryptomys,hottentotus,max,32,TNZ,-15.23,15.23,28.21,NA,26,NA,NA,NA,Chordata,Mammalia,Rodentia,Bathyergidae,Terrestrial,endotherm,Cryptomys_hottentotus,Bennett_et_al_1994,33.30831146,-7.30831146
Cryptomys,hottentotus,min,28,TNZ,-15.23,15.23,28.21,NA,26,NA,NA,NA,Chordata,Mammalia,Rodentia,Bathyergidae,Terrestrial,endotherm,Cryptomys_hottentotus,Bennett_et_al_1994,9.849205971,16.15079403
Cryptomys,mechowi,max,30,TNZ,-12.27,12.27,27.51,6,26,NA,NA,NA,Chordata,Mammalia,Rodentia,Bathyergidae,Terrestrial,endotherm,Cryptomys_mechowi,Bennett_et_al_1994,32.06503677,-6.06503677
Cryptomys,mechowi,min,29,TNZ,-12.27,12.27,27.51,NA,26,NA,NA,NA,Chordata,Mammalia,Rodentia,Bathyergidae,Terrestrial,endotherm,Cryptomys_mechowi,Bennett_et_al_1994,7.557033539,18.44296646
Cryptopygus,antarcticustravei,min,-13.3,LT50,-46.9,46.9,NA,25,15,NA,NA,NA,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Terrestrial,ectotherm,Cryptopygus_antarcticustravei,Slabber_et_al_2007,NA,NA
Cryptopygus,cisantarcticus,max,31.8,ct,-72,72,170,0,NA,0,0.25,NA,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Terrestrial,ectotherm,Cryptopygus_cisantarcticus,Sinclair_et_al_2006,-1.059157133,NA
Cryptopygus,cisantarcticus,min,-7.4,ct,-72,72,170,0,NA,0,0.25,NA,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Terrestrial,ectotherm,Cryptopygus_cisantarcticus,Sinclair_et_al_2006,-27.64939117,NA
Ctenomys,talarum,max,35,TNZ,-37.8,37.8,-57.5,NA,20.5,NA,NA,NA,Chordata,Mammalia,Rodentia,Ctenomyidae,Terrestrial,endotherm,Ctenomys_talarum,Busch_1989,24.54728508,-4.04728508
Ctenomys,talarum,min,25,TNZ,-37.8,37.8,-57.5,NA,20.5,NA,NA,NA,Chordata,Mammalia,Rodentia,Ctenomyidae,Terrestrial,endotherm,Ctenomys_talarum,Busch_1989,5.508382797,14.9916172
Ctenophorus,cristatus,max,43,ct,-29.03,29.03,138.87,164,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Ctenophorus_cristatus,Warburg_1965,38.02518082,NA
Ctenophorus,decresii,max,43.8,ct,-34.9,34.9,146.2,326,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Ctenophorus_decresii,Spellerberg_1972a,32.16394806,NA
Ctenophorus,decresii,min,7,ct,-34.9,34.9,146.2,326,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Ctenophorus_decresii,Spellerberg_1972a,3.3449049,NA
Ctenophorus,fordi,max,45.5,ct,-33.05,33.05,146.3,159,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Ctenophorus_fordi,Cogger_1974,33.84809113,NA
Ctenophorus,maculosus,max,48.9,ct,-28.38,28.38,135.33,1,NA,NA,0.2,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Ctenophorus_maculosus,Mitchell_1973,37.02602005,NA
Ctenophorus,nuchalis,max,48.5,ct,-24.13,24.13,135.33,294,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Ctenophorus_nuchalis,Heatwole_1970,37.57064056,NA
Ctenophorus,pictus,max,45,ct,-29.65,29.65,138.07,98,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Ctenophorus_pictus,Warburg_1965,37.32604218,NA
Ctenophorus,reticulatus,max,46.5,ct,-29.65,29.65,137.9,98,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Agamidae,Terrestrial,ectotherm,Ctenophorus_reticulatus,Warburg_1965,37.32604218,NA
Ctenotus,essingtoni,max,45,ct,-12.65,12.65,132,22,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_essingtoni,Greer_1980,36.20124435,NA
Ctenotus,pantherinus,max,36.9,ct,-28.1,28.1,139.98,438,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_pantherinus,Heatwole_1976,38.33998489,NA
Ctenotus,regius,max,45.1,ct,-34.18,34.18,139.98,16,35,35,1,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_regius,Bennett_&_John-Alder_1986,32.29346466,2.70653534
Ctenotus,regius,min,8.7,ct,-34.18,34.18,139.98,16,15,15,1,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_regius,Bennett_&_John-Alder_1986,4.161160469,10.83883953
Ctenotus,spaldingi,max,45.5,ct,-14.89,14.89,142.5,74,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_spaldingi,Greer_1980,36.84954834,NA
Ctenotus,taeniolatus,max,44.7,ct,-30.52,30.52,151.65,1013,35,35,1,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_taeniolatus,Bennett_&_John-Alder_1986,29.56103897,5.43896103
Ctenotus,taeniolatus,min,11.4,ct,-30.52,30.52,151.65,1013,15,15,1,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_taeniolatus,Bennett_&_John-Alder_1986,1.229507804,13.7704922
Ctenotus,uber,max,45.5,ct,-34.57,34.57,139.58,11,35,35,1,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_uber,Bennett_&_John-Alder_1986,32.29346466,2.70653534
Ctenotus,uber,min,9.1,ct,-34.57,34.57,139.58,11,15,15,1,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Ctenotus_uber,Bennett_&_John-Alder_1986,4.161160469,10.83883953
Cucujus,clavipes,min,-10,LT50,42.5,42.5,NA,400,NA,0.2,NA,24,Arthropoda,Insecta,Coleoptera,Cucujidae,Terrestrial,ectotherm,Cucujus_clavipes,Duman_1979,NA,NA
Cunonia,capensis,min,-3.8,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Oxalidales,Cunoniaceae,Terrestrial,plant,Cunonia_capensis,Bannister_&_Lord_2010,NA,NA
Cupressus,sempervirens,max,49.3,ct,42.49,42.49,2.25,770,30,25,1,NA,Streptophyta,Spermatophyta,Cupressales,Cupressaceae,Terrestrial,plant,Cupressus_sempervirens,Froux_et_al_2004,28.3418293,1.6581707
Cussonia,paniculata,min,-4.7,LT50,NA,NA,NA,NA,NA,NA,NA,8,Streptophyta,Spermatophyta,Apiales,Araliaceae,Terrestrial,plant,Cussonia_paniculata,Bannister_&_Lord_2010,NA,NA
Cyanerpes,cyaneus,max,35,TNZ,10.15,10.15,-64.28,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Fringillidae,Terrestrial,endotherm,Cyanerpes_cyaneus,Mata_2010,32.9401741,NA
Cyanerpes,cyaneus,min,25,TNZ,10.15,10.15,-64.28,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Fringillidae,Terrestrial,endotherm,Cyanerpes_cyaneus,Mata_2010,20.68223953,NA
Cyanocitta,stelleri,max,31.8,TNZ,34.09,34.09,-116.92,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Corvidae,Terrestrial,endotherm,Cyanocitta_stelleri,Mann_1983,34.57215118,NA
Cyanocitta,stelleri,min,28,TNZ,34.09,34.09,-116.92,NA,NA,NA,NA,NA,Chordata,Aves,Passeriformes,Corvidae,Terrestrial,endotherm,Cyanocitta_stelleri,Mann_1983,1.797234893,NA
Cyanoliseus,patagonus,max,30,TNZ,-37.88,37.88,-67.19,NA,NA,NA,NA,NA,Chordata,Aves,Psittaciformes,Psittacidae,Terrestrial,endotherm,Cyanoliseus_patagonus,Zungu_et_al_2013,32.18033218,NA
Cyanoliseus,patagonus,min,15,TNZ,-37.88,37.88,-67.19,NA,NA,NA,NA,NA,Chordata,Aves,Psittaciformes,Psittacidae,Terrestrial,endotherm,Cyanoliseus_patagonus,Zungu_et_al_2013,0.372451037,NA
Cyanoramphus,auriceps,max,37,TNZ,-40.7,40.7,175,NA,NA,NA,NA,NA,Chordata,Aves,Psittaciformes,Psittacidae,Terrestrial,endotherm,Cyanoramphus_auriceps,McNab_&_Salisbury_1995,20.9448185,NA
Cyanoramphus,auriceps,min,22,TNZ,-40.55,40.55,175,NA,NA,NA,NA,NA,Chordata,Aves,Psittaciformes,Psittacidae,Terrestrial,endotherm,Cyanoramphus_auriceps,McNab_&_Salisbury_1995,5.553198814,NA
Cyanoramphus,novaezelandiae,max,37,TNZ,-40.54,40.54,174.53,NA,NA,NA,NA,NA,Chordata,Aves,Psittaciformes,Psittacidae,Terrestrial,endotherm,Cyanoramphus_novaezelandiae,McNab_&_Salisbury_1995,20.9448185,NA
Cyanoramphus,novaezelandiae,min,22,TNZ,-40.54,40.54,174.53,NA,NA,NA,NA,NA,Chordata,Aves,Psittaciformes,Psittacidae,Terrestrial,endotherm,Cyanoramphus_novaezelandiae,McNab_&_Salisbury_1995,5.553198814,NA
Cyanoramphus,unicolor,max,35,TNZ,-41.17,41.17,174.53,NA,NA,NA,NA,NA,Chordata,Aves,Psittaciformes,Psittacidae,Terrestrial,endotherm,Cyanoramphus_unicolor,McNab_&_Salisbury_1995,20.9448185,NA
Cyanoramphus,unicolor,min,18,TNZ,-41.17,41.17,174.53,NA,NA,NA,NA,NA,Chordata,Aves,Psittaciformes,Psittacidae,Terrestrial,endotherm,Cyanoramphus_unicolor,McNab_&_Salisbury_1995,5.553198814,NA
Cyclodomorphus,branchialis,max,43.6,ct,-28.74,28.74,114.62,12,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Cyclodomorphus_branchialis,Greer_1980,34.96094894,NA
Cyclodomorphus,melanops,max,41.5,ct,-27.06,27.06,129.64,562,NA,NA,NA,NA,Chordata,Lepidosauria,Squamata,Scincidae,Terrestrial,ectotherm,Cyclodomorphus_melanops,Warburg_1965,36.17402649,NA
Cyclopes,didactylus,min,25,TNZ,-7.7,7.7,NA,NA,NA,NA,NA,NA,Chordata,Mammalia,Pilosa,Cyclopedidae,Terrestrial,endotherm,Cyclopes_didactylus,McNab_1984,NA,NA
Cyclorana,alboguttatus,max,33.8,ct,-20,20,146.8,304.8,5,20,1,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,ectotherm,Cyclorana_alboguttatus,Brattstrom_1970,34.60328674,-29.60328674
Cyclorana,brevipes,max,40,ct,21,21,145.9,304.8,30,20,1,NA,Chordata,Amphibia,Anura,Hylidae,Terrestrial,ectotherm,Cyclorana_brevipes,Brattstrom_1970,NA,NA
Cynomys,ludovicianus,max,35,TNZ,46.9,46.9,-112.1,NA,22,NA,NA,NA,Chordata,Mammalia,Rodentia,Sciuridae,Terrestrial,endotherm,Cynomys_ludovicianus,Reinking_et_al_1977,25.89160347,-3.89160347
Cynomys,ludovicianus,min,30,TNZ,46.9,46.9,-112.1,NA,22,NA,NA,NA,Chordata,Mammalia,Rodentia,Sciuridae,Terrestrial,endotherm,Cynomys_ludovicianus,Reinking_et_al_1977,-12.12364674,34.12364674
Cynopterus,brachyotis,max,37,TNZ,4.53,4.53,114.56,NA,NA,NA,NA,NA,Chordata,Mammalia,Chiroptera,Pteropodidae,Terrestrial,endotherm,Cynopterus_brachyotis,McNab_1989,31.30045509,NA
Cynopterus,brachyotis,min,30,TNZ,4.53,4.53,114.56,NA,NA,NA,NA,NA,Chordata,Mammalia,Chiroptera,Pteropodidae,Terrestrial,endotherm,Cynopterus_brachyotis,McNab_1989,21.14580727,NA
Cyprinella,lutrensis,max,30.7,ct,34.2,34.2,-96.6,200,10,10,1,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Freshwater,ectotherm,Cyprinella_lutrensis,Lutterschmidt_&_Hutchison_1997,35.35910416,-25.35910416
Cyprinella,spiloptera<ca>,max,31.8,ct,39.3,39.3,-84.6,191,NA,11,1,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Freshwater,ectotherm,Cyprinella_spiloptera<ca>,Hockett_&_Mundahl_1989,30.63005829,NA
Cyprinella,spiloptera<ca>,min,4.5,ct,39.3,39.3,-84.6,191,22,22,0.5,NA,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Freshwater,ectotherm,Cyprinella_spiloptera<ca>,Hockett_&_Mundahl_1989,-6.806132317,28.80613232
Cyprinodon,artifrons,max,43.7,ct,16.8,16.8,-88.1,5,30,30,0.3,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Freshwater,ectotherm,Cyprinodon_artifrons,Heath_et_al_1993,33.00595856,-3.00595856
Cyprinodon,dearborni,max,35.7,LT50,18,18,-64.5,0,NA,NA,NA,72,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Marine,ectotherm,Cyprinodon_dearborni,Brett_1970,30.25,NA
Cyprinodon,dearborni,min,14,LT50,18,18,-64.5,0,33,NA,NA,3,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Marine,ectotherm,Cyprinodon_dearborni,Brett_1970,25.45999908,7.54000092
Cyprinodon,macularius,max,40,ct,33,33,-111,1.00E+03,25,25,0.3,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Freshwater,ectotherm,Cyprinodon_macularius,Carveth_et_al_2006,37.72694778,-12.72694778
Cyprinodon,nevadensis_amargosae,max,42.5,ct,36,36,-117,1179,25,35,0.03,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Freshwater,ectotherm,Cyprinodon_nevadensis_amargosae,Feldmeth_et_al_1974,36.78936005,-11.78936005
Cyprinodon,nevadensis_amargosae,min,0.75,ct,36,36,-117,1179,25,15,0.03,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Freshwater,ectotherm,Cyprinodon_nevadensis_amargosae,Feldmeth_et_al_1974,-1.399959087,26.39995909
Cyprinodon,sp.1,max,41.4,ct,36.5,36.5,-120,200,25,25,0.3,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Freshwater,ectotherm,Cyprinodon_sp.1,Otto_&_Gerking_1973,33.90538025,-8.90538025
Cyprinodon,variegatus,max,44.2,ct,26,26,-97.15,0,21,30,0.1,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Marine,ectotherm,Cyprinodon_variegatus,Bennett_&_Beitinger_1997,30.48999977,-9.48999977
Cyprinodon,variegatus,min,6.9,ct,26,26,-97.15,0,20,21,0.1,NA,Chordata,Actinopteri,Cyprinodontiformes,Cyprinodontidae,Marine,ectotherm,Cyprinodon_variegatus,Bennett_&_Beitinger_1997,17.94999886,2.05000114
Cyrtodactylus,philippinicus,max,34.6,ct,14.09,14.09,121.49,1100,22,22,0.5,NA,Chordata,Lepidosauria,Squamata,Gekkonidae,Terrestrial,ectotherm,Cyrtodactylus_philippinicus,Scheffers_et_al_2014,32.4418602,-10.4418602
Cystophora,torulosa,min,-6.1,LT50,-45.95,45.95,NA,0,NA,NA,NA,10,Phaeophyceae,Phaeophyceae,Fucales,Sargassaceae,Intertidal,plant,Cystophora_torulosa,Frazer_et_al_1988,NA,NA
Dacelo,gaudichaud,min,25,TNZ,-5.22,5.22,NA,NA,NA,NA,NA,NA,Chordata,Aves,Coraciiformes,Alcedinidae,Terrestrial,endotherm,Dacelo_gaudichaud,McNab_2013,NA,NA
Dacelo,novaeguineae,min,20,TNZ,-42.54,42.54,NA,NA,NA,NA,NA,NA,Chordata,Aves,Coraciiformes,Alcedinidae,Terrestrial,endotherm,Dacelo_novaeguineae,Buttemer_et_al_2003,NA,NA
