Realm,Genus,Species,data_gatherer,habitat_data_gatherer,Kingdom,Phylum,Class,Order,Family,maximum_body_size_SVL_HBL_cm_,Source_for_maximum_body_size,notes_on_body_size_e_g_type_of_metric_,Trophic_position,Source_logic_for_trophic_position,migratory_,source_logic_for_migration_info,dispersal_distance_category,logic_source_for_dispersal_distance,dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_,logic_source_for_dispersal_type,cold_season_dormancy_,source_logic_for_cold_season_dormancy,notes_for_cold_season_dormancy,hot_season_dormancy_,source_logic_for_hot_season_dormancy,notes_for_hot_season_dormancy,highland_specialist,source_logic_for_highland_specialist,coastal_or_oceanic,notes_logic,coastal_or_oceanic_source,upper_depth_limit,lower_depth_limit,usual_range,depth_distribution_source,lower_elevation_limit_meters,upper_elevation_limit_meters,elevational_range_source,pelagic_habitat_for_marine_species,source_logic_for_pelagic_habitat,genus_species,limit_type,notes,newly_added
Intertidal,Patiriella,brevispina,Jenn,Nikki,Animalia,Echinodermata,Asteroidae,Valvatida,Asterinidae,5.2,Dartnall (1969) Papers and Proceedings of the Royal Society of Tasmania 104: 73-77,"maximum length, indeterminate growth",carnivore,EOL,Non-migratory,taxa,10-100,"pelagic lecithotrophic larvae of unk duration - Foltz, D. W. (2003). Invertebrate species with nonpelagic larvae have elevated levels of nonsynonymous substitutions and reduced nucleotide diversities. Journal of molecular evolution, 57(6), 607-612.",pelagic development and crawling adults,"pelagic lecithotrophic larvae - Foltz, D. W. (2003). Invertebrate species with nonpelagic larvae have elevated levels of nonsynonymous substitutions and reduced nucleotide diversities. Journal of molecular evolution, 57(6), 607-612.",No,no info - based on taxa,NA,No,no info - based on taxa,NA,NA,intertidal,NA,intertidal,NA,-2,-24,NA,pg 222 of Echinoderms By John M. Lawrence,NA,NA,intertidal,benthic,NA,Patiriella_brevispina,max,NA,NA
Intertidal,Mytilus,edulis,Jenn,Nikki,Animalia,Mollusca,Bivalvia,Mytiloida,Mytilidae,4,Kautsky (1982) Marine Biology 68: 117–133,"maximum shell length, indeterminate growth",omnivore,filter feeding class,Non-migratory,sessile,100+,"larval stage 3-5 weeks, also Coolen et al. (2020) Molecular Ecology 29(4): 686-703",pelagic development and sessile adults,"pelagic larval stage - Filgueira, R., Brown, M. S., Comeau, L. A., & Grant, J. (2015). Predicting the timing of the pediveliger stage of Mytilus edulis based on ocean temperature. Journal of Molluscan Studies, 81(2), 269-273.",No,unheard of for marine bivalves,NA,No,unheard of for marine bivalves,NA,NA,intertidal,NA,intertidal,NA,0,-60,NA,sealifebase,NA,NA,intertidal,benthic,NA,Mytilus_edulis,"max, min",NA,NA
Intertidal,Barbatia,pistachia,Jenn,Nikki,Animalia,Mollusca,Bivalvia,Pteriomorpha,Arcidae,4.482,Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110,mean shell length,omnivore,filter feeding class,Non-migratory,sessile,10-100,guessed - planktonic larval stage in genus thought to be ~1 month (Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87),pelagic development and sessile adults,planktonic larval stage in genus - Zeinalinpour et al. (2014) Tropical Zoology 37(3): 73-87,No,unheard of for marine bivalves,NA,No,unheard of for marine bivalves,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,https://collections.museumsvictoria.com.au/species/15783,NA,NA,intertidal,benthic,NA,Barbatia_pistachia,"max, min",NA,NA
Intertidal,Anodontia,bullula,Jenn,Nikki,Animalia,Mollusca,Bivalvia,Veneroida,Lucinidae,2.5,Meyer (2008) The Raffles Bulletin of Zoology 18: 41-45,NA,omnivore,filter feeding class,Non-migratory,sessile,100+,guessed,walking,Labarbera (1974) Journal of Paleontology 48(2): 256-277; planktonic larvae based on species in the same genus,No,unheard of for marine bivalves,NA,No,unheard of for marine bivalves,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,NA,NA,NA,intertidal,benthic,NA,Anodontia_bullula,"max, min",NA,NA
Intertidal,Cerastoderma,edule,Jenn,Nikki,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,1.82,Lehane and Davenport (2002) Journal of the Marine Biological Association of the United Kingdom 82(4): 615-619,mean shell length,omnivore,filter feeding class,Non-migratory,sessile,100+,guessed - Malham et al. (2012)  Journal of the Marine Biological Association of the United Kingdom 92: 1563–1584; planktonic duration 3-5 weeks,pelagic development and sessile adults,Shelagh et al. (2012) Journal of the Marine Biological Association of the United Kingdom 92(7):1563-1577,No,unheard of for marine bivalves,NA,No,unheard of for marine bivalves,NA,NA,intertidal,NA,intertidal,NA,0,-50,,sealifebase,NA,NA,intertidal,benthic,NA,Cerastoderma_edule,"max, min",NA,NA
Intertidal,Divaricella,irpex,Jenn,Nikki,Animalia,Mollusca,Bivalvia,Veneroida,Lucinidae,1.388,Compton et al. (2008) Journal of Experimental Marine Biology and Ecology 361(2): 104-110,mean shell length,omnivore,filter feeding class,Non-migratory,sessile,NA,no info,NA,no info,No,unheard of for marine bivalves,NA,No,unheard of for marine bivalves,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,NA,NA,NA,intertidal,benthic,NA,Divaricella_irpex,"max, min",NA,NA
Intertidal,Macoma,balthica,Jenn,Nikki,Animalia,Mollusca,Bivalvia,Veneroida,Tellinidae,3.8,sealifebase,maximum SHL,omnivore,sealifebase,Non-migratory,sessile,10-100,"PLD 2-5 weeks - Drent, J. (2002). Temperature responses in larvae of Macoma balthica from a northerly and southerly population of the European distribution range. Journal of Experimental Marine Biology and Ecology, 275(2), 117-129.",pelagic development,"Drent, J. (2002). Temperature responses in larvae of Macoma balthica from a northerly and southerly population of the European distribution range. Journal of Experimental Marine Biology and Ecology, 275(2), 117-129.",No,unheard of for marine bivalves,NA,No,unheard of for marine bivalves,NA,NA,intertidal,NA,intertidal,NA,0,-270,NA,sealifebase,NA,NA,intertidal,benthic,NA,Macoma_balthica,"max, min",NA,NA
Intertidal,Spisula,subtruncata,Jenn,Nikki,Animalia,Mollusca,Bivalvia,Veneroida,Mactridae,NA,NA,NA,omnivore,filter feeding class,Non-migratory,sessile,10-100,guessed - pelagic larvae and Cardoso et al. (2007) suggests a larval settlement time of 1 month,pelagic development and sessile adults,Cardoso et al. (2007) Journal of Sea Research 57(4): 316-324; data suggest a larval settlement time of 1 month,No,unheard of for marine bivalves,NA,No,unheard of for marine bivalves,NA,NA,intertidal,NA,intertidal,NA,NA,NA,NA,NA,NA,NA,intertidal,benthic,NA,Spisula_subtruncata,max,NA,NA
Intertidal,Tellina,tenuis,Jenn,Nikki,Animalia,Mollusca,Bivalvia,Veneroida,Tellinidae,2.6,"Dekker & Beukema (1999) Journal of Sea Research, 42(3): 207-220",NA,omnivore,filter feeding class,Non-migratory,sessile,10-100,"guessed seems PLD seems less than a month - Barnett, P. R. (1985). The effect of temperature on the growth of planktonic larvae of Tellina tenuis da Costa. Journal of experimental marine biology and ecology, 89(1), 1-10.",pelagic development and sessile adults,"pelagic planktotrophic larval stage - Barnett, P. R. (1985). The effect of temperature on the growth of planktonic larvae of Tellina tenuis da Costa. Journal of experimental marine biology and ecology, 89(1), 1-10.",No,unheard of for marine bivalves,NA,No,unheard of for marine bivalves,NA,NA,intertidal,NA,intertidal,NA,-7,-9,NA,sealifebase,NA,NA,intertidal,benthic,NA,Tellina_tenuis,max,NA,NA
Intertidal,Nacella,concinna,Jenn,Nikki,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Patellidae,6,sealifebase,NA,omnivore,"Kim (2001) ""Seasonality of marine algae and grazers of an Antarctic rocky intertidal, with emphasis On the role of the limpet Nacella concinna Strebel (Gastropoda: Patellidae)""",Non-migratory,taxa,10-100,"guessed since PLD 1 month - Picken, G. B. (1980). The distribution, growth, and reproduction of the Antarctic limpet Nacella (Patinigera) concinna (Strebel, 1908). Journal of experimental marine biology and ecology, 42(1), 71-85.",pelagic development and crawling adults,"pelagic larval stage - Picken, G. B. (1980). The distribution, growth, and reproduction of the Antarctic limpet Nacella (Patinigera) concinna (Strebel, 1908). Journal of experimental marine biology and ecology, 42(1), 71-85.",No,unheard of for marine gastropods,NA,No,unheard of for marine gastropods,NA,NA,intertidal,NA,intertidal,NA,0,-110,NA,sealifebase,NA,NA,intertidal,benthic,NA,Nacella_concinna,"max, min",NA,NA
Intertidal,Nucella,lapillus,Jenn,Nikki,Animalia,Mollusca,Gastropoda,Archaeogastropoda,Muricidae,4.2,sealifebase,NA,carnivore,Vasileios and Andrews (2000) Malacologia 42(1-2): 103-112,Non-migratory,taxa,10-100,Colson and Hughes (2004) Molecular Ecology 13(8): 2223-2233,non-pelagic development and crawling adults,Colson and Hughes (2004) Molecular Ecology 13(8): 2223-2233,No,unheard of for marine gastropods,NA,No,unheard of for marine gastropods,NA,NA,intertidal,NA,intertidal,NA,0,-40,NA,sealifebase,NA,NA,intertidal,benthic,NA,Nucella_lapillus,"max, min",NA,NA
Intertidal,Littorina,littorea,Jenn,Nikki,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,4.2,sealifebase,NA,herbivore,Imrie et al. (1989) Journal of Molluscan Studies 55(2): 217–225,Non-migratory,taxa,10-100,Shanks et al. (2003) Ecological Applications 13(1): 159–169,pelagic development and crawling adults,Johannesson (1988) Marine Biology 99: 507-513,No,unheard of for marine gastropods,NA,No,unheard of for marine gastropods,NA,NA,intertidal,NA,intertidal,NA,0,-60,NA,sealifebase,NA,NA,intertidal,benthic,NA,Littorina_littorea,"max, min",NA,NA
Intertidal,Littorina,obtusata,Jenn,Nikki,Animalia,Mollusca,Gastropoda,Neotaenioglossa,Littorinidae,1.3,sealifebase,NA,herbivore,Coleman et al. (2007) Oecologia 151(3): 454-463,Non-migratory,taxa,10-100,Ingolfsson (1995) Marine Biology 122: 13-21; dispersal on seaweed,non-pelagic development and crawling adults,Mileikovsky (1975) Marine Biology 30: 129-135; direct development,No,unheard of for marine gastropods,NA,No,unheard of for marine gastropods,NA,NA,intertidal,NA,intertidal,NA,0,-110,NA,sealifebase,NA,NA,intertidal,benthic,NA,Littorina_obtusata,"max, min",NA,NA
