"range","type","dormancy","realm","r_niche_upper","p_niche_upper","ctmax","r_niche_lower","p_niche_lower","ctmin","limit_type","warm_under","warm_over","f_warm_over","f_warm_under","cold_under","cold_over","f_cold_over","f_cold_under","species","source","range_area_km2","lat_mp"
"Ctenotus_taeniolatus_GBIF","Te","none","Terrestrial",37.5502510070801,41.2448577880859,44.7,-11.6350564956665,11.4806156158447,11.4,"tmax, tmin",-3.6946067810058,0,0,7.1497489929199,0,23.1156721115112,26.1502510070801,0,"Ctenotus taeniolatus","GBIF",1663936,-27.15907098229
"Ctenotus_uber_IUCN","Te","none","Terrestrial",41.3932762145996,41.3932762145996,45.5,3.43334221839905,9.11886024475098,9.1,"tmax, tmin",0,0,0,4.1067237854004,0,5.68551802635193,32.2932762145996,0,"Ctenotus uber","IUCN",1060968,-26.1676794195
"Ctenotus_uber_GBIF","Te","none","Terrestrial",41.3932762145996,41.3932762145996,45.5,-8.37974166870117,9.11886024475098,9.1,"tmax, tmin",0,0,0,4.1067237854004,0,17.4986019134521,32.2932762145996,0,"Ctenotus uber","GBIF",4315705,-28.4349359637454
"Dendrobates_auratus_IUCN","Te","none","Terrestrial",33.9521141052246,34.760082244873,34.8,17.7757930755615,9.5187463760376,9.5,"tmax, tmin",-0.807968139648395,0,0,0.847885894775395,-8.2570466995239,0,0,-8.2757930755615,"Dendrobates auratus","IUCN",116892,13.5207421030001
"Desmognathus_fuscus_IUCN","Te","none","Terrestrial",32.2591819763184,34.8872413635254,34.9,-20.8865032196045,-2.26649832725525,-2.3,"tmax, tmin",-2.628059387207,0,0,2.6408180236816,0,18.6200048923493,34.5591819763184,0,"Desmognathus fuscus","IUCN",1548642,38.5751565195
"Dipsosaurus_dorsalis_IUCN","Te","cold","Terrestrial",43.4218902587891,42.0749206542969,47.5,-4.42285203933716,14.0087957382202,14,"tmax, tmin",0,1.34696960449219,0,4.0781097412109,0,18.4316477775574,29.4218902587891,0,"Dipsosaurus dorsalis","IUCN",474839,30.5609401835
"Egernia_cunninghami_GBIF","Te","cold","Terrestrial",37.3155975341797,41.409782409668,41.9,-6.02820110321045,4.76418542861938,4.7,"tmax, tmin",-4.0941848754883,0,0,4.5844024658203,0,10.7923865318298,32.6155975341797,0,"Egernia cunninghami","GBIF",1181913,-32.308779401323
"Egernia_cunninghami_IUCN","Te","cold","Terrestrial",35.5606269836426,41.409782409668,41.9,-6.02820110321045,4.76418542861938,4.7,"tmax, tmin",-5.8491554260254,0,0,6.3393730163574,0,10.7923865318298,30.8606269836426,0,"Egernia cunninghami","IUCN",288991,-31.3164588369999
"Egernia_saxatilis_IUCN","Te","cold","Terrestrial",34.5345039367676,41.4014854431152,41.8,-2.66048622131348,4.51185512542725,4.5,"tmax, tmin",-6.8669815063476,0,0,7.2654960632324,0,7.17234134674073,30.0345039367676,0,"Egernia saxatilis","IUCN",191753,-34.8817618195
"Egernia_saxatilis_GBIF","Te","cold","Terrestrial",35.556396484375,41.4014854431152,41.8,-6.012619972229,4.51185512542725,4.5,"tmax, tmin",-5.8450889587402,0,0,6.243603515625,0,10.5244750976562,31.056396484375,0,"Egernia saxatilis","GBIF",593613,-33.4596981412861
"Egernia_striolata_GBIF","Te","cold","Terrestrial",40.2709770202637,41.3995399475098,44.2,-6.00886011123657,6.12992715835571,6.1,"tmax, tmin",-1.1285629272461,0,0,3.9290229797363,0,12.1387872695923,34.1709770202637,0,"Egernia striolata","GBIF",2727822,-27.9509371417412
"Egernia_striolata_IUCN","Te","cold","Terrestrial",37.7558097839355,41.3995399475098,44.2,-6.00886011123657,6.12992715835571,6.1,"tmax, tmin",-3.6437301635743,0,0,6.44419021606451,0,12.1387872695923,31.6558097839355,0,"Egernia striolata","IUCN",1830012,-27.2808403529999
"Eleutherodactylus_coqui_IUCN","Te","cold","Terrestrial",33.0584754943848,37.1329689025879,37.2,14.4540224075317,7.53654146194458,7.5,"tmax, tmin",-4.0744934082031,0,0,4.1415245056152,-6.91748094558712,0,0,-6.9540224075317,"Eleutherodactylus coqui","IUCN",12364,21.954099141
"Elgaria_multicarinata_IUCN","Te","cold","Terrestrial",43.422721862793,41.1838302612305,41.4,-5.89802646636963,2.21907687187195,2.2,"tmax, tmin",0,2.2388916015625,2.022721862793,0,0,8.11710333824158,41.222721862793,0,"Elgaria multicarinata","IUCN",332751,38.615441149
"Eremias_argus_IUCN","Te","cold","Terrestrial",35.4577751159668,44.1669082641602,44.9,-16.9964847564697,1.00090265274048,1,"tmax, tmin",-8.7091331481934,0,0,9.4422248840332,0,17.9973874092102,34.4577751159668,0,"Eremias argus","IUCN",4172221,41.4884031755001
"Eremias_brenchleyi_IUCN","Te","cold","Terrestrial",35.3002471923828,43.476432800293,43.6,-2.33825898170471,3.40441274642944,3.4,"tmax, tmin",-8.1761856079102,0,0,8.2997528076172,0,5.74267172813415,31.9002471923828,0,"Eremias brenchleyi","IUCN",927318,35.5924158100001
"Eremias_multiocellata_GBIF","Te","cold","Terrestrial",38.6736221313477,41.0880088806152,41.1,-17.0018119812012,9.02159023284912,9,"tmax, tmin",-2.4143867492675,0,0,2.4263778686523,0,26.0234022140503,29.6736221313477,0,"Eremias multiocellata","GBIF",3628178,42.2027268315594
"Eremias_multiocellata_IUCN","Te","cold","Terrestrial",35.0798759460449,40.2300338745117,41.1,-16.1739120483398,9.04916763305664,9,"tmax, tmin",-5.1501579284668,0,0,6.0201240539551,0,25.2230796813964,26.0798759460449,0,"Eremias multiocellata","IUCN",907461,47.168057483
"Eremiascincus_fasciolatus_IUCN","Te","none","Terrestrial",36.3779640197754,41.0729560852051,41.2,-11.4707221984863,9.046706199646,9,"tmax, tmin",-4.6949920654297,0,0,4.8220359802246,0,20.5174283981323,27.3779640197754,0,"Eremiascincus fasciolatus","IUCN",434768,-23.202842195
"Eremiascincus_fasciolatus_GBIF","Te","none","Terrestrial",41.3963737487793,41.0729560852051,41.2,-11.6399517059326,9.046706199646,9,"tmax, tmin",0,0.323417663574197,0.196373748779294,0,0,20.6866579055786,32.3963737487793,0,"Eremiascincus fasciolatus","GBIF",6010004,-24.5922414491592
"Eremiascincus_richardsoni_GBIF","Te","none","Terrestrial",41.4005546569824,41.4005546569824,42,-11.6455783843994,7.31765985488892,7.3,"tmax, tmin",0,0,0,0.5994453430176,0,18.9632382392883,34.1005546569824,0,"Eremiascincus richardsoni","GBIF",6214056,-25.3522748898709
"Eulamprus_heatwolei_IUCN","Te","cold","Terrestrial",35.5539360046387,39.4865264892578,39.5,-4.03575658798218,5.42858695983887,5.3,"tmax, tmin",-3.9325904846191,0,0,3.9460639953613,0,9.46434354782105,30.2539360046387,0,"Eulamprus heatwolei","IUCN",159610,-34.2702558534999
"Eulamprus_kosciuskoi_IUCN","Te","cold","Terrestrial",35.5524864196777,40.1861114501953,40.2,-5.9977445602417,2.50903463363647,2.5,"tmax, tmin",-4.6336250305176,0,0,4.6475135803223,0,8.50677919387817,33.0524864196777,0,"Eulamprus kosciuskoi","IUCN",30782,-32.888888365
"Eulamprus_kosciuskoi_GBIF","Te","cold","Terrestrial",35.5524864196777,40.1861114501953,40.2,-4.02964162826538,2.50903463363647,2.5,"tmax, tmin",-4.6336250305176,0,0,4.6475135803223,0,6.53867626190185,33.0524864196777,0,"Eulamprus kosciuskoi","GBIF",381317,-32.943777927296
"Eulamprus_quoyii_IUCN","Te","cold","Terrestrial",36.3218765258789,39.7878265380859,39.8,-6.01082563400269,6.12717342376709,6,"tmax, tmin",-3.465950012207,0,0,3.4781234741211,0,12.1379990577698,30.3218765258789,0,"Eulamprus quoyii","IUCN",1004307,-27.003083467
"Eulamprus_quoyii_GBIF","Te","cold","Terrestrial",38.7757606506348,39.7878265380859,39.8,-6.01082563400269,6.12717342376709,6,"tmax, tmin",-1.0120658874511,0,0,1.0242393493652,0,12.1379990577698,32.7757606506348,0,"Eulamprus quoyii","GBIF",1994465,-29.4089134883055
"Eulamprus_tympanum_IUCN","Te","cold","Terrestrial",32.3524971008301,38.9654159545898,39,-2.65108585357666,2.50169682502747,2.5,"tmax, tmin",-6.6129188537597,0,0,6.6475028991699,0,5.15278267860413,29.8524971008301,0,"Eulamprus tympanum","IUCN",243224,-35.9448393169999
"Eulamprus_tympanum_GBIF","Te","cold","Terrestrial",37.979419708252,38.9654159545898,39,-4.03464269638062,2.50169682502747,2.5,"tmax, tmin",-0.985996246337798,0,0,1.020580291748,0,6.53633952140809,35.479419708252,0,"Eulamprus tympanum","GBIF",1165330,-33.8886181650911
"Eurycea_bislineata_IUCN","Te","cold","Terrestrial",29.8119297027588,34.9752655029297,35,-10.6482095718384,-1.99962627887726,-2,"tmax, tmin",-5.1633358001709,0,0,5.1880702972412,0,8.64858329296114,31.8119297027588,0,"Eurycea bislineata","IUCN",1198568,44.3903927350001
"Gehyra_variegata_GBIF","Te","none","Terrestrial",41.3906402587891,41.3906402587891,43.8,-11.6319589614868,6.03921699523926,6,"tmax, tmin",0,0,0,2.4093597412109,0,17.6711759567261,35.3906402587891,0,"Gehyra variegata","GBIF",7351200,-23.9886255046315
"Gehyra_variegata_IUCN","Te","none","Terrestrial",41.3906402587891,41.3906402587891,43.8,2.0474054813385,6.03921699523926,6,"tmax, tmin",0,0,0,2.4093597412109,0,3.99181151390076,35.3906402587891,0,"Gehyra variegata","IUCN",1712604,-26.9579412934999
