"Genus","Species","Class","Order","Family","genus_species"
"Lampropholis","delicata","Reptilia","Squamata","Scincidae","Lampropholis delicata"
"Lampropholis","guichenoti","Reptilia","Squamata","Scincidae","Lampropholis guichenoti"
"Lepidodactylus","lugubris","Reptilia","Squamata","Gekkonidae","Lepidodactylus lugubris"
"Lepidophyma","flavimaculatum","Reptilia","Squamata","Xantusiidae","Lepidophyma flavimaculatum"
"Leptodactylus","pentadactylus","Amphibia","Anura","Leptodactylidae","Leptodactylus pentadactylus"
"Linepithema","humile","Insecta","Hymenoptera","Formicidae","Linepithema humile"
"Liolaemus","abaucan","Reptilia","Squamata","Iguanidae","Liolaemus abaucan"
"Liolaemus","albiceps","Reptilia","Squamata","Iguanidae","Liolaemus albiceps"
"Liolaemus","alticolor","Reptilia","Squamata","Iguanidae","Liolaemus alticolor"
"Liolaemus","altissimus","Reptilia","Squamata","Iguanidae","Liolaemus altissimus"
"Liolaemus","bibronii","Reptilia","Squamata","Iguanidae","Liolaemus bibronii"
"Liolaemus","bisignatus","Reptilia","Squamata","Iguanidae","Liolaemus bisignatus"
"Liolaemus","boulengeri","Reptilia","Squamata","Iguanidae","Liolaemus boulengeri"
"Liolaemus","canqueli","Reptilia","Squamata","Iguanidae","Liolaemus canqueli"
"Liolaemus","capillitas","Reptilia","Squamata","Iguanidae","Liolaemus capillitas"
"Liolaemus","chacoensis","Reptilia","Squamata","Iguanidae","Liolaemus chacoensis"
"Liolaemus","chiliensis","Reptilia","Squamata","Iguanidae","Liolaemus chiliensis"
"Liolaemus","constanzae","Reptilia","Squamata","Iguanidae","Liolaemus constanzae"
"Liolaemus","curis","Reptilia","Squamata","Iguanidae","Liolaemus curis"
"Liolaemus","cuyanus","Reptilia","Squamata","Iguanidae","Liolaemus cuyanus"
"Liolaemus","cyanogaster","Reptilia","Squamata","Iguanidae","Liolaemus cyanogaster"
"Liolaemus","darwinii","Reptilia","Squamata","Iguanidae","Liolaemus darwinii"
"Liolaemus","dorbignyi","Reptilia","Squamata","Iguanidae","Liolaemus dorbignyi"
"Liolaemus","eleodori","Reptilia","Squamata","Iguanidae","Liolaemus eleodori"
"Liolaemus","elongatus","Reptilia","Squamata","Iguanidae","Liolaemus elongatus"
"Liolaemus","fabiani","Reptilia","Squamata","Iguanidae","Liolaemus fabiani"
"Liolaemus","fitzgeraldi","Reptilia","Squamata","Iguanidae","Liolaemus fitzgeraldi"
"Liolaemus","fitzingerii","Reptilia","Squamata","Iguanidae","Liolaemus fitzingerii"
"Liolaemus","fuscus","Reptilia","Squamata","Iguanidae","Liolaemus fuscus"
"Liolaemus","irregularis","Reptilia","Squamata","Iguanidae","Liolaemus irregularis"
"Liolaemus","jamesi","Reptilia","Squamata","Iguanidae","Liolaemus jamesi"
"Liolaemus","kingii","Reptilia","Squamata","Iguanidae","Liolaemus kingii"
"Liolaemus","koslowskyi","Reptilia","Squamata","Iguanidae","Liolaemus koslowskyi"
"Liolaemus","kriegi","Reptilia","Squamata","Iguanidae","Liolaemus kriegi"
"Liolaemus","laurenti","Reptilia","Squamata","Iguanidae","Liolaemus laurenti"
"Liolaemus","lemniscatus","Reptilia","Squamata","Iguanidae","Liolaemus lemniscatus"
"Liolaemus","leopardinus","Reptilia","Squamata","Iguanidae","Liolaemus leopardinus"
"Liolaemus","lorenzmuelleri","Reptilia","Squamata","Iguanidae","Liolaemus lorenzmuelleri"
"Liolaemus","melanops","Reptilia","Squamata","Iguanidae","Liolaemus melanops"
"Liolaemus","monticola","Reptilia","Squamata","Iguanidae","Liolaemus monticola"
"Liolaemus","multicolor","Reptilia","Squamata","Iguanidae","Liolaemus multicolor"
"Liolaemus","multimaculatus","Reptilia","Squamata","Iguanidae","Liolaemus multimaculatus"
"Liolaemus","nigromaculatus","Reptilia","Squamata","Iguanidae","Liolaemus nigromaculatus"
"Liolaemus","nigroviridis","Reptilia","Squamata","Iguanidae","Liolaemus nigroviridis"
"Liolaemus","nitidus","Reptilia","Squamata","Iguanidae","Liolaemus nitidus"
"Liolaemus","olongasta","Reptilia","Squamata","Iguanidae","Liolaemus olongasta"
"Liolaemus","ornatus","Reptilia","Squamata","Iguanidae","Liolaemus ornatus"
"Liolaemus","petrophilus","Reptilia","Squamata","Iguanidae","Liolaemus petrophilus"
"Liolaemus","pictus","Reptilia","Squamata","Iguanidae","Liolaemus pictus"
"Liolaemus","platei","Reptilia","Squamata","Iguanidae","Liolaemus platei"
"Liolaemus","poecilochromus","Reptilia","Squamata","Iguanidae","Liolaemus poecilochromus"
"Liolaemus","pseudoanomalus","Reptilia","Squamata","Iguanidae","Liolaemus pseudoanomalus"
"Liolaemus","pseudolemniscatus","Reptilia","Squamata","Iguanidae","Liolaemus pseudolemniscatus"
"Liolaemus","quilmes","Reptilia","Squamata","Iguanidae","Liolaemus quilmes"
"Liolaemus","riojanus","Reptilia","Squamata","Iguanidae","Liolaemus riojanus"
"Liolaemus","robertmertensi","Reptilia","Squamata","Iguanidae","Liolaemus robertmertensi"
"Liolaemus","rothi","Reptilia","Squamata","Iguanidae","Liolaemus rothi"
"Liolaemus","salinicola","Reptilia","Squamata","Iguanidae","Liolaemus salinicola"
"Liolaemus","scapularis","Reptilia","Squamata","Iguanidae","Liolaemus scapularis"
"Liolaemus","schroederi","Reptilia","Squamata","Iguanidae","Liolaemus schroederi"
"Liolaemus","telsen","Reptilia","Squamata","Iguanidae","Liolaemus telsen"
"Liolaemus","tenuis","Reptilia","Squamata","Iguanidae","Liolaemus tenuis"
"Liolaemus","vallecurensis","Reptilia","Squamata","Iguanidae","Liolaemus vallecurensis"
"Liolaemus","walkeri","Reptilia","Squamata","Iguanidae","Liolaemus walkeri"
"Liolaemus","xanthoviridis","Reptilia","Squamata","Iguanidae","Liolaemus xanthoviridis"
"Littorina","littorea","Gastropoda","Neotaenioglossa","Littorinidae","Littorina littorea"
"Littorina","obtusata","Gastropoda","Neotaenioglossa","Littorinidae","Littorina obtusata"
"Littorina","saxatilis","Gastropoda","Neotaenioglossa","Littorinidae","Littorina saxatilis"
"Lophognathus","gilberti","Reptilia","Squamata","Agamidae","Lophognathus gilberti"
"Macoma","balthica","Bivalvia","Veneroida","Tellinidae","Macoma balthica"
"Malacoctenus","zonifer","Actinopterygii","Perciformes","Labrisomidae","Malacoctenus zonifer"
"Menidia","menidia","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia menidia"
"Moloch","horridus","Reptilia","Squamata","Agamidae","Moloch horridus"
"Mytilus","edulis","Bivalvia","Mytiloida","Mytilidae","Mytilus edulis"
"Nacella","concinna","Gastropoda","Archaeogastropoda","Patellidae","Nacella concinna"
"Nannoscincus","maccoyi","Reptilia","Squamata","Scincidae","Nannoscincus maccoyi"
"Niveoscincus","metallicus","Reptilia","Squamata","Scincidae","Niveoscincus metallicus"
"Niveoscincus","ocellatus","Reptilia","Squamata","Scincidae","Niveoscincus ocellatus"
"Notechis","scutatus","Reptilia","Squamata","Elapidae","Notechis scutatus"
"Nucella","lapillus","Gastropoda","Archaeogastropoda","Muricidae","Nucella lapillus"
"Oedothorax","apicatus","Arachnida","Araneae","Linyphiidae","Oedothorax apicatus"
"Oligosoma","maccanni","Reptilia","Squamata","Scincidae","Oligosoma maccanni"
"Oncorhynchus","tshawytscha","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus tshawytscha"
"Pardosa","nigriceps","Arachnida","Araneae","Lycosidae","Pardosa nigriceps"
"Periophthalmus","kalolo","Actinopterygii","Perciformes","Gobiidae","Periophthalmus kalolo"
"Petrolisthes","gracilis","Malacostraca","Decapoda","Porcellanidae","Petrolisthes gracilis"
"Petrolisthes","hirtipes","Malacostraca","Decapoda","Porcellanidae","Petrolisthes hirtipes"
"Philodromus","aureolus","Arachnida","Araneae","Philodromidae","Philodromus aureolus"
"Phrynosoma","cornutum","Reptilia","Squamata","Phrynosomatidae","Phrynosoma cornutum"
"Phymaturus","antofagastensis","Reptilia","Squamata","Liolaemidae","Phymaturus antofagastensis"
"Phymaturus","dorsimaculatus","Reptilia","Squamata","Liolaemidae","Phymaturus dorsimaculatus"
"Phymaturus","indistinctus","Reptilia","Squamata","Liolaemidae","Phymaturus indistinctus"
"Phymaturus","palluma","Reptilia","Squamata","Liolaemidae","Phymaturus palluma"
"Phymaturus","patagonicus","Reptilia","Squamata","Liolaemidae","Phymaturus patagonicus"
"Phymaturus","somuncurensis","Reptilia","Squamata","Liolaemidae","Phymaturus somuncurensis"
"Phymaturus","tenebrosus","Reptilia","Squamata","Liolaemidae","Phymaturus tenebrosus"
"Phymaturus","zapalensis","Reptilia","Squamata","Liolaemidae","Phymaturus zapalensis"
"Plagiotremus","azaleus","Actinopterygii","Perciformes","Blenniidae","Plagiotremus azaleus"
"Platysaurus","intermedius","Reptilia","Squamata","Cordylidae","Platysaurus intermedius"
"Plestiodon","chinensis","Reptilia","Squamata","Scincidae","Plestiodon chinensis"
"Plestiodon","elegans","Reptilia","Squamata","Scincidae","Plestiodon elegans"
"Plestiodon","gilberti","Reptilia","Squamata","Scincidae","Plestiodon gilberti"
"Podarcis","muralis","Reptilia","Squamata","Lacertidae","Podarcis muralis"
"Prinerigone","vagans","Arachnida","Araneae","Linyphiidae","Prinerigone vagans"
"Protobothrops","mucrosquamatus","Reptilia","Squamata","Viperidae","Protobothrops mucrosquamatus"
"Psammodromus","algirus","Reptilia","Squamata","Lacertidae","Psammodromus algirus"
"Psammodromus","hispanicus","Reptilia","Squamata","Lacertidae","Psammodromus hispanicus"
"Pseudacris","cadaverina","Amphibia","Anura","Hylidae","Pseudacris cadaverina"
"Pseudacris","regilla","Amphibia","Anura","Hylidae","Pseudacris regilla"
"Pseudechis","porphyriacus","Reptilia","Squamata","Elapidae","Pseudechis porphyriacus"
"Pseudemoia","entrecasteauxii","Reptilia","Squamata","Scincidae","Pseudemoia entrecasteauxii"
"Pseudemoia","spenceri","Reptilia","Squamata","Scincidae","Pseudemoia spenceri"
