"Genus","Species","Class","Order","Family","genus_species"
"Clubiona","trivialis","Arachnida","Araneae","Clubionidae","Clubiona trivialis"
"Clupea","harengus","Actinopterygii","Clupeiformes","Clupeidae","Clupea harengus"
"Cnemidocarpa","bicornuta","Ascidiacea","Stolidobranchia","Styelidae","Cnemidocarpa bicornuta"
"Cnemidophorus","sexlineatus","Reptilia","Squamata","Teiidae","Cnemidophorus sexlineatus"
"Coleonyx","brevis","Reptilia","Squamata","Eublepharidae","Coleonyx brevis"
"Coleonyx","variegatus","Reptilia","Squamata","Eublepharidae","Coleonyx variegatus"
"Coluber","constrictor","Reptilia","Squamata","Colubridae","Coluber constrictor"
"Cookia","sulcata","Gastropoda","Vetigastropoda","Turbinidae","Cookia sulcata"
"Cophixalus","bombiens","Amphibia","Anura","Microhylidae","Cophixalus bombiens"
"Cophixalus","mcdonaldi","Amphibia","Anura","Microhylidae","Cophixalus mcdonaldi"
"Cophixalus","neglectus","Amphibia","Anura","Microhylidae","Cophixalus neglectus"
"Cophosaurus","texanus","Reptilia","Squamata","Iguanidae","Cophosaurus texanus"
"Cordylus","cordylus","Reptilia","Squamata","Cordylidae","Cordylus cordylus"
"Cordylus","niger","Reptilia","Squamata","Cordylidae","Cordylus niger"
"Cordylus","oelofseni","Reptilia","Squamata","Cordylidae","Cordylus oelofseni"
"Crangon","crangon","Malacostraca","Decapoda","Crangonidae","Crangon crangon"
"Crinia","signifera","Amphibia","Anura","Myobatrachidae","Crinia signifera"
"Crotalus","atrox","Reptilia","Squamata","Viperidae","Crotalus atrox"
"Crotalus","cerastes","Reptilia","Squamata","Viperidae","Crotalus cerastes"
"Crotalus","scutulatus","Reptilia","Squamata","Viperidae","Crotalus scutulatus"
"Crotalus","viridis","Reptilia","Squamata","Viperidae","Crotalus viridis"
"Crotaphytus","collaris","Reptilia","Squamata","Crotaphytidae","Crotaphytus collaris"
"Crustulina","guttata","Arachnida","Araneae","Theridiidae","Crustulina guttata"
"Cryptoblepharus","litoralis","Reptilia","Squamata","Scincidae","Cryptoblepharus litoralis"
"Cryptoblepharus","plagiocephalus","Reptilia","Squamata","Scincidae","Cryptoblepharus plagiocephalus"
"Cryptoblepharus","virgatus","Reptilia","Squamata","Scincidae","Cryptoblepharus virgatus"
"Ctenophorus","cristatus","Reptilia","Squamata","Agamidae","Ctenophorus cristatus"
"Ctenophorus","decresii","Reptilia","Squamata","Agamidae","Ctenophorus decresii"
"Ctenophorus","fordi","Reptilia","Squamata","Agamidae","Ctenophorus fordi"
"Ctenophorus","maculosus","Reptilia","Squamata","Agamidae","Ctenophorus maculosus"
"Ctenophorus","nuchalis","Reptilia","Squamata","Agamidae","Ctenophorus nuchalis"
"Ctenophorus","pictus","Reptilia","Squamata","Agamidae","Ctenophorus pictus"
"Ctenophorus","reticulatus","Reptilia","Squamata","Agamidae","Ctenophorus reticulatus"
"Ctenotus","essingtoni","Reptilia","Squamata","Scincidae","Ctenotus essingtoni"
"Ctenotus","pantherinus","Reptilia","Squamata","Scincidae","Ctenotus pantherinus"
"Ctenotus","regius","Reptilia","Squamata","Scincidae","Ctenotus regius"
"Ctenotus","spaldingi","Reptilia","Squamata","Scincidae","Ctenotus spaldingi"
"Ctenotus","taeniolatus","Reptilia","Squamata","Scincidae","Ctenotus taeniolatus"
"Ctenotus","uber","Reptilia","Squamata","Scincidae","Ctenotus uber"
"Cyclodomorphus","branchialis","Reptilia","Squamata","Scincidae","Cyclodomorphus branchialis"
"Cyclodomorphus","melanops","Reptilia","Squamata","Scincidae","Cyclodomorphus melanops"
"Cyclorana","alboguttatus","Amphibia","Anura","Hylidae","Cyclorana alboguttatus"
"Cyclorana","brevipes","Amphibia","Anura","Hylidae","Cyclorana brevipes"
"Cyrtodactylus","philippinicus","Reptilia","Squamata","Gekkonidae","Cyrtodactylus philippinicus"
"Dascyllus","aruanus","Actinopterygii","Perciformes","Pomacentridae","Dascyllus aruanus"
"Dendrobates","auratus","Amphibia","Anura","Dendrobatidae","Dendrobates auratus"
"Desmognathus","fuscus","Amphibia","Caudata","Plethodontidae","Desmognathus fuscus"
"Desmognathus","ochrophaeus","Amphibia","Caudata","Plethodontidae","Desmognathus ochrophaeus"
"Desmognathus","quadramaculatus","Amphibia","Caudata","Plethodontidae","Desmognathus quadramaculatus"
"Diplodus","bellottii","Actinopterygii","Perciformes","Sparidae","Diplodus bellottii"
"Diplodus","sargus","Actinopterygii","Perciformes","Sparidae","Diplodus sargus"
"Diplodus","vulgaris","Actinopterygii","Perciformes","Sparidae","Diplodus vulgaris"
"Dipsosaurus","dorsalis","Reptilia","Squamata","Iguanidae","Dipsosaurus dorsalis"
"Distaplia","occidentalis","Ascidiacea","Aplousobranchia","Holozoidae","Distaplia occidentalis"
"Divaricella","irpex","Bivalvia","Veneroida","Lucinidae","Divaricella irpex"
"Donax","serra","Bivalvia","Veneroida","Donacidae","Donax serra"
"Echinometra","lucunter","Echinoidea","Camarodonta","Echinometridae","Echinometra lucunter"
"Egernia","cunninghami","Reptilia","Squamata","Scincidae","Egernia cunninghami"
"Egernia","saxatilis","Reptilia","Squamata","Scincidae","Egernia saxatilis"
"Egernia","striolata","Reptilia","Squamata","Scincidae","Egernia striolata"
"Eleutherodactylus","coqui","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus coqui"
"Elgaria","coerulea","Reptilia","Squamata","Anguidae","Elgaria coerulea"
"Elgaria","multicarinata","Reptilia","Squamata","Anguidae","Elgaria multicarinata"
"Engraulis","japonicus","Actinopterygii","Clupeiformes","Engraulidae","Engraulis japonicus"
"Ensis","macha","Bivalvia","Veneroida","Solnoidea","Ensis macha"
"Eremias","argus","Reptilia","Squamata","Lacertidae","Eremias argus"
"Eremias","brenchleyi","Reptilia","Squamata","Lacertidae","Eremias brenchleyi"
"Eremias","multiocellata","Reptilia","Squamata","Lacertidae","Eremias multiocellata"
"Eremiascincus","fasciolatus","Reptilia","Squamata","Scincidae","Eremiascincus fasciolatus"
"Eremiascincus","richardsoni","Reptilia","Squamata","Scincidae","Eremiascincus richardsoni"
"Eucidaris","tribuloides","Echinoidea","Cidaroida","Cidaridae","Eucidaris tribuloides"
"Eulamprus","heatwolei","Reptilia","Squamata","Scincidae","Eulamprus heatwolei"
"Eulamprus","kosciuskoi","Reptilia","Squamata","Scincidae","Eulamprus kosciuskoi"
"Eulamprus","murrayi","Reptilia","Squamata","Scincidae","Eulamprus murrayi"
"Eulamprus","quoyii","Reptilia","Squamata","Scincidae","Eulamprus quoyii"
"Eulamprus","tenuis","Reptilia","Squamata","Scincidae","Eulamprus tenuis"
"Eulamprus","tympanum","Reptilia","Squamata","Scincidae","Eulamprus tympanum"
"Eurycea","bislineata","Amphibia","Caudata","Plethodontidae","Eurycea bislineata"
"Eurycea","longicauda","Amphibia","Caudata","Plethodontidae","Eurycea longicauda"
"Eurycea","lucifuga","Amphibia","Caudata","Plethodontidae","Eurycea lucifuga"
"Eurycea","multiplicata","Amphibia","Caudata","Plethodontidae","Eurycea multiplicata"
