"data gatherer","Genus","Species","Family","Realm","Kingdom","Phylum","Class","Order","maximum body size (SVL, HBL, cm)","Source for maximum body size","Trophic position","Source/logic for trophic position","migratory?","source/logic for migration info","dispersal distance category","logic/source for dispersal distance","dispersal type (walking may need to be reworded to something that encaptures slithering)","logic/source for dispersal type","cold season dormancy?","source/logic for cold season dormancy","hot season dormancy?","source/logic for hot season dormancy","highland specialist","Pelagic habitat (for marine species)","source/logic for highland specialist","notes","origGenus","origSpecies","Terrestriality (available for mammals only; see panTHERIA metadata)","pantheria05Genus","pantheria05Species","pantheria93Genus","pantheria93Species","allPantheriaSynonyms05","pantheriaReferences","binaryName","TRY species number (for plants)","notes on body size (e.g. type of metric)","genus_species","limit_type"
"Susana","Philodromus","aureolus","Philodromidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.85","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","Michalko and Pekar (2015) Biological Control 82: 13-20","Non-migratory",NA,"10+ km","Blandenier and Furst (1998) Proceedings of the 17th European Colloquium of Arachnology, Edinburgh 1997, pp 178-186; Large dispersal distances when using aerial dispersal methods","Walking",NA,NA,NA,NA,NA,"No",NA,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is  length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Philodromus_aureolus","max, min"
"Susana","Crustulina","guttata","Theridiidae","Terrestrial","Animalia","Arthropoda","Arachnida","Araneae","0.3","Almquist (2005) Insect Systematics and Evolution, Supplement 62: 1-284; Le Peru (2011) MÌ©moires de la SociÌ©tÌ© LinnÌ©enne de Lyon 2: 1-522; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","carnivore","http://www.jorgenlissner.dk/Theridiidae.aspx","Non-migratory",NA,NA,NA,"Walking",NA,NA,NA,NA,NA,"No",NA,"Morano and Cardoso (2010) Iberian spider catalogue (v1.1). Available from: www.ennor.org/iberia","Body size is total length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Crustulina_guttata","max, min"
"Susana","Tetramorium","caespitum","Formicidae","Terrestrial","Animalia","Arthropoda","Insecta","Hymenoptera","0.2","Katayama and Suzuki (2003) Applied Entomology and Zoology 38: 427-433","omnivore","Brian et al. (1967) Journal of Animal Ecology 36: 337-342","Non-migratory",NA,NA,NA,"Walking",NA,NA,"*induced cold diapause in lab, Kipyatkov&Lopatina 2001 entomological review (abstract)",NA,NA,"No",NA,"Brian (1979) Journal of Animal Ecology 48: 943-953","Body size is total length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mean worker","Tetramorium_caespitum","max"
"Susana","Trachymyrmex","septentrionalis","Formicidae","Terrestrial","Animalia","Arthropoda","Insecta","Hymenoptera","0.45","Wheeler (1911) Journal of the New York Entomological Society 19: 245-255","fungivore","Weber (1956) Ecology 37: 150-161","Non-migratory",NA,"0-1km","<500m/year for Trachymyrmex septentrionalis, Mikheyev et al 2008 17:4480-4488; ant sub-family Myrmicinae: range of dispersal distances: 0-20m (Gomez & Espadaler 1998 J of Biogeog 25:573-580)","Walking",NA,"Yes","Bershers & Traniello 1994 Ecology 75:763-775.",NA,NA,"No",NA,"Bershers and Traniello (1994) Ecology 75: 763-775","Body size is total length in mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"max female","Trachymyrmex_septentrionalis","max"
"Micky","Anaxyrus","compactilis","Bufonidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","8.9","Dickerson, M.C. (1906). The Frog Book. Doubleday Page,New York","insectivore","Brennan, T.C., & Holycross, A.T. 2006. A Field Guide to the Amphibians and Reptiles in Arizona. Arizona Game and Fish Department. Phoenix, AZ.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"highland specialist",NA,"Quintero, VÌÁzquez y Sigala 2008 Anfibios. La Biodiversidad en Aguascalientes: Estudio de Estado. 2008. ComisiÌ_n Nacional para el Conocimiento y Uso de laBiodiversidad (CONABIO), Instituto del Medio Ambiente del Estado de Aguascalientes (IMAE), Universidad AutÌ_no-ma de Aguascalientes (UAA). MÌ©xico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anaxyrus_compactilis","max"
"Micky","Hyalinobatrachium","fleischmanni","Centrolenidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","3.2","Guyer, C., and Donnelly, M. A. (2005). åÊAmphibians and Reptiles of La Selva, Costa Rica and the Caribbean Slope: A Comprehensive Guide. åÊUniversity of California Press, Berkeley. åÊ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyalinobatrachium_fleischmanni","min"
"Micky","Craugastor","fleischmanni","Craugastoridae","Terrestrial","Animalia","Chordata","Amphibia","Anura",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"highland specialist",NA,"Savage, J. M. (2002). The Amphibians and Reptiles of Costa Rica. University of Chicago Press, Chicago and London.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Craugastor_fleischmanni","max, min"
"Micky","Dendrobates","auratus","Dendrobatidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","4.2","Leenders, T. (2001). åÊA Guide to Amphibians And Reptiles of Costa Rica. åÊZona Tropical, Miami.","insectivore","Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  åÊ","Y","Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  åÊ",NA,NA,"walking","Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  åÊ","N","Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  åÊ","N","Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  åÊ","non-highland specialist",NA,"Caldwell, J. P., and Summers, K. D. (2003). ''Green poison frog, Dendrobates auratus.'' Grzimek's Animal Life Encyclopedia, Volume 6, Amphibians. 2nd edition. M. Hutchins, W. E. Duellman, and N. Schlager, eds., Gale Group, Farmington Hills, Michigan.  åÊ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dendrobates_auratus","max, min"
"Micky","Craugastor","fitzingeri","Eleutherodactylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","5.25","Savage, J. M. (2002). The Amphibians and Reptiles of Costa Rica. University of Chicago Press, Chicago and London.","insectivore","Savage, J. M. (2002). The Amphibians and Reptiles of Costa Rica. University of Chicago Press, Chicago and London.  åÊ","Y","SolÌ_s, F., IbÌÁÌ±ez, R., Chaves, G., Wilson, L.D., Lynch, J. & BolaÌ±os, F. 2008. Craugastor fitzingeri. The IUCN Red List of Threatened Species. Version 2015.2. <www.iucnredlist.org>. Downloaded on 26 June 2015.","0-1","Fitch, H. S. 1956. A •ÂÅeld study of the Kansas ant-eating frog Gastrophryne olivacea .  / Univ. Kans. Publ. Mus. Nat. Hist. 8: 275  /307","walking","SolÌ_s, F., IbÌÁÌ±ez, R., Chaves, G., Wilson, L.D., Lynch, J. & BolaÌ±os, F. 2008. Craugastor fitzingeri. The IUCN Red List of Threatened Species. Version 2015.2. <www.iucnredlist.org>. Downloaded on 26 June 2015.",NA,NA,NA,NA,"highland specialist",NA,"SolÌ_s, F., IbÌÁÌ±ez, R., Chaves, G., Wilson, L.D., Lynch, J. & BolaÌ±os, F. 2008. Craugastor fitzingeri. The IUCN Red List of Threatened Species. Version 2015.2. <www.iucnredlist.org>. Downloaded on 26 June 2015.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Craugastor_fitzingeri","min"
"Micky","Eleutherodactylus","coqui","Eleutherodactylidae","Terrestrial","Animalia","Chordata","Amphibia","Anura","5.8","Schwartz, A. and R.W. Henderson. 1991. Amphibians and Reptiles of the West Indies Descriptions, Distributions, and Natural History. University of Florida Press, Gainesville, Florida.","insectivore","Douglas P. Reagan and Robert B. Waide, ed. (1996). The Food Web of a Tropical Rain Forest. University Of Chicago Press.","Y","Jarrod H. Fogarty and Francisco J. Vilella (2002). ""Population dynamic of Eleutherodactylus coqui in Cordillera Forest reserves of Puerto Rico"". Journal of Herpetology 36 (2): 193-201.","0-1","Hobel, G. 1999. Notes on the natural history and habitat use of Eleutherodactylus •ÂÅtzingeri (Anura: Leptodactylidae).   Amphib.-Reptilia 20: 65 -72.","walking","Jarrod H. Fogarty and Francisco J. Vilella (2002). ""Population dynamic of Eleutherodactylus coqui in Cordillera Forest reserves of Puerto Rico"". Journal of Herpetology 36 (2): 193-201.",NA,NA,NA,NA,"non-highland specialist",NA,"Hedges, B., Joglar, R., Thomas, R., Powell, R. & Rios-LÌ_pez, N. (2009) Eleutherodactylus coqui. In: IUCN 2012. IUCN Red List of Threatened Species. Version 2012.2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eleutherodactylus_coqui","max, min"
