"genus_species","Realm","data_gatherer","Genus","Species","Family","Kingdom","Phylum","Class","Order","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","limit_type","habitat_data_gatherer","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","upper_elevation_limit_meters","lower_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes"
"Halozetes_belgicae","Intertidal","Susana","Halozetes","belgicae","Ameronothridae","Animalia","Arthropoda","Arachnida","Acarina",0.07,"Cannon and Schenker (1985) Brit Antarct Surv Bull 67: 1-5","Body size is mean length","herbivore","Deere and Chown (2006) The American Naturalist 168: 630-644; Hawes et al. (2007). J. Exp. Biol. 210.; Feeds on lichens and/or algea.
593-601.","Non-migratory","taxa","0-1","oribatid mites have low dispersal ability generally - Stary and Block (1998) Journal of Natural History 32: 861-894","walking","mite","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,"non-highland specialist","Mercer et al (2000) Polar Biology 23: 775-784","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"intertidal","?","sealifebase says benthic"
"Hemigrapsus_nudus","Intertidal","Jenn","Hemigrapsus","nudus","Varunidae","Animalia","Arthropoda","Malacostraca","Decapoda",0.1342,"Oliver and Schmelter (2018)","mean carapace width","omnivore","Yamada and Boulding (1998) Journal of Experimental Marine Biology and Ecology 220(2): 191-211","Non-migratory","do migrate offshore seasonally, but would likely not affect realized range (Boddeke (1976) Netherlands Journal of Sea Research 10(1):103-130)","10-100","minimum PLD in water column is 30 days, benthic crustacean with planktonic larvae - Kelly, R. P., & Palumbi, S. R. (2010). Genetic structure among 50 species of the northeastern Pacific rocky intertidal community. PloS one, 5(1), e8594.","pelagic development and crawling adults","pelagic larval development - Lehto, J., Sulkin, S., Strom, S., & Johnson, D. (1998). Protists and detrital particles as prey for the first larval stage of the brachyuran crab, Hemigrapsus oregonensis. Journal of experimental marine biology and ecology, 230(2), 213-224.","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic","sealifebase",NA
"Pachygrapsus_marmoratus","Intertidal","Jenn","Pachygrapsus","marmoratus","Grapsidae","Animalia","Arthropoda","Malacostraca","Decapoda",2.9,"Mehmet et al. (2014) Journal of the Marine Biological Association of the United Kingdom 94(7): 1441-1449","mean carapace width","omnivore","Cannicci et al. (2002) Estuarine, Coastal and Shelf Science 54: 983–1001","Non-migratory","taxa","10-100","PLD 1 month, benthic crustacean with planktonic larvae- Fratini, S., Ragionieri, L., Cutuli, G., Vannini, M., & Cannicci, S. (2013). Pattern of genetic isolation in the crab Pachygrapsus marmoratus within the Tuscan Archipelago (Mediterranean Sea). Marine Ecology Progress Series, 478, 173-183.","pelagic development","pelagic larval development - Pires, R. F., Peliz, Á., Pan, M., & dos Santos, A. (2020). “There and back again”− How decapod megalopae find the way home: A modelling exercise for Pachygrapsus marmoratus. Progress in Oceanography, 102331.","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,"non-highland specialist","intertidal","max",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic","sealifebase",NA
"Petrolisthes_gracilis","Intertidal","Jenn","Petrolisthes","gracilis","Porcellanidae","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,"omnivore","filter feeding - Gabaldon (1979) Crustaceana 36(1): 110-112","Non-migratory","taxa","10-100","PLD in genus thought to be months, benthic crustacean with planktonic larvae - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.","pelagic development and crawling adults","pelagic planktotrophic development in genus - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Petrolisthes_hirtipes","Intertidal","Jenn","Petrolisthes","hirtipes","Porcellanidae","Animalia","Arthropoda","Malacostraca","Decapoda",NA,NA,NA,"omnivore","filter feeding - Gabaldon (1979) Crustaceana 36(1): 110-112","Non-migratory","taxa","10-100","PLD in genus thought to be months, benthic crustacean with planktonic larvae- Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.","pelagic development and crawling adults","pelagic planktotrophic development in genus - Toonen, R. J., & Grosberg, R. K. (2011). Causes of chaos: spatial and temporal genetic heterogeneity in the intertidal anomuran crab Petrolisthes cinctipes. Phylogeography and population genetics in crustacea, 2011, 75-107.","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Gobius_cobitis","Intertidal","Jenn","Gobius","cobitis","Gobiidae","Animalia","Chordata","Actinopterygii","Perciformes",14.1,"fishbase","TL male/unsexed","omnivore","fishbase","Non-migratory","fishbase","10-100","PLD 37-44 days, intertidal species with planktonic larvae - Gil, M. F., Gonçalves, E. J., Faria, C., Almada, V. C., Baptista, C., & Carreiro, H. (1997). Embryonic and larval development of the giant goby Gobius cobitis (Pisces: Gobiidae). Journal of Natural History, 31(5), 799-804.","pelagic development and swimming adults","pelagic larval stage - Gil et al. (1997) Journal of Natural History 31(5):799-804","No","unheard of for fish",NA,"No","unheard of for fish",NA,"non-highland specialist","intertidal","max",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"Gobius_niger","Marine","Jenn","Gobius","niger","Gobiidae","Animalia","Chordata","Actinopterygii","Perciformes",18,"fishbase","TL male/unsexed","carnivore","fishbase","Non-migratory","Bouchereau and Guelorget (1997) Oceanologica Acta 21(3): 503-517","10-100","PLD 1 month, intertidal species with planktonic larvae- Giovannotti, M., La Mesa, M., & Caputo, V. (2009). Life style and genetic variation in teleosts: the case of pelagic (Aphia minuta) and benthic (Gobius niger) gobies (Perciformes: Gobiidae). Marine biology, 156(3), 239-252.","pelagic development and swimming adults","pelagic planktonic larval stage - Vaas, K. F., Vlasblom, A. G., & De Koeijer, P. (1975). Studies on the black goby (Gobius niger, Gobiidae, Pisces) in the Veerse Meer, SW Netherlands. Netherlands Journal of Sea Research, 9(1), 56-68.","No","unheard of for fish",NA,"No","unheard of for fish",NA,"non-highland specialist","intertidal","max","Nikki","coastal","brackish water","fishbase",-1,-96,NA,"fishbase",NA,NA,NA,"demersal",NA,"listed freshwater but marine in thermal data - brackish water"
"Periophthalmus_kalolo","Marine","Sally","Periophthalmus","kalolo","Gobiidae","Animalia","Chordata","Actinopterygii","Perciformes",14.1,"fishbase","TL male/unsexed","carnivore","fishbase","Non-migratory","fishbase","10-100","PLD in genus 30-50 days, intertidal species with planktonic larvae - Ansari, A. A., Trivedi, S., Saggu, S., & Rehman, H. (2014). Mudskipper: A biological indicator for environmental monitoring and assessment of coastal waters. Journal of Entomology and Zoology Studies, 2(6), 22-33.","pelagic development and crawling adults","guess, pelagic planktonic larval stage in genus - Ansari, A. A., Trivedi, S., Saggu, S., & Rehman, H. (2014). Mudskipper: A biological indicator for environmental monitoring and assessment of coastal waters. Journal of Entomology and Zoology Studies, 2(6), 22-33.","No","unheard of for fish",NA,"No","unheard of for fish",NA,"non-highland specialist","intertidal","max, min","Nikki","coastal",NA,"fishbase",0,-2,NA,"fishbase",NA,NA,NA,"reef-associated",NA,"marked intertidal here but actually marine according to thermal data - fixed in trait wrangling script"
"Patiriella_brevispina","Intertidal","Jenn","Patiriella","brevispina","Asterinidae","Animalia","Echinodermata","Asteroidae","Valvatida",5.2,"Dartnall (1969) Papers and Proceedings of the Royal Society of Tasmania 104: 73-77","maximum length, indeterminate growth","omnivore","filter feeding","Non-migratory","taxa","1-10","pelagic lecithotrophic larvae of unk duration - Foltz, D. W. (2003). Invertebrate species with nonpelagic larvae have elevated levels of nonsynonymous substitutions and reduced nucleotide diversities. Journal of molecular evolution, 57(6), 607-612.","pelagic development and crawling adults","pelagic lecithotrophic larvae - Foltz, D. W. (2003). Invertebrate species with nonpelagic larvae have elevated levels of nonsynonymous substitutions and reduced nucleotide diversities. Journal of molecular evolution, 57(6), 607-612.","No","no info - based on taxa",NA,"No","no info - based on taxa",NA,"non-highland specialist","intertidal","max",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Mytilus_edulis","Intertidal","Jenn","Mytilus","edulis","Mytilidae","Animalia","Mollusca","Bivalvia","Mytiloida",4,"Kautsky (1982) Marine Biology 68: 117–133","maximum shell length, indeterminate growth","omnivore","filter feeding bivalve","Non-migratory","sessile","10-100","larval stage 3-5 weeks, benthic species with planktonic larvae - also Coolen et al. (2020) Molecular Ecology 29(4): 686-703","pelagic development and sessile adults","pelagic larval stage - Filgueira, R., Brown, M. S., Comeau, L. A., & Grant, J. (2015). Predicting the timing of the pediveliger stage of Mytilus edulis based on ocean temperature. Journal of Molluscan Studies, 81(2), 269-273.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","intertidal","max, min",NA,NA,"intertidal",NA,NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
