"genus_species","Realm","data_gatherer","Genus","Species","Family","Kingdom","Phylum","Class","Order","maximum_body_size_SVL_HBL_cm_","Source_for_maximum_body_size","notes_on_body_size_e_g_type_of_metric_","Trophic_position","Source_logic_for_trophic_position","migratory_","source_logic_for_migration_info","dispersal_distance_category","logic_source_for_dispersal_distance","dispersal_type_walking_may_need_to_be_reworded_to_something_that_encaptures_slithering_","logic_source_for_dispersal_type","cold_season_dormancy_","source_logic_for_cold_season_dormancy","notes_for_cold_season_dormancy","hot_season_dormancy_","source_logic_for_hot_season_dormancy","notes_for_hot_season_dormancy","highland_specialist","source_logic_for_highland_specialist","limit_type","habitat_data_gatherer","coastal_or_oceanic","notes_logic","coastal_or_oceanic_source","upper_depth_limit","lower_depth_limit","usual_range","depth_distribution_source","upper_elevation_limit_meters","lower_elevation_limit_meters","elevational_range_source","pelagic_habitat_for_marine_species","source_logic_for_pelagic_habitat","notes"
"Diplodus_sargus","Marine","Sally","Diplodus","sargus","Sparidae","Animalia","Chordata","Actinopterygii","Perciformes",45,"fishbase",NA,"carnivore","fishbase","Migratory","oceanodromous - fishbase","10-100","PLD 3-4 weeks and larvae swam 86.5km - Baptista, V., Morais, P., Cruz, J., Castanho, S., Ribeiro, L., Pousão-Ferreira, P., ... & Teodósio, M. A. (2019). Swimming abilities of temperate pelagic fish larvae prove that they may control their dispersion in coastal areas. Diversity, 11(10), 185.","pelagic development","pelagic larval stage - Primo, A. L., Azeiteiro, U. M., Marques, S. C., Martinho, F., Baptista, J., & Pardal, M. A. (2013). Colonization and nursery habitat use patterns of larval and juvenile flatfish species in a small temperate estuary. Journal of Sea Research, 76, 126-134.","No","unheard of for fish",NA,"No","unheard of for fish",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"fishbase",0,-50,NA,"fishbase",NA,NA,NA,"demersal","fishbase",NA
"Diplodus_vulgaris","Marine","Sally","Diplodus","vulgaris","Sparidae","Animalia","Chordata","Actinopterygii","Perciformes",45,"fishbase",NA,"carnivore","fishbase","Migratory","oceanodromous - fishbase","100+","PLD 58 days, 160m depth limit - Macpherson, E., & Raventós, N. (2006). Relationship between pelagic larval duration and geographic distribution of Mediterranean littoral fishes. Marine Ecology Progress Series, 327, 257-265.","pelagic development","pelagic larval stage - Macpherson, E., & Raventós, N. (2006). Relationship between pelagic larval duration and geographic distribution of Mediterranean littoral fishes. Marine Ecology Progress Series, 327, 257-265.","No","unheard of for fish",NA,"No","unheard of for fish",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"fishbase",0,-160,"0-30","fishbase",NA,NA,NA,"benthopelagic","fishbase",NA
"Distaplia_occidentalis","Marine","Jenn","Distaplia","occidentalis","Holozoidae","Animalia","Chordata","Ascidiacea","Aplousobranchia",10,"sealifebase",NA,"omnivore","filter feeding","Non-migratory","sessile","0-1","larval brooding and sessile adult","non-pelagic development and sessile adults","larval brooder - Reitzel, A. M., Miner, B. G., & McEdward, L. R. (2004). Relationships between spawning date and larval development time for benthic marine invertebrates: a modeling approach. Marine Ecology Progress Series, 280, 13-23.","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-15,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Cnemidocarpa_bicornuta","Marine","Jenn","Cnemidocarpa","bicornuta","Styelidae","Animalia","Chordata","Ascidiacea","Stolidobranchia",NA,NA,NA,"omnivore","filter feeding","Non-migratory","sessile","1-10","lecithotrophic","pelagic development","lecithotrophic larval stage - sealifebase","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",NA,-37,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Echinometra_lucunter","Marine","Jenn","Echinometra","lucunter","Echinometridae","Animalia","Echinodermata","Echinoidea","Camarodonta",15,"sealifebase",NA,"omnivore","McClintock et al. (1982) Bulletin of Marine Science 32(1): 365-369","Non-migratory","taxa","10-100","PLD two weeks, 45m depth limit","pelagic development","planktotrophic larval stage - Metaxas, A., & Young, C. M. (1998). Responses of echinoid larvae to food patches of different algal densities. Marine Biology, 130(3), 433-445.","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-45,NA,"sealifebase",NA,NA,NA,"reef-associated","sealifebase",NA
"Pseudechinus_huttoni","Marine","Jenn","Pseudechinus","huttoni","Temnopleuridae","Animalia","Echinodermata","Echinoidea","Camarodonta",4,"Kirby et al. (2006) New Zealand Journal of Marine and Freshwater Research 40(3):413-428","maximum adult size","omnivore","scavenger (http://www.marinelife.ac.nz/species/994)","Non-migratory","taxa","10-100","PLD unknown,  planktotrophic larvae and deeper than 30m - Kirby, S., Lamare, M. D., & Barker, M. F. (2006). Growth and morphometrics in the New Zealand sea urchin Pseudechinus huttoni (Echinoidea: Temnopleuridae). New Zealand Journal of Marine and Freshwater Research, 40(3), 413-428.","pelagic development","planktotrophic larval stage - Jeffery, C. H., Emlet, R. B., & Littlewood, D. T. J. (2003). Phylogeny and evolution of developmental mode in temnopleurid echinoids. Molecular Phylogenetics and Evolution, 28(1), 99-118.","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"http://www.marinelife.ac.nz/species/994",NA,NA,NA,NA,NA,NA,NA,"benthic",NA,NA
"Eucidaris_tribuloides","Marine","Jenn","Eucidaris","tribuloides","Cidaridae","Animalia","Echinodermata","Echinoidea","Cidaroida",13,"sealifebase","maximum WD male/unsexed","omnivore","sealifebase","Non-migratory","taxa","1-10","lecithotrophic","pelagic development","lecithotrophic larval stage - Wray, G. A., & Raff, R. A. (1991). Rapid evolution of gastrulation mechanisms in a sea urchin with lecithotrophic larvae. Evolution, 45(8), 1741-1750.","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-50,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Sterechinus_neumayeri","Marine","Jenn","Sterechinus","neumayeri","Echinidae","Animalia","Echinodermata","Echinoidea","Echinoida",7,"Brey et al. (1995) Marine Biology 124: 279-292","maximum diameter","omnivore","Brockington et al. (2001) Marine Biology 139:127-138","Non-migratory","taxa","100+","PLD not specified, metamorphosis after 115 days, found up to 500m depth (sealifebase) - Bosch, I., Beauchamp, K. A., Steele, M. E., & Pearse, J. S. (1987). Development, metamorphosis, and seasonal abundance of embryos and larvae of the Antarctic sea urchin Sterechinus neumayeri. The Biological Bulletin, 173(1), 126-135.","pelagic development","pelagic larval stage - Bosch, I., Beauchamp, K. A., Steele, M. E., & Pearse, J. S. (1987). Development, metamorphosis, and seasonal abundance of embryos and larvae of the Antarctic sea urchin Sterechinus neumayeri. The Biological Bulletin, 173(1), 126-135.","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal-oceanic?","benthic up to 500","sealifebase",0,-500,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Bullia_rhodostoma","Marine","Jenn","Bullia","rhodostoma","Nassariidae","Animalia","Gastropoda","Neogastropoda","Nassariidae",4,"McLachlan and van der Horst (1979) South African Journal of Zoology 14(1): 49-53","mean length after 10 years","omnivore","scavenger - McLachlan and van der Horst (1979) South African Journal of Zoology 14(1): 49-53","Non-migratory","taxa","10-100","non-pelagic larvae but high population connectivity, max depth 20 m - Muteveri, T., Matthee, C. A., Bowie, R. C. K., & von der Heyden, S. (2015). High population connectivity and Pleistocene range expansion in the direct-developing plough shell Bullia rhodostoma along the South African coast. African Journal of Marine Science, 37(1), 21-31.; Brown, A. C. (1969). Studies on the intertidal sandy-beach fauna of the Cape Peninsula (Doctoral dissertation, University of Cape Town).","non-pelagic development and crawling adults","benthic larvae - Harris, L. R., Abrahams, K., Bezuidenhout, K., & Nel, R. (2017). The relative role of intrinsic and extrinsic factors driving alongshore movement of swash-riding smooth plough shells, Bullia rhodostoma. Journal of experimental marine biology and ecology, 486, 77-86.","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal","confined to intertidal slope","https://books.google.ca/books?id=LWAfWCcMoNUC&pg=PA366&lpg=PA366&dq=Bullia+rhodostoma+maximum+depth&source=bl&ots=1wQGIsFxFw&sig=ACfU3U3EWGvnLzZQhQoaR9vNNanGuZRlQw&hl=en&sa=X&ved=2ahUKEwjn_oLjxK3wAhWMMlkFHQKODGMQ6AEwCHoECAUQAw#v=onepage&q=Bullia%20rhodostoma%20maximum%20depth&f=false",NA,NA,NA,NA,NA,NA,NA,"benthic","sealifebase",NA
"Acar_domingensis","Marine","Jenn","Acar","domingensis","Arcidae","Animalia","Mollusca","Bivalvia","Arcoida",2.1,"sealifebase","maximum","omnivore","filter feeding bivalve","Non-migratory","sessile","10-100","planktotrophic larvae with unknown PLD, max dewpth 155m - https://www.gulfbase.org/species/acar-domingensis","pelagic development","some clades have planktotrophic larval stage - Marko, P. B., & Moran, A. L. (2009). Out of sight, out of mind: high cryptic diversity obscures the identities and histories of geminate species in the marine bivalve subgenus Acar. Journal of Biogeography, 36(10), 1861-1880.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-155,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Limatula_hodgsoni","Marine","Jenn","Limatula","hodgsoni","Limidae","Animalia","Mollusca","Bivalvia","Limoida",1.3,"sealifebase","maximum","omnivore","filter feeding bivalve","Non-migratory","sessile","1-10","lecithtropic demersal larvae - Pearse, J. S., & Giese, A. C. (1966). The organic constitution of several benthonic invertebrates from McMurdo Sound, Antarctica. Comparative biochemistry and physiology, 18(1), 47-57.","non-pelagic development and sessile adults","lecithiotrophic demersal larvae drifting near substrate for short period of time - Pearse, J. S., & Giese, A. C. (1966). The organic constitution of several benthonic invertebrates from McMurdo Sound, Antarctica. Comparative biochemistry and physiology, 18(1), 47-57.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max","Sarah","coastal-oceanic?","edge-shelf? based on depth range","sealifebase",-115,-346,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Mya_arenaria","Marine","Jenn","Mya","arenaria","Myidae","Animalia","Mollusca","Bivalvia","Myoida",10,"sealifebase","maximum","omnivore","filter feeding bivalve - sealifebase","Non-migratory","sessile","10-100","PLD two weeks, max depth 329m (sealifebase) - Hunt, H. L., McLean, D. A., & Mullineaux, L. S. (2003). Post-settlement alteration of spatial patterns of soft shell clam (Mya arenaria) recruits. Estuaries, 26(1), 72-81.","pelagic development","planktotrophic larvae - Reitzel, A. M., Miner, B. G., & McEdward, L. R. (2004). Relationships between spawning date and larval development time for benthic marine invertebrates: a modeling approach. Marine Ecology Progress Series, 280, 13-23.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-192,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Adamussium_colbecki","Marine","Jenn","Adamussium","colbecki","Pectinidae","Animalia","Mollusca","Bivalvia","Ostreoida",9,"sealifebase","maximum","omnivore","filter feeding bivalve","Non-migratory","moves slowly","100+","PLD unknown but thought to be 4-5mo, up to 80m depth - Guidetti, M., Marcato, S., Chiantore, M., Patarnello, T., Albertelli, G., & Cattaneo-Vietti, R. (2006). Exchange between populations of Adamussium colbecki (Mollusca: Bivalvia) in the Ross Sea. Antarctic Science, 18(4), 645.","pelagic development","pelagic larval stage - Guidetti, M., Marcato, S., Chiantore, M., Patarnello, T., Albertelli, G., & Cattaneo-Vietti, R. (2006). Exchange between populations of Adamussium colbecki (Mollusca: Bivalvia) in the Ross Sea. Antarctic Science, 18(4), 645.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",-37,-136,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Laternula_elliptica","Marine","Jenn","Laternula","elliptica","Laternulidae","Animalia","Mollusca","Bivalvia","Pholadomyoida",8.3,"sealifebase","maximum","omnivore","filter feeding bivalve","Non-migratory","sessile","10-100","PLD unknown,  248m depth (sealifebase) - Ansell, A. D., & Harvey, R. (1997). Protected larval development in the Antarctic bivalve Laternula elliptica (King and Broderip)(Anomalodesmata: Laternulidae). Journal of Molluscan Studies, 63(2), 285-286.","pelagic development","pelagic egg and larval stage - Ansell, A. D., & Harvey, R. (1997). Protected larval development in the Antarctic bivalve Laternula elliptica (King and Broderip)(Anomalodesmata: Laternulidae). Journal of Molluscan Studies, 63(2), 285-286.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max","Sarah","coastal","maybe extends just past shelf","sealifebase",-1,-248,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Donax_serra","Marine","Jenn","Donax","serra","Donacidae","Animalia","Mollusca","Bivalvia","Veneroida",8.2,"Laudein (2002) ""Population dynamics and ecology of the surf clam Donax serra (Bivalvia, Donacidae) inhabiting beaches of the Benguela upwelling system"" Thesis","maximum","omnivore","filter feeding bivalve","Non-migratory","sessile","100+","PLD unknown but related species spend several months in water column, up to 100m depths - Bezuidenhout, K., Nel, R., & Hauser, L. (2014). Demographic history, marker variability and genetic differentiation in sandy beach fauna: What is the meaning of low FST's?. Estuarine, Coastal and Shelf Science, 150, 120-124.; Laudien, J. (2002). Population dynamics and ecology of the surf clam Donax serra (Bivalvia, Donacidae) inhabiting beaches of the Benguela upwelling system= Populationsdynamik und Ökologie der Brandungsmuschel Donax serra (Bivalvia, Donacidae) von Stränden des Benguela Auftriebssystems. Berichte zur Polar-und Meeresforschung (Reports on Polar and Marine Research), 432.","pelagic development","pelagic larvae - Bezuidenhout, K., Nel, R., & Hauser, L. (2014). Demographic history, marker variability and genetic differentiation in sandy beach fauna: What is the meaning of low FST's?. Estuarine, Coastal and Shelf Science, 150, 120-124.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max","Sarah","coastal","seems to be intertidal only","https://www.jstor.org/stable/4297763",NA,NA,NA,NA,NA,NA,NA,"benthic","sealifebase",NA
"Gemma_gemma","Marine","Jenn","Gemma","gemma","Veneridae","Animalia","Mollusca","Bivalvia","Veneroida",0.5,"NEMESIS","maximum","omnivore","filter feeding bivalve","Non-migratory","sessile","1-10","evidence suggests can disperse several km over a month - Jennings, L. B., & Hunt, H. L. (2009). Distances of dispersal of juvenile bivalves (Mya arenaria (Linnaeus), Mercenaria mercenaria (Linnaeus), Gemma gemma (Totten)). Journal of Experimental Marine Biology and Ecology, 376(2), 76-84.","non-pelagic development and sessile adults","larval brooder - Casu, M., Maltagliati, F., Cossu, P., Lai, T., Galletti, M. C., Castelli, A., & Commito, J. A. (2005). Fine-grained spatial genetic structure in the bivalve Gemma gemma from Maine and Virginia (USA), as revealed by Inter-Simple Sequence Repeat markers. Journal of Experimental Marine Biology and Ecology, 325(1), 46-54.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-66,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Mulinia_lateralis","Marine","Jenn","Mulinia","lateralis","Mactridae","Animalia","Mollusca","Bivalvia","Veneroida",1.5,"sealifebase","maximum DL","omnivore","filter feeding bivalve","Non-migratory","sessile","10-100","PLD 7-22 days, up to 134m depth (sealifebase) - Mann R, Campos BM, and MW Luckenbach. 1991. Swimming rate and responses of larvae of three mactrid bivalves to salinity discontinuities. Marine Ecology Progress Series 68:257-269.","pelagic development","pelagic planktotrophic larvae - Mann, R., Campos, B. M., & Luckenbach, M. W. (1991). Swimming rate and responses of larvae of three mactrid bivalves to salinity discontinuities. Marine Ecology Progress Series, 257-269.","No","unheard of for marine bivalves",NA,"No","unheard of for marine bivalves",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-134,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Cookia_sulcata","Marine","Jenn","Cookia","sulcata","Turbinidae","Animalia","Mollusca","Gastropoda","Vetigastropoda",NA,NA,NA,"herbivore","Mason et al. (2014) Journal of Food Composition Analysis 36(1-2): 79-84","Non-migratory","taxa","1-10","PLD 3-4 days - Atalah, J., Newcombe, E. M., Hopkins, G. A., & Forrest, B. M. (2014). Potential biocontrol agents for biofouling on artificial structures. Biofouling, 30(8), 999-1010.","pelagic development","planktotrophic larval stage - Atalah, J., Newcombe, E. M., Hopkins, G. A., & Forrest, B. M. (2014). Potential biocontrol agents for biofouling on artificial structures. Biofouling, 30(8), 999-1010.","No","unheard of for marine gastropods",NA,"No","unheard of for marine gastropods",NA,"non-highland specialist","marine","max","Sarah","coastal","max sample depth 134m","https://obis.org/taxon/413403",NA,NA,NA,NA,NA,NA,NA,"demersal","sealifebase",NA
"Argopecten_purpuratus","Marine","Jenn","Argopecten","purpuratus","Pectininae","Animalia","Molusca","Bivalvia","Pectinoida",12,"sealifebase","maximum SL","omnivore","filter feeding","Non-migratory","taxa","10-100","PLD seems to be 12 days, 40m max depth (sealifebase) - Farıas, A., Uriarte, I., & Castilla, J. C. (1998). A biochemical study of the larval and postlarval stages of the Chilean scallop Argopecten purpuratus. Aquaculture, 166(1-2), 37-47.","pelagic development","pelagic larval stage - Riquelme, C. E., Jorquera, M. A., Rojas, A. I., Avendaño, R. E., & Reyes, N. (2001). Addition of inhibitor-producing bacteria to mass cultures of Argopecten purpuratus larvae (Lamarck, 1819). Aquaculture, 192(2-4), 111-119.","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal-oceanic?","up to 500 m","sealifebase",0,-500,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Ensis_macha","Marine","Jenn","Ensis","macha","Solnoidea","Animalia","Molusca","Bivalvia","Veneroida",18.9,"Marquez and Van Der Molen (2011) Journal of Molluscan Studies 77(2): 123-128","maximum SL","omnivore","filter feeding","Non-migratory","taxa","10-100","settle within 15-20 days, up to 55m depth (sealifebase) - Da Costa, F., Martínez-Patiño, D., Ojea, J., & Nóvoa, S. (2010). Larval rearing and spat production of the razor clam Ensis siliqua (Bivalvia: Pharidae). Journal of Shellfish Research, 29(2), 347-351.","pelagic development","pelagic larval stage - Morsán, E., & Ciocco, N. F. (2011). Razor clam fishing in Patagonia, Argentina. Razor clams: biology, aquaculture and fisheries. Xunta de Galicia, 405-416.","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-55,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Protothaca_thaca","Marine","Jenn","Protothaca","thaca","Veneridae","Animalia","Molusca","Bivalvia","Veneroida",8,"FAO species fact sheet","maximum SL","omnivore","filter feeding","Non-migratory","taxa",NA,"no info",NA,"no info","No","no info","unknown","No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-20,NA,"sealifebase",NA,NA,NA,"benthic","FAO species fact sheet","Changed from Protothaca to Leukoma"
"Semele_solida","Marine","Jenn","Semele","solida","Samelidae","Animalia","Molusca","Bivalvia","Veneroida",7.8,"Urban and Campos (1994) Marine Ecology Progress Series 115:93-102","maximum SH as estimated from growth curve","omnivore","filter feeding","Non-migratory","taxa",NA,"no info",NA,"no info","No",NA,NA,"No","no info",NA,"non-highland specialist","marine","max","Sarah","coastal",NA,"sealifebase",0,-11,NA,"sealifebase",NA,NA,NA,"benthic","sealifebase",NA
"Agroeca_proxima","Terrestrial","Susana","Agroeca","proxima","Liocranidae","Animalia","Arthropoda","Arachnida","Araneae",0.35,"Almquist (1971) Oikos 22: 225-229","Body size is mean body length (mm).","carnivore","guess based on","N","spider","1-10","no info - lots of mentions of aerial dispersal in literature","walking","Ozkutuk et al. (2011) Biological Diversity and Conservation 4: 224-232","Yes","Sudd, J. H. (1972). The seasons of activity of some spiders at Spurn Head, East Yorkshire. Bull. Br. arachnol. Soc, 2(6), 104-107.","activity only in Autumn suggests inactive in winter","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Clubiona_diversa","Terrestrial","Susana","Clubiona","diversa","Clubionidae","Animalia","Arthropoda","Arachnida","Araneae",0.5,"Pickard-Cambridge (1862) Zoologist 20: 7951-7968; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is in mm","carnivore","http://www.jorgenlissner.dk/clubionidae.aspx","N","spider","1-10","Blandenier, G. (2009). Ballooning of spiders (Araneae) in Switzerland: general results from an eleven-year survey. Arachnology, 14(7), 308-316. - ballooning, majority only a few hundred metres but some multiple km","walking","spider","Yes","no info - based on climate (Britain, north-western European grasslands)",NA,"No","no info - based on climate",NA,"N","Buchholz (2007) Acta Zoologica Bulgarica 59: 241-252","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Crustulina_guttata","Terrestrial","Susana","Crustulina","guttata","Theridiidae","Animalia","Arthropoda","Arachnida","Araneae",0.3,"Almquist (2005) Insect Systematics and Evolution, Supplement 62: 1-284; Le Peru (2011) Mí©moires de la Socií©tí© Linní©enne de Lyon 2: 1-522; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is total length in mm","carnivore","http://www.jorgenlissner.dk/Theridiidae.aspx","N","spider","0-1","no info - no mention of aerial dispersal","walking","spider","No","not enough info to determine (Gibson, W. W. (1947). An ecological study of the spiders of a river-terrace forest in western Tennessee.) - based on climate",NA,"Yes","Gibson, W. W. (1947). An ecological study of the spiders of a river-terrace forest in western Tennessee.","aestivates","N","Morano and Cardoso (2010) Iberian spider catalogue (v1.1). Available from: www.ennor.org/iberia","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Oedothorax_apicatus","Terrestrial","Susana","Oedothorax","apicatus","Linyphiidae","Animalia","Arthropoda","Arachnida","Araneae",0.35,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is length in mm","carnivore","Everts et al. (1991) Archives of Environmental Contamination and Toxicology 20: 13-19","N","spider","1-10","Blandenier, G. (2009). Ballooning of spiders (Araneae) in Switzerland: general results from an eleven-year survey. Arachnology, 14(7), 308-316. - ballooning, majority only a few hundred metres but some multiple km","walking","spider","Yes","Blandenier, G., Bruggisser, O. T., Rohr, R. P., & Bersier, L. F. (2013). Are phenological patterns of ballooning spiders linked to habitat characteristics?. The Journal of Arachnology, 41(2), 126-132.","not reproducing in winter, therefore hibernate","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Pardosa_nigriceps","Terrestrial","Susana","Pardosa","nigriceps","Lycosidae","Animalia","Arthropoda","Arachnida","Araneae",0.68,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is length in mm","carnivore","http://www.jorgenlissner.dk/Lycosidae.aspx","N","spider","1-10","Richter (1970) Oecologia 5: 200-214 - Large dispersal distances when using aerial dispersal methods","walking","spider","Yes","Cera, I., & Spuņģis, V. (2011). Seasonal activity of wolf spiders (Araneae: Lycosidae) in coastal dune habitats at Akmensrags-Ziemupe Nature Reserve, Latvia. Environmental and Experimental Biology, 9, 91-97.","hibernates","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Philodromus_aureolus","Terrestrial","Susana","Philodromus","aureolus","Philodromidae","Animalia","Arthropoda","Arachnida","Araneae",0.85,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is length in mm","carnivore","Michalko and Pekar (2015) Biological Control 82: 13-20","N","spider","1-10","Blandenier, G. (2009). Ballooning of spiders (Araneae) in Switzerland: general results from an eleven-year survey. Arachnology, 14(7), 308-316. - ballooning, majority only a few hundred metres but some multiple km","walking","spider","Yes","Blandenier, G., Bruggisser, O. T., Rohr, R. P., & Bersier, L. F. (2013). Are phenological patterns of ballooning spiders linked to habitat characteristics?. The Journal of Arachnology, 41(2), 126-132.","not reproducing in winter, therefore hibernate","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Phrurolithus_festivus","Terrestrial","Susana","Phrurolithus","festivus","Corinnidae","Animalia","Arthropoda","Arachnida","Araneae",0.32,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is length in mm","carnivore","Elgar (1994) Memoirs of the Queensland Museum 33: 411-430","non-migratory","spider",NA,NA,"Walking",NA,"No",NA,NA,"No",NA,NA,"No","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","max","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Prinerigone_vagans","Terrestrial","Susana","Prinerigone","vagans","Linyphiidae","Animalia","Arthropoda","Arachnida","Araneae",0.3,"Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is length in mm","carnivore","Jumbam et al (2008) Polar Biology 31: 215-220","N","spider","0-1","no info - no mention of aerial dispersal","walking","spider","No","no info - based on climate (Guttenberger, J., Guttenberger, L., & Bauer, T. (2018). Prinerigone vagans new to Poland (Araneae: Linyphiidae), with comments on taxonomy and distribution. Arachnologische Mitteilungen: Arachnology Letters, 55(1), 75-78.)",NA,"No","no info - based on climate",NA,"N","Khoza et al (2005) Koedoe 48: 103-107","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Scotina_gracilipes","Terrestrial","Susana","Scotina","gracilipes","Liocranidae","Animalia","Arthropoda","Arachnida","Araneae",0.38,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is length in mm","carnivore","Wise (1995) Spiders in Ecological Webs. Cambridge University Press","N","spider","0-1","no info - no mention of aerial dispersal","walking","spider","No","Almquist, S. (1973). Habitat selection by spiders on coastal sand dunes in Scania, Sweden. Insect Systematics & Evolution, 4(2), 134-154.","assumed since low tolerance to cold","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
"Stemonyphantes_lineatus","Terrestrial","Susana","Stemonyphantes","lineatus","Linyphiidae","Animalia","Arthropoda","Arachnida","Araneae",0.75,"Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","Body size is length in mm","carnivore","Wise (1995) Spiders in Ecological Webs. Cambridge University Press","N","spider","0-1","no info - no mention of aerial dispersal","walking","spider","No","Schaefer, M. (1987). Life cycles and diapause. In Ecophysiology of spiders (pp. 331-347). Springer, Berlin, Heidelberg.","stenochromus winter mature species","No","no info - based on climate",NA,"N","Almquist (1971) Oikos 22: 225-229; Aranea: Spiders of Europe database (http://www.araneae.unibe.ch)","max, min","Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"terrestrial",NA
