"longitude","latitude","seasonal_high_temp","hot_dormancy_6mo","cold_dormancy_6mo","hot_acc_temp","hot_acc_temp_dormancy"
-76.5,83.5,4.73681976549727,-14.7463287436536,4.73681976549727,3.38674326686238,-15.139403078582
-75.5,83.5,4.87149461785198,-14.7806240230799,4.87149461785198,3.48811820089272,-15.1740800416496
-72.5,83.5,4.79049717189274,-14.7997594872756,4.79049717189274,3.38063509813458,-15.180818264349
-71.5,83.5,4.58146069456291,-14.7819221696683,4.58146069456291,3.1988903478233,-15.1552514377848
-70.5,83.5,4.36279918272048,-14.7803477883339,4.36279918272048,2.99571506431077,-15.1434477507203
-46.5,83.5,2.99095628921475,-14.8969335571996,2.99095628921475,1.8245848585639,-15.1172376056335
-45.5,83.5,2.87946398854256,-14.998047965765,2.87946398854256,1.74927091188385,-15.2194388585431
-44.5,83.5,2.87695722842223,-15.0560140213796,2.87695722842223,1.76087535324765,-15.2775921900358
-43.5,83.5,2.93550385045154,-15.13331216595,2.93550385045154,1.80584630166145,-15.3538395494755
-42.5,83.5,3.16590515598655,-15.0924736785037,3.16590515598655,2.01722675830914,-15.3136600448085
-41.5,83.5,3.53097620116813,-15.0335371671777,3.53097620116813,2.34193780741602,-15.2570009564382
-40.5,83.5,3.92493359840342,-15.0325323394899,3.92493359840342,2.6836234899852,-15.2606029785238
-39.5,83.5,4.31440857664815,-15.0245236460652,4.31440857664815,3.01440212560849,-15.2562822561445
-38.5,83.5,4.64535652625241,-15.3027268167053,4.64535652625241,3.2555536642183,-15.5429514629434
-37.5,83.5,4.96499350969347,-15.5248121101941,4.96499350969347,3.49895678146963,-15.7732039178522
-36.5,83.5,5.12321814378457,-15.7162336690085,5.12321814378457,3.61138623035207,-15.9700489836612
-35.5,83.5,5.22306033527212,-15.861944858517,5.22306033527212,3.68278642131277,-16.1199265498269
-34.5,83.5,5.22871859329087,-15.7403335571289,5.22871859329087,3.71301687046128,-15.996390688786
-33.5,83.5,5.01246502667532,-15.7432640803712,5.01246502667532,3.54147126592335,-15.9972555177951
-32.5,83.5,4.66390193360858,-15.6981575893504,4.66390193360858,3.28134341448437,-15.9509846142626
-31.5,83.5,4.68848769457212,-15.3920478075743,4.68848769457212,3.33373288038393,-15.6381012254661
-30.5,83.5,4.43314566923572,-15.2645427252565,4.43314566923572,2.84832066698869,-15.5019057117768
-29.5,83.5,4.16911914536197,-15.0492007732391,4.16911914536197,2.64572171626874,-15.2779071225751
-28.5,83.5,3.85127975520279,-14.7556253820658,3.85127975520279,2.41342057525309,-14.9742823382773
-27.5,83.5,3.34851362281728,-14.5789995972599,3.34851362281728,2.01013085336739,-14.7872181865819
-26.5,83.5,2.92403635867605,-14.3184196821281,2.92403635867605,1.68936946300655,-14.5169589663972
-88.5,82.5,4.89367375874094,-14.9784159546918,4.89367375874094,3.60473413504531,-15.4377027158875
-86.5,82.5,5.52106818104429,-15.1111873812441,5.52106818104429,4.09957403806414,-15.5854380721759
-85.5,82.5,5.99855844151628,-15.3013115205869,5.99855844151628,4.47035063905148,-15.7883407220893
-84.5,82.5,6.6189649419593,-15.5897967525891,6.6189649419593,4.95039498701832,-16.0940372805776
-83.5,82.5,7.61945693501704,-15.5923200116094,7.61945693501704,5.79288802007519,-16.1142472568766
-82.5,82.5,8.54638650294926,-15.5911342971027,8.54638650294926,6.564382114694,-16.1270509597978
-81.5,82.5,8.89016655928322,-15.9466463312507,8.89016655928322,6.78918649989871,-16.4925811223486
-80.5,82.5,9.12126728125981,-16.3118553013674,9.12126728125981,6.91657463273512,-16.8655285024217
-79.5,82.5,9.50440447915878,-16.6829463141837,9.50440447915878,7.17767915806072,-17.2475524892631
-78.5,82.5,9.87904756729092,-17.2163445759032,9.87904756729092,7.41219831943922,-17.7951595724693
-77.5,82.5,9.3376317347799,-18.0338060767057,9.3376317347799,6.81722375107575,-18.614807552653
-76.5,82.5,9.7006387071684,-17.6946380005883,9.7006387071684,7.16073731565569,-18.2729117461038
-75.5,82.5,10.2029558889568,-17.2077274245343,10.2029558889568,7.64371980581613,-17.7828692570861
