"binomial","acc_name"
"Hyla regilla","Pseudacris regilla"
"Hyla rothi","Litoria rothii"
"Hyla rubella","Litoria rubella"
"Hyla squirella","Dryophytes squirellus"
"Hyla verreauxi","Litoria verreauxii"
"Hyla walkeri","Dryophytes walkeri"
"Hylarana erythraea","Hylarana erythraea"
"Hylarana luzonensis","Sanguirana luzonensis"
"Hypomesus nipponensis","Hypomesus nipponensis"
"Hypomesus transpacificus","Hypomesus transpacificus"
"Ictalurus punctatus","Ictalurus punctatus"
"Kaloula kalingensis","Kaloula kalingensis"
"Lampropeltis getulus","Lampropeltis getula"
"Lampropeltis zonata","Lampropeltis zonata"
"Lepidophyma flavimaculatum","Lepidophyma flavimaculatum"
"Lepomis cyanellus","Lepomis cyanellus"
"Lepomis gibbosus","Lepomis gibbosus"
"Lepomis gulosus","Lepomis gulosus"
"Lepomis macrochirus","Lepomis macrochirus"
"Leptodactylus pentadactylus","Leptodactylus pentadactylus"
"Limnodynastes dorsalis","Limnodynastes dorsalis"
"Limnodynastes fletcheri","Limnodynastes fletcheri"
"Limnodynastes peroni","Limnodynastes peroni"
"Limnodynastes tasmaniensis","Limnodynastes tasmaniensis"
"Limnonectes woodworthi","Limnonectes woodworthi"
"Linepithema humile","Linepithema humile"
"Liolaemus fitzingerii","Liolaemus fitzingerii"
"Liolaemus kriegi","Liolaemus kriegi"
"Lipophrys trigloides","Lipophrys trigloides"
"Litoria gracilenta","Ranoidea gracilenta"
"Littorina obtusata","Littorina obtusata"
"Littorina saxatilis","Littorina saxatilis"
"Liza ramada","Liza ramado"
"Lumbriculus variegatus","Lumbriculus variegatus"
"Luxilus chrysocephalus","Luxilus chrysocephalus"
"Luxilus cornutus","Luxilus cornutus"
"Luxilus zonatus","Luxilus zonatus"
"Lythrurus umbratilis","Lythrurus umbratilis"
"Macrobrachium acanthurus","Macrobrachium acanthurus"
"Macromia taeniolata","Macromia taeniolata"
"Masticophis anthonyi","Coluber anthonyi"
"Masticophis lateralis","Coluber lateralis"
"Menidia beryllina","Menidia beryllina"
"Menidia menidia","Menidia menidia"
"Micropterus dolomieu","Micropterus dolomieu"
"Micropterus salmoides","Micropterus salmoides"
"Misumenops asperatus","Mecaphesa asperata"
"Mugil curema","Mugil curema"
"Neobatrachus pictus","Neobatrachus pictus"
