"Realm","Class","Order","Family","Genus","Species","Tmin","Tmax","Metric_Tmin","Metric_Tmax","RealizedRangeSource","AbsLatitude","RangeSize","LogBodySize","DispersalDistance","HotSeasonDormancy","ColdSeasonDormancy","NicheFilling_Warm","NicheFilling_Cool","LogRangeFilling","EquatorwardBiasInUnderfilling","NicheFilling_Warm_Behaviour","NicheFilling_Warm_Acclimation","NicheFilling_Cool_Acclimation","LogRangeFilling_Acclimation","EquatorwardBiasInUnderfilling_Acclimation"
"Intertidal","Gastropoda","Neotaenioglossa","Littorinidae","Littorina","saxatilis",-16.4,35,"lt","lt","GBIF",53.3191011663616,301,0.641853886172395,100,"No","No",-0.119411468505803,22.950517654419,-3.43154966519171,0.0370913028394984,NA,NA,NA,NA,NA
"Intertidal","Gastropoda","Neotaenioglossa","Littorinidae","Littorina","saxatilis",-16.4,35,"lt","lt","GBIF",53.3191011663616,301,0.641853886172395,100,"No","No",-0.119411468505803,22.950517654419,-3.43154966519171,0.0370913028394984,NA,NA,NA,NA,NA
"Intertidal","Malacostraca","Decapoda","Grapsidae","Pachygrapsus","marmoratus",NA,35.7,NA,"ct","GBIF",44.9112175762031,81,1.06471073699243,100,"No",NA,-4.4899978637695,NA,NA,NA,NA,-5.73,NA,NA,NA
"Intertidal","Malacostraca","Decapoda","Varunidae","Hemigrapsus","nudus",3.5,33.6,"ct","ct","GBIF",47.2466316667706,18,-2.00842405444456,100,"No","No",-4.8478031158447,13.3274879455566,NA,NA,NA,-8.33153,11.277488,NA,NA
"Intertidal","Malacostraca","Decapoda","Varunidae","Hemigrapsus","nudus",3.5,33.6,"ct","ct","GBIF",47.2466316667706,18,-2.00842405444456,100,"No","No",-4.8478031158447,13.3274879455566,NA,NA,NA,-8.33153,11.277488,NA,NA
"Marine","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia","menidia",1.5,32.5,"lt","lt","GBIF",36.5019313656972,36,2.70805020110221,100,"No","No",0.0999984741211009,3.31999993324279,-5.66705561895077,0.0039026193493874,NA,0.100000000000001,1.37,-5.64456311499623,-0.000574776391816023
"Marine","Actinopterygii","Atheriniformes","Atherinopsidae","Menidia","menidia",1.5,32.5,"lt","lt","GBIF",36.5019313656972,36,2.70805020110221,100,"No","No",0.0999984741211009,3.31999993324279,-5.66705561895077,0.0039026193493874,NA,0.100000000000001,1.37,-5.64456311499623,-0.000574776391816023
"Marine","Actinopterygii","Clupeiformes","Clupeidae","Clupea","harengus",NA,21.2,NA,"lt","IUCN",56.8688254875,224,3.80666248977032,1000,"No",NA,10.1100006103515,NA,NA,NA,NA,6.23,NA,NA,NA
"Marine","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","japonicus",8,32,"lt","lt","IUCN",34.4184356295,68,2.89037175789616,1000,"No","No",1.1399993896484,9.79999995231628,-5.4742080330117,0.0141757189313367,NA,1.14,4.78,-4.93073660897278,0.0205769053234077
"Marine","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","japonicus",8,32,"lt","lt","IUCN",34.4184356295,68,2.89037175789616,1000,"No","No",1.1399993896484,9.79999995231628,-5.4742080330117,0.0141757189313367,NA,1.14,4.78,-4.93073660897278,0.0205769053234077
"Marine","Actinopterygii","Cyprinodontiformes","Cyprinodontidae","Floridichthys","carpio",NA,42.2,NA,"ct","GBIF",24.4850398414895,18,2.07944154167984,10,"No",NA,-4.2900009155273,NA,NA,NA,NA,-4.29,NA,NA,NA
