"log_prop_occupied","log_pol_equ_diff","abs_lat_mp","realm","dispersal_distance_continuous","log_maximum_body_size","rr_cells","metric","Class","Order","Family","Genus","Species","range","bias_in_uf"
-1.23237010493223,1.09112216166075,1.83931537767943,"Terrestrial",-0.251287888771884,-2.72931984828261,334,"mixed","Arachnida","Araneae","Theridiidae","Crustulina","guttata","Crustulina_guttata_GBIF",0.465533119585237
-3.53449726600922,2.20519274698539,0.130874240342832,"Terrestrial",-0.251287888771884,0.0901075314034971,18,"ct","Reptilia","Squamata","Agamidae","Ctenophorus","decresii","Ctenophorus_decresii_IUCN",0.142363315696649
-2.51769647261099,4.06044301054642,-0.343562431715229,"Terrestrial",-0.251287888771884,-0.00752888257899726,125,"ct","Reptilia","Squamata","Scincidae","Ctenotus","taeniolatus","Ctenotus_taeniolatus_IUCN",0.982758620689655
-2.60679646739704,2.19722457733622,-0.381435356462596,"Terrestrial",-0.251287888771884,0.0129400935494179,121,"ct","Reptilia","Squamata","Scincidae","Ctenotus","uber","Ctenotus_uber_IUCN",0.533333333333333
-2.05034976953801,0.182482754588744,-1.54316742964956,"Marine",0.226242584243125,0.177446279864594,406,"ct","Actinopterygii","Perciformes","Pomacentridae","Dascyllus","aruanus","Dascyllus_aruanus_GBIF",0.0237360658495149
-4.22123631407672,1.7552337878786,-1.3211581728828,"Terrestrial",-0.251287888771884,-0.541669542600456,17,"mixed","Amphibia","Anura","Dendrobatidae","Dendrobates","auratus","Dendrobates_auratus_IUCN",0.0463194578896419
-1.36801231628244,-0.101115983171172,0.540494517410453,"Terrestrial",-0.251287888771884,-0.14591440864492,199,"ct","Amphibia","Caudata","Plethodontidae","Desmognathus","fuscus","Desmognathus_fuscus_IUCN",-0.0250364608653381
-1.99655388187407,0.500775287912491,-0.0549968460867892,"Terrestrial",-0.251287888771884,0.293734523259502,69,"ct","Reptilia","Squamata","Iguanidae","Dipsosaurus","dorsalis","Dipsosaurus_dorsalis_IUCN",0.078787878787879
-2.80878464837125,2.27674528259669,0.00114149785824192,"Terrestrial",-0.251287888771884,0.937006777919574,53,"ct","Reptilia","Squamata","Scincidae","Egernia","cunninghami","Egernia_cunninghami_IUCN",0.187512728753891
-3.04144551221894,4.03795805116074,0.26605911990854,"Terrestrial",-0.251287888771884,0.426218406200439,37,"ct","Reptilia","Squamata","Scincidae","Egernia","saxatilis","Egernia_saxatilis_IUCN",0.637210740151917
-1.39264358879855,0.978286223340222,-0.29872262519977,"Terrestrial",-0.251287888771884,0.321645119818735,198,"ct","Reptilia","Squamata","Scincidae","Egernia","striolata","Egernia_striolata_IUCN",0.256641944921246
-4.87264955112235,0.0152674721307875,-0.694522820046267,"Terrestrial",-0.251287888771884,-0.364626990110337,3,"ct","Amphibia","Anura","Eleutherodactylidae","Eleutherodactylus","coqui","Eleutherodactylus_coqui_IUCN",0.000116550116550096
-3.30505352110925,0.343440905937308,0.543487841765971,"Terrestrial",-0.251287888771884,0.362421442308186,54,"ct","Reptilia","Squamata","Anguidae","Elgaria","multicarinata","Elgaria_multicarinata_IUCN",0.0142288267288267
-5.4742080330117,2.12583350814367,0.231631955347521,"Marine",4.56742870256138,0.664692867014885,68,"lt","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","japonicus","Engraulis_japonicus_IUCN",0.0141757189313367
-2.12934498177833,-1.37040244436425,0.756961499414979,"Terrestrial",-0.251287888771884,-0.154530165343128,532,"ct","Reptilia","Squamata","Lacertidae","Eremias","argus","Eremias_argus_IUCN",-0.218216307502022
