ref
"1.Claussen 
  D.L. 
  1973 
  The 
  thermal 
  relations 
  of 
  the 
  tailed 
  frog, 
  Ascaphus 
  truei, 
  and 
  the 
  pacific 
  treefrog, 
  Hyla 
  regilla.Comparative 
  Biochemistry 
  and 
  Physiology 
  Part 
  A: 
  Physiology 
   44(1), 
  137-153."
"2.Brattstrom 
  B.H. 
  1968 
  Thermal 
  acclimation 
  in 
  anuran 
  amphibians 
  as 
  a 
  function 
  of 
  latitude 
  and 
  altitude. 
   ComparativeBiochemistry 
  and 
  Physiology 
   24(1), 
  93-111."
"3.Christian 
  K.A., 
  Nunez 
  F., 
  Clos 
  L., 
  Diaz 
  L. 
  1988 
  Thermal 
  relations 
  of 
  some 
  tropical 
  frogs 
  along 
  an 
  altitudinal 
  gradient.Biotropica 
   20, 
  236-239."
"4.Brattstrom 
  B.H. 
  1970 
  Thermal 
  acclimation 
  in 
  Australian 
  amphibians. 
   Comparative 
  Biochemistry 
  and 
  Physiology 
   35(1),69-103.69-103."
"5.Dunlap 
  D.G. 
  1968 
  Critical 
  thermal 
  maximum 
  as 
  a 
  function 
  of 
  temperature 
  of 
  acclimation 
  in 
  two 
  species 
  of 
  hylid 
  frogs.Physiological 
  Zoology 
   41, 
  432-439."
"6.Brattstrom B.H., Regal 
  P. 
  1965 
  Rate 
  of 
  thermal 
  acclimation 
  in 
  the 
  Mexican 
  salamander 
  Chiropterotriton. 
   Copeia, 
  514-"
"7.Holzman 
  N., 
  McManus 
  J.J. 
  1973 
  Effects 
  of 
  acclimation 
  on 
  metabolic 
  rate 
  and 
  thermal 
  tolerance 
  in 
  the 
  carpenter 
  frog,"
"8.Chen 
  T.-C., 
  Kam 
  Y.-C., 
  Lin 
  Y.-S. 
  2001 
  Thermal 
  physiology 
  and 
  reproductive 
  phenology 
  of 
  Buergeria 
  japonica"
"9.Claussen 
  D.L. 
  1977 
  Thermal 
  acclimation 
  in 
  ambystomatid 
  salamanders. 
   Comparative 
  Biochemistry 
  and 
  Physiology--Part"
"10.Hutchison 
  V.H. 
  1961 
  Critical 
  thermal 
  maxima 
  in 
  salamanders. 
   Physiological 
  Zoology 
   34, 
  92-125."
