Record,Order,Family1,Genus1,Species1,Family2,Genus2,Species2,Family3,Genus3,Species3,Stage,N numb,N cat,N comment,Raw CTM1,Raw CTM2,Acclim,Acclim time,Acclim time (Life=120),log Acclim time,Acclim temp,Safety,Heating rate,Photoperiod,EP1,EP1 descrip,EP2,Elevation,Log Elevation,Locality,Geog cat,Abs lat,Log Abs Lat,Latitude,Longitude,Source,Comments,Year,Citation,Reference,Range,Log Range,Introduced,Elev min,Elev max,SVL,log SVL,Habitat,tmxslope,BIOCLIM5,IUCN 2014,IUCN 2104risk
1009,Anura,Ranidae,Rana,palustris,Ranidae,Rana,palustris,Ranidae,Lithobates,palustris,Adult,3,A,Given,30.4,NA,Y,1,1,0.30,23,4.4,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42.000,1.623,42.000,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",2477116,6.39,Not introduced,NA,NA,55,1.74,Aquatic & terrestrial,0.026780712,25.7,Not threatened,0
991,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,31.3,NA,Y,1,1,0.30,5,6.0,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
993,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,31.8,NA,Y,1,1,0.30,7,6.2,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
995,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,33.3,NA,Y,1,1,0.30,12,6.9,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
998,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,34.0,NA,Y,1,1,0.30,23,5.9,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
1018,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,34.0,NA,Y,1,1,0.30,23,5.9,NA,12:12,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
1001,Anura,Ranidae,Rana,pipiens,Ranidae,Rana,pipiens,Ranidae,Lithobates,pipiens,Adult,3,A,Given,35.0,NA,Y,1,1,0.30,29,6.0,NA,0:24,L,Loss of righting response,NA,349,2.54,Supplier,Temperate,43.681,1.640,43.6805335,-90.082397,Supplier,Location estimated,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",6011807,6.78,Not introduced,100,600,113,2.05,Terrestrial,0.019469788,28.1,Not threatened,0
1013,Anura,Ranidae,Rana,clamitans,Ranidae,Rana,clamitans,Ranidae,Rana,clamitans,Adult,3,A,Given,31.8,NA,Y,1,1,0.30,23,5.7,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42.000,1.623,42.000,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",3826484,6.58,Introduced,NA,NA,87,1.94,Aquatic,0.026780712,25.7,Not threatened,0
1033,Anura,Bufonidae,Bufo,marinus,Bufonidae,Bufo,marinus,Bufonidae,Rhinella,marina,Adult,3,A,Given,40.0,NA,Y,1,1,0.30,38,6.8,NA,0:24,L,Loss of righting response,NA,57,1.76,"Barro Colorado Island, Panama",Tropical,9.152,0.962,9.152,-79.846,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",11320528,7.05,Introduced,0,2200,146,2.16,Terrestrial,0.006678271,31.4,Not threatened,0
862,Anura,Bufonidae,Bufo,marinus,Bufonidae,Bufo,marinus,Bufonidae,Rhinella,marina,Adult,7,A,Given,39.3,NA,Y,1,1,0.30,25,16.0,1.0,NA,L,Loss of righting response,NA,2010,3.30,Supplier,Tropical,5.838,0.766,5.838385,-75.2233885,Supplier,Location estimated,1991,Sherman et al. 1991,"Sherman, E., L. Baldwin, G. Fernandez, and E. Deurell. 1991. Fever and thermal tolerance in the toad Bufo marinus. Journal of Thermal Biology 16:297-301.",11320528,7.05,Introduced,0,2200,146,2.16,Terrestrial,0.000809524,22,Not threatened,0
863,Anura,Bufonidae,Bufo,marinus,Bufonidae,Bufo,marinus,Bufonidae,Rhinella,marina,Adult,6,A,Given,40.3,NA,Y,1,1,0.30,32,15.9,1.0,NA,L,Loss of righting response,NA,2010,3.30,Supplier,Tropical,5.838,0.766,5.838385,-75.2233885,Supplier,Location estimated,1991,Sherman et al. 1991,"Sherman, E., L. Baldwin, G. Fernandez, and E. Deurell. 1991. Fever and thermal tolerance in the toad Bufo marinus. Journal of Thermal Biology 16:297-301.",11320528,7.05,Introduced,0,2200,146,2.16,Terrestrial,0.000809524,22,Not threatened,0
1027,Anura,Scaphiopodidae,Scaphiopus,holbrookii,Scaphiopodidae,Scaphiopus,holbrookii,Scaphiopodidae,Scaphiopus,holbrookii,Adult,3,A,Given,32.8,NA,Y,1,1,0.30,23,6.7,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42.000,1.623,42.000,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",1122385,6.05,Not introduced,NA,NA,55,1.74,Terrestrial,0.026780712,25.7,Not threatened,0
773,Caudata,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,larva,15,B,N given,33.5,NA,Y,2,2,0.48,2,,1.0,24:0,L,Loss of righting response,NA,689,2.84,"Buffalo County, Nebraska",Temperate,40.841,1.611,40.841,-99.101,Field,NA,1980,Nietfeldt et al. 1980,"Nietfeldt, J. W., S. M. Jones, D. L. Droge, and R. E. Ballinger. 1980. Rate of thermal acclimation in larval Ambystoma tigrinum. Journal of Herpetology 14:209-211.",4317635,6.64,Not introduced,0,3660,265,2.42,Aquatic & terrestrial,0.021618647,31,Not threatened,0
769,Caudata,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,larva,15,B,N given,37.9,NA,Y,2,2,0.48,28,,1.0,24:0,L,Loss of righting response,NA,689,2.84,"Buffalo County, Nebraska",Temperate,40.841,1.611,40.841,-99.101,Field,NA,1980,Nietfeldt et al. 1980,"Nietfeldt, J. W., S. M. Jones, D. L. Droge, and R. E. Ballinger. 1980. Rate of thermal acclimation in larval Ambystoma tigrinum. Journal of Herpetology 14:209-211.",4317635,6.64,Not introduced,0,3660,265,2.42,Aquatic & terrestrial,0.021618647,31,Not threatened,0
1031,Anura,Bufonidae,Bufo,fowleri,Bufonidae,Bufo,fowleri,Bufonidae,Anaxyrus,fowleri,Adult,3,A,Given,36.5,NA,Y,2,2,0.48,23,10.4,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42.000,1.623,42.000,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",1991277,6.30,Not introduced,NA,NA,55,1.74,Terrestrial,0.026780712,25.7,Not threatened,0
697,Caudata,Plethodontidae,Desmognathus,fuscus,Plethodontidae,Desmognathus,fuscus,Plethodontidae,Desmognathus,fuscus,Adult,7,A,Given,35.0,NA,Y,2,2,0.48,25,5.7,0.8,12:12,L,Animals unresponsive to prodding,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.600,39.778,-84.690,Field,NA,1982,Layne and Claussen 1982b,"Layne, J. R., and D. L. Claussen. 1982. The time courses of CTMax and CTMin acclimation in the salamander Desmognathus fuscus. Journal of Thermal Biology 7:139-141.",1524467,6.18,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
59,Caudata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea,bislineata,Plethodontidae,Eurycea,bislineata,Adult,7,A,Given,34.9,NA,Y,2,2,0.48,25,5.6,0.8,12:12,L,Loss of righting response,NA,336,2.53,"Preble County, Ohio",Temperate,39.778,1.600,39.778,-84.690,Field,NA,1982,Layne and Claussen 1982,"Layne Jr, J. R., and D. L. Claussen. 1982. Seasonal variation in the thermal acclimation of critical thermal maxima (CTMax) and minima (CTMin) in the salamander Eurycea bislineata. Journal of Thermal Biology 7:29-33.",1195927,6.08,Not introduced,NA,NA,78,1.89,Terrestrial,0.003431373,29.2,Not threatened,0
