Record,Order,Family1,Genus1,Species1,Family2,Genus2,Species2,Family3,Genus3,Species3,Stage,N numb,N cat,N comment,Raw CTM1,Raw CTM2,Acclim,Acclim time,Acclim time (Life=120),log Acclim time,Acclim temp,Safety,Heating rate,Photoperiod,EP1,EP1 descrip,EP2,Elevation,Log Elevation,Locality,Geog cat,Abs lat,Log Abs Lat,Latitude,Longitude,Source,Comments,Year,Citation,Reference,Range,Log Range,Introduced,Elev min,Elev max,SVL,log SVL,Habitat,tmxslope,BIOCLIM5,IUCN 2014,IUCN 2104risk
987,Anura,Leptodactylidae,Pleurodema,diplolistris,Leptodactylidae,Pleurodema,diplolistris,Leptodactylidae,Pleurodema,diplolister,larva,24,B,N given,44.6,NA,Y,3,3,0.60,30,,1.0,12:12,L,When tadpoles did not move after five consecutive taps,NA,785,2.89,"Angicos, Rio Grande do Norte, Brazil",Subtropical,23.551,1.372,-23.551,-46.633,Field,Clutch 3,2015,Simon et al. 2015,"Simon, M. N., P. L. Ribeiro, C. A. Navas. 2015. Upper thermal tolerance plasticity in tropical amphibian species from contrasting habitats: implications for warming impact prediction. Journal of Thermal Biology 48:36-44.",1394253,6.14,Not introduced,NA,750,33.8,1.53,Terrestrial,0.035503802,26.1,Not threatened,0
417,Anura,Strabomantidae,Pristimantis,danae,Leptodactylidae,Eleutherodactylus ,danae,Craugastoridae,Pristimantis,danae,Adult,10,B,Category,29.0,NA,Y,3,3,0.60,17,-1.3,0.7,NA,L,Loss of righting response,NA,1683,3.23,"Manu National Park, Peru",Tropical,11.183,1.049,-11.183,-71.167,Field,NA,2014,Catenazzi et al. 2014,"Catenazzi, A., E. Lehr, and V. T. Vredenburg. 2014. Thermal physiology, disease, and amphibian declines on the eastern slopes of the Andes. Conservation Biology 28:509-517.",47944,4.68,Not introduced,200,1800,32,1.51,Terrestrial,0.007073629,31.8,Not threatened,0
418,Anura,Strabomantidae,Pristimantis,pharangobates,Leptodactylidae,Eleutherodactylus ,rhabdolaemus,Craugastoridae,Pristimantis,rhabdolaemus,Adult,10,B,Category,26.8,NA,Y,3,3,0.60,17,-3.5,0.7,NA,L,Loss of righting response,NA,2408,3.38,"Manu National Park, Peru",Tropical,11.183,1.049,-11.183,-71.167,Field,NA,2014,Catenazzi et al. 2014,"Catenazzi, A., E. Lehr, and V. T. Vredenburg. 2014. Thermal physiology, disease, and amphibian declines on the eastern slopes of the Andes. Conservation Biology 28:509-517.",104832,5.02,Not introduced,1000,2400,33,1.52,Terrestrial,0.007073629,31.8,Not threatened,0
419,Anura,Strabomantidae,Pristimantis,salaputium,Leptodactylidae,Eleutherodactylus ,salaputium,Craugastoridae,Pristimantis,salaputium,Adult,10,B,Category,29.1,NA,Y,3,3,0.60,17,-1.2,0.7,NA,L,Loss of righting response,NA,1778,3.25,"Manu National Park, Peru",Tropical,11.183,1.049,-11.183,-71.167,Field,NA,2014,Catenazzi et al. 2014,"Catenazzi, A., E. Lehr, and V. T. Vredenburg. 2014. Thermal physiology, disease, and amphibian declines on the eastern slopes of the Andes. Conservation Biology 28:509-517.",28,1.45,Not introduced,1700,NA,33,1.52,Terrestrial,0.007073629,31.8,NA,
420,Anura,Strabomantidae,Pristimantis,toftae,Leptodactylidae,Eleutherodactylus ,toftae,Craugastoridae,Pristimantis,toftae,Adult,10,B,Category,29.8,NA,Y,3,3,0.60,17,-0.5,0.7,NA,L,Loss of righting response,NA,1499,3.18,"Manu National Park, Peru",Tropical,11.183,1.049,-11.183,-71.167,Field,NA,2014,Catenazzi et al. 2014,"Catenazzi, A., E. Lehr, and V. T. Vredenburg. 2014. Thermal physiology, disease, and amphibian declines on the eastern slopes of the Andes. Conservation Biology 28:509-517.",210014,5.32,Not introduced,NA,NA,33,1.52,Terrestrial,0.007073629,31.8,Not threatened,0
122,Anura,Hylidae,Hyla,regilla,Hylidae,Pseudacris,regilla,Hylidae,Pseudacris,regilla,Adult,8,A,Given,34.8,NA,Y,3,3,0.60,0,10.6,1.0,NA,L,Loss of righting response,NA,1167,3.07,"Clinton, Montana",Temperate,46.770,1.670,46.770,-113.714,Field,NA,1973,Claussen 1973,"Claussen, D. L. 1973. The thermal relations of the tailed frog, Ascaphus truei, and the pacific treefrog, Hyla regilla. Comparative Biochemistry and Physiology part A 44:137-153.",1540984,6.19,Not introduced,NA,3000,33,1.52,Terrestrial,0.025106042,27.8,Not threatened,0
123,Anura,Hylidae,Hyla,regilla,Hylidae,Pseudacris,regilla,Hylidae,Pseudacris,regilla,Adult,8,A,Given,35.1,NA,Y,3,3,0.60,10,9.3,1.0,NA,L,Loss of righting response,NA,1167,3.07,"Clinton, Montana",Temperate,46.770,1.670,46.770,-113.714,Field,NA,1973,Claussen 1973,"Claussen, D. L. 1973. The thermal relations of the tailed frog, Ascaphus truei, and the pacific treefrog, Hyla regilla. Comparative Biochemistry and Physiology part A 44:137-153.",1540984,6.19,Not introduced,NA,3000,33,1.52,Terrestrial,0.025106042,27.8,Not threatened,0
124,Anura,Hylidae,Hyla,regilla,Hylidae,Pseudacris,regilla,Hylidae,Pseudacris,regilla,Adult,8,A,Given,35.3,NA,Y,3,3,0.60,20,7.9,1.0,NA,L,Loss of righting response,NA,1167,3.07,"Clinton, Montana",Temperate,46.770,1.670,46.770,-113.714,Field,NA,1973,Claussen 1973,"Claussen, D. L. 1973. The thermal relations of the tailed frog, Ascaphus truei, and the pacific treefrog, Hyla regilla. Comparative Biochemistry and Physiology part A 44:137-153.",1540984,6.19,Not introduced,NA,3000,33,1.52,Terrestrial,0.025106042,27.8,Not threatened,0
481,Anura,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,larva,10,B,N given,38.8,NA,Y,3,3,0.60,30,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 43,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3425336,6.53,Not introduced,NA,NA,33,1.52,Terrestrial,0.01137455,32,Not threatened,0
475,Anura,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,larva,10,B,N given,38.9,NA,Y,3,3,0.60,30,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 27,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3425336,6.53,Not introduced,NA,NA,33,1.52,Terrestrial,0.01137455,32,Not threatened,0
482,Anura,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,larva,10,B,N given,39.4,NA,Y,3,3,0.60,30,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 46,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3425336,6.53,Not introduced,NA,NA,33,1.52,Terrestrial,0.01137455,32,Not threatened,0
478,Anura,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,larva,10,B,N given,39.7,NA,Y,3,3,0.60,30,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 39,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3425336,6.53,Not introduced,NA,NA,33,1.52,Terrestrial,0.01137455,32,Not threatened,0
476,Anura,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,larva,10,B,N given,39.7,NA,Y,3,3,0.60,30,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 32,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3425336,6.53,Not introduced,NA,NA,33,1.52,Terrestrial,0.01137455,32,Not threatened,0
479,Anura,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,larva,10,B,N given,39.9,NA,Y,3,3,0.60,30,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 41,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3425336,6.53,Not introduced,NA,NA,33,1.52,Terrestrial,0.01137455,32,Not threatened,0
480,Anura,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,larva,10,B,N given,39.9,NA,Y,3,3,0.60,30,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 42,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3425336,6.53,Not introduced,NA,NA,33,1.52,Terrestrial,0.01137455,32,Not threatened,0
477,Anura,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,Hylidae,Pseudacris,triseriata,larva,10,B,N given,40.1,NA,Y,3,3,0.60,30,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 36,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3425336,6.53,Not introduced,NA,NA,33,1.52,Terrestrial,0.01137455,32,Not threatened,0
421,Anura,Strabomantidae,Psychrophrynella,usurpator,NA,NA,NA,Craugastoridae,Psychrophrynella,usurpator,Adult,10,B,Category,28.2,NA,Y,3,3,0.60,17,-2.1,0.7,NA,L,Loss of righting response,NA,3136,3.50,"Manu National Park, Peru",Tropical,11.183,1.049,-11.183,-71.167,Field,New species,2014,Catenazzi et al. 2014,"Catenazzi, A., E. Lehr, and V. T. Vredenburg. 2014. Thermal physiology, disease, and amphibian declines on the eastern slopes of the Andes. Conservation Biology 28:509-517.",2542,3.41,Not introduced,2800,3500,22,1.34,Terrestrial,0.007073629,31.8,Threatened,1
1015,Anura,Ranidae,Rana,clamitans,Ranidae,Rana,clamitans,Ranidae,Rana,clamitans,Adult,3,A,Given,35.1,NA,Y,3,3,0.60,23,9.0,NA,12:12,L,Loss of righting response,NA,422,2.63,"Long Island, New York",Temperate,42.000,1.623,42.000,-73.135,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",3826484,6.58,Introduced,NA,NA,87,1.94,Aquatic,0.026780712,25.7,Not threatened,0
976,Anura,Bufonidae,Rhinella,icterica,Bufonidae,Bufo,ictericus,Bufonidae,Rhinella,icterica,larva,24,B,N given,41.4,NA,Y,3,3,0.60,20,,1.0,12:12,L,When tadpoles did not move after five consecutive taps,NA,785,2.89,"Boracéia Ecological Station, São Paulo, Brazil",Subtropical,23.551,1.372,-23.551,-46.633,Field,Clutch 5,2015,Simon et al. 2015,"Simon, M. N., P. L. Ribeiro, C. A. Navas. 2015. Upper thermal tolerance plasticity in tropical amphibian species from contrasting habitats: implications for warming impact prediction. Journal of Thermal Biology 48:36-44.",1549588,6.19,Not introduced,NA,1200,33,1.52,Terrestrial,0.035503802,26.1,Not threatened,0
989,Anura,Bufonidae,Rhinella,icterica,Bufonidae,Bufo,ictericus,Bufonidae,Rhinella,icterica,larva,24,B,N given,42.4,NA,Y,3,3,0.60,30,,1.0,12:12,L,When tadpoles did not move after five consecutive taps,NA,785,2.89,"Boracéia Ecological Station, São Paulo, Brazil",Subtropical,23.551,1.372,-23.551,-46.633,Field,Clutch 5,2015,Simon et al. 2015,"Simon, M. N., P. L. Ribeiro, C. A. Navas. 2015. Upper thermal tolerance plasticity in tropical amphibian species from contrasting habitats: implications for warming impact prediction. Journal of Thermal Biology 48:36-44.",1549588,6.19,Not introduced,NA,1200,33,1.52,Terrestrial,0.035503802,26.1,Not threatened,0
975,Anura,Bufonidae,Rhinella,icterica,Bufonidae,Bufo,ictericus,Bufonidae,Rhinella,icterica,larva,24,B,N given,42.6,NA,Y,3,3,0.60,20,,1.0,12:12,L,When tadpoles did not move after five consecutive taps,NA,785,2.89,"Boracéia Ecological Station, São Paulo, Brazil",Subtropical,23.551,1.372,-23.551,-46.633,Field,Clutch 4,2015,Simon et al. 2015,"Simon, M. N., P. L. Ribeiro, C. A. Navas. 2015. Upper thermal tolerance plasticity in tropical amphibian species from contrasting habitats: implications for warming impact prediction. Journal of Thermal Biology 48:36-44.",1549588,6.19,Not introduced,NA,1200,33,1.52,Terrestrial,0.035503802,26.1,Not threatened,0
988,Anura,Bufonidae,Rhinella,icterica,Bufonidae,Bufo,ictericus,Bufonidae,Rhinella,icterica,larva,24,B,N given,43.4,NA,Y,3,3,0.60,30,,1.0,12:12,L,When tadpoles did not move after five consecutive taps,NA,785,2.89,"Boracéia Ecological Station, São Paulo, Brazil",Subtropical,23.551,1.372,-23.551,-46.633,Field,Clutch 4,2015,Simon et al. 2015,"Simon, M. N., P. L. Ribeiro, C. A. Navas. 2015. Upper thermal tolerance plasticity in tropical amphibian species from contrasting habitats: implications for warming impact prediction. Journal of Thermal Biology 48:36-44.",1549588,6.19,Not introduced,NA,1200,33,1.52,Terrestrial,0.035503802,26.1,Not threatened,0
947,Anura,Bufonidae,Bufo,marinus,Bufonidae,Bufo,marinus,Bufonidae,Rhinella,marina,Adult,20,B,Given,40.0,NA,Y,3,3,0.60,28,8.4,0.6,NA,L,Loss of righting response,NA,24,1.38,"St. Croix, Virgin Islands",Tropical,17.706,1.248,17.706,-64.859,Field,NA,1975,McManus and Nellis 1975,"McManus, J. J., and D. W. Nellis. 1975. The critical thermal maximum of the marine toad Bufo marinus. Caribbean Journal of Science 15:67-70.",11320528,7.05,Introduced,0,2200,146,2.16,Terrestrial,0.011543818,31.4,Not threatened,0
1035,Anura,Bufonidae,Bufo,marinus,Bufonidae,Bufo,marinus,Bufonidae,Rhinella,marina,Adult,3,A,Given,41.7,NA,Y,3,3,0.60,38,8.5,NA,0:24,L,Loss of righting response,NA,57,1.76,"Barro Colorado Island, Panama",Tropical,9.152,0.962,9.152,-79.846,Field,NA,1962,Brattstrom and Lawrence 1962,"Brattstrom, B. H., and P. Lawrence. 1962. The rate of thermal acclimation in anuran amphibians. Physiological Zoology 35:148-156.",11320528,7.05,Introduced,0,2200,146,2.16,Terrestrial,0.006678271,31.4,Not threatened,0
37,Anura,Alytidae,Alytes,cisternasii,Alytidae,Alytes,cisternasii,Alytidae,Alytes,cisternasii,larva,15,B,N given,38.2,NA,Y,4,4,0.70,20,,1.0,12:12,S,Onset of spasms,NA,1756,3.24,Iberian Peninsula,Subtropical,37.379,1.573,37.379,-2.858,Field,NA,2012,Duarte et al. 2012,"Duarte, H., M. Tejedo, M. Katzenberger, F. Marangoni, D. Baldo, J. F. Beltrán, D. A. Martí, A. Richter-Boix, and A. Gonzalez-Voyer. 2012. Can amphibians take the heat? Vulnerability to climate warming in subtropical and temperate larval amphibian communities. Global Change Biology 18:412-421.",166791,5.22,Not introduced,100,1300,33,1.52,Aquatic & terrestrial,0.030292917,28.8,Threatened,1
38,Anura,Alytidae,Alytes,dickhilleni,Alytidae,Alytes,dickhilleni,Alytidae,Alytes,dickhilleni,larva,15,B,N given,37.6,NA,Y,4,4,0.70,20,,1.0,12:12,S,Onset of spasms,NA,1756,3.24,Iberian Peninsula,Subtropical,37.379,1.573,37.379,-2.858,Field,NA,2012,Duarte et al. 2012,"Duarte, H., M. Tejedo, M. Katzenberger, F. Marangoni, D. Baldo, J. F. Beltrán, D. A. Martí, A. Richter-Boix, and A. Gonzalez-Voyer. 2012. Can amphibians take the heat? Vulnerability to climate warming in subtropical and temperate larval amphibian communities. Global Change Biology 18:412-421.",30769,4.49,Not introduced,700,2140,55,1.74,Aquatic & terrestrial,0.030292917,28.8,Threatened,1
39,Anura,Alytidae,Alytes,muletensis,Alytidae,Alytes,muletensis,Alytidae,Alytes,muletensis,larva,15,B,N given,38.2,NA,Y,4,4,0.70,20,,1.0,12:12,S,Onset of spasms,NA,1756,3.24,Iberian Peninsula,Subtropical,37.379,1.573,37.379,-2.858,Field,NA,2012,Duarte et al. 2012,"Duarte, H., M. Tejedo, M. Katzenberger, F. Marangoni, D. Baldo, J. F. Beltrán, D. A. Martí, A. Richter-Boix, and A. Gonzalez-Voyer. 2012. Can amphibians take the heat? Vulnerability to climate warming in subtropical and temperate larval amphibian communities. Global Change Biology 18:412-421.",366,2.56,Not introduced,10,850,33,1.52,Aquatic & terrestrial,0.030292917,28.8,Threatened,1
775,Caudata,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,larva,15,B,N given,33.6,NA,Y,4,4,0.70,2,,1.0,24:0,L,Loss of righting response,NA,689,2.84,"Buffalo County, Nebraska",Temperate,40.841,1.611,40.841,-99.101,Field,NA,1980,Nietfeldt et al. 1980,"Nietfeldt, J. W., S. M. Jones, D. L. Droge, and R. E. Ballinger. 1980. Rate of thermal acclimation in larval Ambystoma tigrinum. Journal of Herpetology 14:209-211.",4317635,6.64,Not introduced,0,3660,265,2.42,Aquatic & terrestrial,0.021618647,31,Not threatened,0
771,Caudata,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,Ambystomatidae,Ambystoma,tigrinum,larva,15,B,N given,38.5,NA,Y,4,4,0.70,28,,1.0,24:0,L,Loss of righting response,NA,689,2.84,"Buffalo County, Nebraska",Temperate,40.841,1.611,40.841,-99.101,Field,NA,1980,Nietfeldt et al. 1980,"Nietfeldt, J. W., S. M. Jones, D. L. Droge, and R. E. Ballinger. 1980. Rate of thermal acclimation in larval Ambystoma tigrinum. Journal of Herpetology 14:209-211.",4317635,6.64,Not introduced,0,3660,265,2.42,Aquatic & terrestrial,0.021618647,31,Not threatened,0
497,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,38.7,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 44,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
498,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,39.2,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 46,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
496,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,40.0,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 43,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
490,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,40.2,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 29,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
492,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,40.3,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 36,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
493,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,40.4,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 39,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
494,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,40.6,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 41,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
495,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,40.6,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 42,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
491,Anura,Bufonidae,Bufo,americanus,Bufonidae,Bufo,americanus,Bufonidae,Anaxyrus,americanus,larva,10,B,N given,40.6,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 32,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",5638611,6.75,Not introduced,NA,NA,113,2.05,Terrestrial,0.01137455,32,Not threatened,0
519,Anura,Bufonidae,Bufo,woodhousii,Bufonidae,Bufo,woodhousii,Bufonidae,Anaxyrus,woodhousii,larva,8,A,N given,39.1,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 43,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3240610,6.51,Not introduced,NA,NA,87,1.94,Terrestrial,0.01137455,32,Not threatened,0
518,Anura,Bufonidae,Bufo,woodhousii,Bufonidae,Bufo,woodhousii,Bufonidae,Anaxyrus,woodhousii,larva,9,A,N given,39.3,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 42,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3240610,6.51,Not introduced,NA,NA,87,1.94,Terrestrial,0.01137455,32,Not threatened,0
517,Anura,Bufonidae,Bufo,woodhousii,Bufonidae,Bufo,woodhousii,Bufonidae,Anaxyrus,woodhousii,larva,6,A,N given,39.9,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 41,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3240610,6.51,Not introduced,NA,NA,87,1.94,Terrestrial,0.01137455,32,Not threatened,0
516,Anura,Bufonidae,Bufo,woodhousii,Bufonidae,Bufo,woodhousii,Bufonidae,Anaxyrus,woodhousii,larva,8,A,N given,40.0,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 39,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3240610,6.51,Not introduced,NA,NA,87,1.94,Terrestrial,0.01137455,32,Not threatened,0
515,Anura,Bufonidae,Bufo,woodhousii,Bufonidae,Bufo,woodhousii,Bufonidae,Anaxyrus,woodhousii,larva,8,A,N given,40.0,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 36,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3240610,6.51,Not introduced,NA,NA,87,1.94,Terrestrial,0.01137455,32,Not threatened,0
526,Anura,Bufonidae,Bufo,woodhousii,Bufonidae,Bufo,woodhousii,Bufonidae,Anaxyrus,woodhousii,larva,10,B,N given,40.1,NA,Y,4,4,0.70,20,,0.7,12:12,L,Motionless and no longer responded to mechanical stimulation with forceps,NA,213,2.33,"Clemson, South Carolina",Subtropical,34.683,1.540,34.683,-82.837,Field,Gosner stage 43,1980,Cupp 1980,"Cupp, P. V. 1980. Thermal tolerance of five salientian amphibians during development and metamorphosis. Herpetologica 36:234-244.",3240610,6.51,Not introduced,NA,NA,87,1.94,Terrestrial,0.01137455,32,Not threatened,0
