Family,Species,Location,Latitude,Longitude,Sampling Habitat,Acclimation,Temperature of acclimation (°C),Length acclimation period (days),Rate acclimation (°C/day),Methodology,Endpoint,Heating rate (°C/min),Length experiment (min),Body length (mm),Weight (g),Life stage,Thermal limit (°C),SD Thermal limit,Nindividuals,Phylogeny,Realm affinity,Source,Reference
Achiridae,Achirus mazatlanus,Gulf of California near Puerto Penasco Sonora Mexico,31.29,-113.54,Marine,collection,24.10,NA,NA,dynamic,LOE,0.5000,NA,NA,NA,NA,42.20,0.09,10,no,Marine,Heath 1967,88
Achiridae,Achirus mazatlanus,Gulf of California near Puerto Penasco Sonora Mexico,31.29,-113.54,Marine,experimental,30.00,10,NA,dynamic,LOE,0.5000,NA,NA,NA,NA,42.30,0.13,7,no,Marine,Heath 1967,88
Achiridae,Achirus mazatlanus,Gulf of California near Puerto Penasco Sonora Mexico,31.29,-113.54,Marine,experimental,35.00,10,NA,dynamic,LOE,0.5000,NA,NA,NA,NA,42.80,0.40,11,no,Marine,Heath 1967,88
Acipenseridae,Acipenser baerii,Rybinsk Water Reservoir Russia,58.44,38.42,Freshwater,experimental,22.00,14,NA,dynamic,death,0.0014,NA,NA,NA,juveniles,33.00,NA,NA,yes,Freshwater,Golovanov 2013,78
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.30,-66.13,Freshwater,experimental,10.00,NA,NA,dynamic,LOE,0.1000,NA,NA,NA,NA,27.60,0.35,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.30,-66.13,Freshwater,experimental,15.00,NA,NA,dynamic,LOE,0.1000,NA,NA,NA,NA,31.50,0.91,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Carter's Point Kingston New Brunswick Canada,45.30,-66.13,Freshwater,experimental,20.00,NA,NA,dynamic,LOE,0.1000,NA,NA,NA,NA,32.80,1.17,8,yes,Freshwater,Zhang & Kieffer 2014,218
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,19.50,7,NA,dynamic,LOE,0.1000,NA,135.00,10.70,juveniles,33.70,1.62,29,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,24.10,7,NA,dynamic,LOE,0.1000,NA,135.00,10.70,juveniles,35.10,1.13,32,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,19.50,7,NA,dynamic,death,0.1000,NA,135.00,10.70,juveniles,34.80,0.57,32,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser brevirostrum,Warm Springs Georgia US,32.89,-84.67,Freshwater,experimental,24.10,7,NA,dynamic,death,0.1000,NA,135.00,10.70,juveniles,36.10,0.57,32,yes,Freshwater,Ziegeweid et al. 2008,219
Acipenseridae,Acipenser medirostris,University of California Davis US,38.54,-121.76,Freshwater,experimental,18.00,7,NA,dynamic,death,0.3000,NA,NA,NA,NA,34.20,0.22,6,yes,Freshwater,Sardella et al. 2008,169
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,13.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,39.93,0.72,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,15.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,40.92,0.51,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,20.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,40.53,0.51,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,25.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,42.54,0.85,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,28.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,42.56,1.27,18,no,Freshwater,Li et al. 2015,114
Adrianichthyidae,Oryzias melastigma,University of Hong Kong,22.28,114.14,Marine,experimental,32.00,7,24,dynamic,LOE,0.3000,NA,NA,NA,NA,42.82,1.65,18,no,Freshwater,Li et al. 2015,114
Albulidae,Albula vulpes,Island of Eleuthera Bahamas,24.51,-76.22,Marine,experimental,27.30,NA,NA,dynamic,LOE,0.2000,NA,428.00,NA,NA,36.40,0.50,10,yes,Marine,Murchie et al. 2011,141
Albulidae,Albula vulpes,Island of Eleuthera Bahamas,24.51,-76.22,Marine,experimental,30.20,NA,NA,dynamic,LOE,0.2000,NA,455.00,NA,NA,37.90,0.50,10,yes,Marine,Murchie et al. 2011,141
Ambassidae,Ambassis agrammus,Northern Australia,-12.83,132.86,Freshwater,experimental,28.00,14,NA,dynamic,LOE,0.1400,NA,55.00,NA,NA,37.80,3.20,3,yes,Freshwater,Burrows & Butler 2012,30
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,20.00,7,NA,static,death,NA,1440.00,NA,NA,NA,35.49,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,25.00,7,NA,static,death,NA,1440.00,NA,NA,NA,36.47,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,28.00,7,NA,static,death,NA,1440.00,NA,NA,NA,37.02,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,30.00,7,NA,static,death,NA,1440.00,NA,NA,NA,37.54,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,Vellar Brackish India,11.49,79.76,Brackish,experimental,35.00,7,NA,static,death,NA,1440.00,NA,NA,NA,38.54,NA,NA,yes,Freshwater,Rajaguru & Ramachandran 2001,159
Ambassidae,Ambassis ambassis,South Africa,-30.86,25.14,Freshwater,experimental,24.00,14,NA,static,death,NA,7080.00,NA,NA,NA,36.50,NA,10,yes,Freshwater,Martin 1988,125
Ambassidae,Ambassis ambassis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,dynamic,OS,1.0000,NA,NA,NA,NA,40.50,NA,10,yes,Freshwater,Rajaguru 2002,160
Ambassidae,Ambassis ambassis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,38.50,NA,10,yes,Freshwater,Rajaguru 2002,160
Ambassidae,Ambassis ambassis,Vellar Brackish Tamil Nadu India,11.49,79.77,Brackish,experimental,28.00,NA,NA,static,death,NA,1440.00,NA,NA,NA,37.02,0.13,10,yes,Freshwater,Rajaguru 2002,160
Ambassidae,Ambassis gymnocephalus,South Africa,-30.86,25.14,Freshwater,experimental,24.00,14,NA,static,death,NA,7080.00,NA,NA,NA,36.50,NA,10,no,Freshwater,Martin 1988,125
Ambassidae,Ambassis kopsii,Coastal area Bang Pra Cholburi Province Thailand,13.21,100.93,Marine,experimental,22.80,10,NA,dynamic,LOE,0.2500,NA,NA,NA,NA,38.20,NA,NA,no,Marine,Menasveta 1981,133
Ambassidae,Ambassis kopsii,Coastal area Bang Pra Cholburi Province Thailand,13.21,100.93,Marine,experimental,26.00,10,NA,dynamic,LOE,0.2500,NA,NA,NA,NA,39.00,NA,NA,no,Marine,Menasveta 1981,133
Ambassidae,Ambassis kopsii,Coastal area Bang Pra Cholburi Province Thailand,13.21,100.93,Marine,experimental,26.00,10,NA,static,death,NA,1440.00,NA,NA,NA,34.50,NA,NA,no,Marine,Menasveta 1981,133
Ambassidae,Ambassis natalensis,South Africa,-30.86,25.14,Freshwater,experimental,24.00,14,NA,static,death,NA,7080.00,NA,NA,NA,37.50,NA,10,no,Freshwater,Martin 1988,125
Amiidae,Amia calva,Lake Erie,42.08,-81.34,Freshwater,collection,23.80,NA,NA,dynamic,LOE,NA,NA,NA,NA,NA,37.00,NA,NA,yes,Freshwater,Wismer & Christie 1987,211
Anabantidae,Anabas testudineus,Mumbai India,19.11,72.88,Freshwater,experimental,25.00,15,NA,dynamic,LOE,0.3000,NA,NA,17.03,NA,40.15,0.13,5,yes,Freshwater,Sarma et al. 2008,170
Anabantidae,Anabas testudineus,Mumbai India,19.11,72.88,Freshwater,experimental,30.00,15,NA,dynamic,LOE,0.3000,NA,NA,17.03,NA,41.40,0.38,5,yes,Freshwater,Sarma et al. 2008,170
Anabantidae,Anabas testudineus,Mumbai India,19.11,72.88,Freshwater,experimental,35.00,15,NA,dynamic,LOE,0.3000,NA,NA,17.03,NA,41.88,0.09,5,yes,Freshwater,Sarma et al. 2008,170
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15.00,1,NA,static,death,NA,5760.00,NA,NA,fingerlings,35.70,NA,15,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15.00,1,NA,static,death,NA,5760.00,NA,NA,adults,39.70,NA,15,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15.00,NA,NA,static,death,NA,NA,NA,NA,fingerlings,28.00,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,12.00,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,35.90,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,20.00,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,35.90,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,21.50,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,36.00,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,22.00,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,36.30,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,25.00,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,37.30,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Northern New Zealand,-35.15,173.68,Freshwater,experimental,28.00,NA,NA,dynamic,death,NA,NA,NA,NA,fingerlings,38.10,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla australis australis,Lower Waikato River New Zealand,-37.27,174.87,Freshwater,experimental,12.00,7,2,dynamic,LOE,0.5000,NA,58-108,NA,NA,33.40,1.00,13,yes,Freshwater,Simons 1984,180
Anguillidae,Anguilla australis australis,Lower Waikato River New Zealand,-37.27,174.87,Freshwater,experimental,20.00,7,2,dynamic,LOE,0.5000,NA,67-128,NA,NA,35.60,1.53,16,yes,Freshwater,Simons 1984,180
Anguillidae,Anguilla australis australis,Lower Waikato River New Zealand,-37.27,174.87,Freshwater,experimental,21.50,7,2,dynamic,LOE,0.5000,NA,62-88,NA,NA,36.00,0.62,12,yes,Freshwater,Simons 1984,180
Anguillidae,Anguilla dieffenbachii,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15.00,1,NA,static,death,NA,5760.00,NA,NA,fingerlings,34.80,NA,15,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla dieffenbachii,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15.00,1,NA,static,death,NA,5760.00,NA,NA,adults,37.30,NA,15,yes,Freshwater,Richardson et al. 1994,166
Anguillidae,Anguilla dieffenbachii,Northern New Zealand,-35.15,173.68,Freshwater,experimental,15.00,NA,NA,static,death,NA,NA,NA,NA,fingerlings,25.00,NA,NA,yes,Freshwater,Richardson et al. 1994,166
Apogonidae,Apogon dovii,Gorgona Island national park Columbia,2.97,7.18,Marine,experimental,26.50,1,NA,dynamic,LOE,0.0200,NA,29.00,NA,NA,37.04,0.34,28,no,Marine,Mora & Ospína 2001,137
Apogonidae,Apogon dovii,Gorgona Island reefs Columbia,2.99,-78.20,Marine,experimental,26.50,1,NA,dynamic,death,0.0200,NA,29.30,NA,NA,36.43,0.76,27,no,Marine,Ospína & Mora 2004,146
Apogonidae,Apogon dovii,Pacific ocean Panama,7.33,-80.21,Marine,collection,28.00,NA,NA,dynamic,death,0.0383,NA,NA,NA,NA,37.23,0.88,12,no,Marine,Graham 1971,80
Apogonidae,Apogon maculatus,Atlantic Panama,9.66,-79.34,Marine,collection,28.00,NA,NA,dynamic,death,0.0383,NA,NA,NA,NA,37.61,0.42,10,yes,Marine,Graham 1971,80
Apogonidae,Apogon pacificus,Gorgona Island national park Columbia,2.97,7.18,Marine,experimental,26.50,1,NA,dynamic,LOE,0.0200,NA,37.00,NA,NA,40.52,0.58,37,yes,Marine,Mora & Ospína 2001,137
Apogonidae,Apogon pacificus,Gorgona Island reefs Columbia,2.99,-78.20,Marine,experimental,26.50,1,NA,dynamic,death,0.0200,NA,37.54,NA,NA,34.65,0.39,34,yes,Marine,Ospína & Mora 2004,146
Apogonidae,Nectamia savayensis,Hoga Island Indonesia,-5.47,123.76,Marine,collection,27.76,NA,NA,dynamic,LOE,NA,NA,NA,NA,NA,39.40,1.17,16,no,Marine,Clifton et al. 2010,43
Apogonidae,Ostorhinchus aureus,Coastal area Bang Pra Cholburi Province Thailand,13.21,100.93,Marine,experimental,23.00,10,NA,dynamic,LOE,0.2500,NA,NA,NA,NA,37.50,NA,NA,yes,Marine,Menasveta 1981,133
Apogonidae,Ostorhinchus aureus,Coastal area Bang Pra Cholburi Province Thailand,13.21,100.93,Marine,experimental,25.00,10,NA,dynamic,LOE,0.2500,NA,NA,NA,NA,38.40,NA,NA,yes,Marine,Menasveta 1981,133
Apogonidae,Ostorhinchus aureus,Coastal area Bang Pra Cholburi Province Thailand,13.21,100.93,Marine,experimental,27.30,10,NA,dynamic,LOE,0.2500,NA,NA,NA,NA,39.30,NA,NA,yes,Marine,Menasveta 1981,133
Apogonidae,Ostorhinchus aureus,Coastal area Bang Pra Cholburi Province Thailand,13.21,100.93,Marine,experimental,23.00,10,NA,static,death,NA,1440.00,NA,NA,NA,32.00,NA,NA,yes,Marine,Menasveta 1981,133
Apogonidae,Ostorhinchus aureus,Coastal area Bang Pra Cholburi Province Thailand,13.21,100.93,Marine,experimental,27.30,10,NA,static,death,NA,1440.00,NA,NA,NA,35.50,NA,NA,yes,Marine,Menasveta 1981,133
Apogonidae,Ostorhinchus novemfasciatus,Hoga Island Indonesia,-5.47,123.76,Marine,experimental,17.00,14,1.5,dynamic,LOE,0.3100,NA,26.50,0.42,NA,34.80,NA,5,no,Marine,Clifton et al. 2010,43
Apogonidae,Ostorhinchus novemfasciatus,Hoga Island Indonesia,-5.47,123.76,Marine,experimental,18.00,14,1.5,dynamic,LOE,0.3100,NA,26.50,0.42,NA,35.10,NA,5,no,Marine,Clifton et al. 2010,43
Apogonidae,Ostorhinchus novemfasciatus,Hoga Island Indonesia,-5.47,123.76,Marine,experimental,21.00,14,1.5,dynamic,LOE,0.3100,NA,26.50,0.42,NA,35.20,NA,5,no,Marine,Clifton et al. 2010,43
Apogonidae,Ostorhinchus novemfasciatus,Hoga Island Indonesia,-5.47,123.76,Marine,experimental,26.00,14,1.5,dynamic,LOE,0.3100,NA,26.50,0.42,NA,38.00,NA,5,no,Marine,Clifton et al. 2010,43
Apogonidae,Ostorhinchus novemfasciatus,Hoga Island Indonesia,-5.47,123.76,Marine,experimental,30.00,14,1.5,dynamic,LOE,0.3100,NA,26.50,0.42,NA,39.00,NA,5,no,Marine,Clifton et al. 2010,43
Apogonidae,Ostorhinchus novemfasciatus,Hoga Island Indonesia,-5.47,123.76,Marine,experimental,32.00,14,1.5,dynamic,LOE,0.3100,NA,26.50,0.42,NA,40.10,NA,5,no,Marine,Clifton et al. 2010,43
Apogonidae,Ostorhinchus novemfasciatus,Hoga Island Indonesia,-5.47,123.76,Marine,experimental,33.00,14,1.5,dynamic,LOE,0.3100,NA,26.50,0.42,NA,40.90,NA,5,no,Marine,Clifton et al. 2010,43
Atherinidae,Craterocephalus stercusmuscarum,Northern Australia,-12.83,132.86,Freshwater,experimental,28.00,14,NA,dynamic,LOE,0.1400,NA,40.00,NA,NA,39.60,0.50,24,yes,Freshwater,Burrows & Butler 2012,30
Atherinidae,Craterocephalus stercusmuscarum,Northern Australia,-12.83,132.86,Freshwater,experimental,28.00,6,NA,dynamic,LOE,0.1400,NA,50.00,NA,NA,37.50,1.60,19,yes,Freshwater,Burrows & Butler 2012,30
Atherinidae,Craterocephalus stercusmuscarum,Northern Australia,-12.83,132.86,Freshwater,collection,28.00,NA,NA,dynamic,LOE,0.1400,NA,34.00,NA,NA,38.80,1.40,3,yes,Freshwater,Burrows & Butler 2012,30
Atherinidae,Craterocephalus stercusmuscarum,Northern Australia,-12.83,132.86,Freshwater,experimental,20.00,14,NA,dynamic,LOE,0.1400,NA,36.00,NA,NA,36.80,0.00,2,yes,Freshwater,Burrows & Butler 2012,30
Atherinopsidae,Atherinops affinis,NA,31.80,-114.00,Brackish,NA,25.50,NA,NA,static,death,NA,NA,NA,NA,NA,31.10,NA,NA,yes,Freshwater,Pörtner & Peck 2010,157
Atherinopsidae,Labidesthes sicculus,NA,37.23,-87.23,Freshwater,experimental,26.00,NA,NA,dynamic,LOE,0.0170,NA,NA,NA,NA,36.00,0.44,8,yes,Freshwater,Beitinger et al. 2000,12
Atherinopsidae,Leuresthes sardina,Hermosa Beach California US,33.86,-118.41,Marine,experimental,22.00,30,NA,static,death,NA,30.00,NA,NA,fingerlings,32.98,NA,10,no,Marine,Reynolds et al. 1976,165
Atherinopsidae,Leuresthes sardina,Hermosa Beach California US,33.86,-118.41,Marine,experimental,30.00,30,NA,static,death,NA,30.00,NA,NA,fingerlings,36.93,NA,10,no,Marine,Reynolds et al. 1976,165
Atherinopsidae,Leuresthes tenuis,Hermosa Beach California US,33.86,-118.41,Marine,experimental,18.00,NA,NA,static,death,NA,30.00,NA,NA,larvae,39.31,NA,10,yes,Marine,Reynolds et al. 1976,165
Atherinopsidae,Leuresthes tenuis,Hermosa Beach California US,33.86,-118.41,Marine,experimental,26.00,NA,NA,static,death,NA,30.00,NA,NA,larvae,39.31,NA,10,yes,Marine,Reynolds et al. 1976,165
Atherinopsidae,Leuresthes tenuis,Hermosa Beach California US,33.86,-118.41,Marine,experimental,20.00,20,NA,static,death,NA,30.00,NA,NA,fry,32.48,NA,10,yes,Marine,Reynolds et al. 1976,165
Atherinopsidae,Leuresthes tenuis,Hermosa Beach California US,33.86,-118.41,Marine,experimental,25.00,20,NA,static,death,NA,30.00,NA,NA,fry,36.36,NA,10,yes,Marine,Reynolds et al. 1976,165
Atherinopsidae,Leuresthes tenuis,Hermosa Beach California US,33.86,-118.41,Marine,experimental,30.00,20,NA,static,death,NA,30.00,NA,NA,fry,36.56,NA,10,yes,Marine,Reynolds et al. 1976,165
Atherinopsidae,Menidia beryllina,Central Oklahoma US,35.66,-97.47,Freshwater,experimental,10.00,14,NA,dynamic,OS,1.0000,NA,NA,NA,NA,31.59,1.84,20,no,Freshwater,Lutterschmidt & Hutchinson 1997,118
Atherinopsidae,Menidia beryllina,Central Oklahoma US,35.66,-97.47,Freshwater,experimental,10.00,14,NA,dynamic,LOE,1.0000,NA,NA,NA,NA,29.24,1.92,20,no,Freshwater,Lutterschmidt & Hutchinson 1997,118
Atherinopsidae,Odontesthes bonariensis,NA,-27.00,-64.00,Freshwater,experimental,20.40,NA,NA,dynamic,death,0.2700,NA,49.40,NA,NA,35.38,NA,5,no,Freshwater,Ortubay et al. 1997,145
Bagridae,Horabagrus brachysoma,Aquatic world Mumbai India,19.04,72.84,Freshwater,experimental,15.00,30,1,dynamic,LOE,0.3000,NA,NA,23.01,NA,34.86,0.22,6,no,Freshwater,Dalvi et al. 2009,51
Bagridae,Horabagrus brachysoma,Aquatic world Mumbai India,19.04,72.84,Freshwater,experimental,20.00,30,1,dynamic,LOE,0.3000,NA,NA,23.01,NA,38.05,0.15,6,no,Freshwater,Dalvi et al. 2009,51
Bagridae,Horabagrus brachysoma,Aquatic world Mumbai India,19.04,72.84,Freshwater,experimental,26.00,30,1,dynamic,LOE,0.3000,NA,NA,23.01,NA,40.23,0.29,6,no,Freshwater,Dalvi et al. 2009,51
Bagridae,Horabagrus brachysoma,Aquatic world Mumbai India,19.04,72.84,Freshwater,experimental,31.00,30,1,dynamic,LOE,0.3000,NA,NA,23.01,NA,41.79,0.22,6,no,Freshwater,Dalvi et al. 2009,51
Bagridae,Horabagrus brachysoma,Aquatic world Mumbai India,19.04,72.84,Freshwater,experimental,33.00,30,1,dynamic,LOE,0.3000,NA,NA,23.01,NA,42.44,0.12,6,no,Freshwater,Dalvi et al. 2009,51
Bagridae,Horabagrus brachysoma,Aquatic world Mumbai India,19.04,72.84,Freshwater,experimental,36.00,30,1,dynamic,LOE,0.3000,NA,NA,23.01,NA,42.79,0.05,6,no,Freshwater,Dalvi et al. 2009,51
Bagridae,Pseudobagrus vachellii,Three Gorges Reservoir China,30.83,111.01,Freshwater,experimental,5.00,NA,NA,dynamic,LOE,0.0200,NA,NA,NA,juveniles,30.02,NA,NA,yes,Freshwater,Song 2009,183
Bagridae,Pseudobagrus vachellii,Three Gorges Reservoir China,30.83,111.01,Freshwater,experimental,35.00,NA,NA,dynamic,LOE,0.0200,NA,NA,NA,juveniles,40.68,NA,NA,yes,Freshwater,Song 2009,183
Bagridae,Pseudobagrus vachellii,Three Gorges Reservoir China,30.83,111.01,Freshwater,experimental,5.00,NA,NA,dynamic,death,0.0200,NA,NA,NA,juveniles,30.43,NA,NA,yes,Freshwater,Song 2009,183
Bagridae,Pseudobagrus vachellii,Three Gorges Reservoir China,30.83,111.01,Freshwater,experimental,35.00,NA,NA,dynamic,death,0.0200,NA,NA,NA,juveniles,40.89,NA,NA,yes,Freshwater,Song 2009,183
Blenniidae,Coryphoblennius galerita,Portuguese West coast,38.71,-9.49,Marine,experimental,20.00,7,NA,dynamic,LOE,0.0200,NA,77.80,NA,NA,32.00,0.10,6,yes,Marine,Vinagre et al. 2013,204
Blenniidae,Hypsoblennius gilberti,Dike Rock La Jolla California US,32.85,-117.28,Marine,experimental,11.00,21,NA,static,death,NA,4320.00,NA,NA,NA,27.50,NA,NA,no,Marine,Graham 1970,79
Blenniidae,Hypsoblennius gilberti,Dike Rock La Jolla California US,32.85,-117.28,Marine,experimental,15.00,21,NA,static,death,NA,4320.00,NA,NA,NA,29.47,NA,NA,no,Marine,Graham 1970,79
Blenniidae,Hypsoblennius gilberti,Dike Rock La Jolla California US,32.85,-117.28,Marine,experimental,17.00,21,NA,static,death,NA,4320.00,NA,NA,NA,29.71,NA,NA,no,Marine,Graham 1970,79
Blenniidae,Hypsoblennius gilberti,Dike Rock La Jolla California US,32.85,-117.28,Marine,experimental,23.00,21,NA,static,death,NA,4320.00,NA,NA,NA,29.69,NA,NA,no,Marine,Graham 1970,79
Blenniidae,Hypsoblennius gilberti,Dike Rock La Jolla California US,32.85,-117.28,Marine,experimental,11.00,21,NA,static,death,NA,4320.00,NA,NA,NA,27.89,NA,NA,no,Marine,Graham 1970,79
Blenniidae,Hypsoblennius gilberti,Dike Rock La Jolla California US,32.85,-117.28,Marine,experimental,15.00,21,NA,static,death,NA,4320.00,NA,NA,NA,28.65,NA,NA,no,Marine,Graham 1970,79
Blenniidae,Hypsoblennius gilberti,Dike Rock La Jolla California US,32.85,-117.28,Marine,experimental,17.00,21,NA,static,death,NA,4320.00,NA,NA,NA,29.03,NA,NA,no,Marine,Graham 1970,79
Blenniidae,Hypsoblennius gilberti,Dike Rock La Jolla California US,32.85,-117.28,Marine,experimental,23.00,21,NA,static,death,NA,4320.00,NA,NA,NA,30.40,NA,NA,no,Marine,Graham 1970,79
Blenniidae,Lipophrys pholis,Portuguese West coast,38.71,-9.49,Marine,experimental,20.00,7,NA,dynamic,LOE,0.0200,NA,79.50,NA,NA,33.90,0.40,12,yes,Marine,Vinagre et al. 2013,204
Blenniidae,Lipophrys pholis,Port Erin Isle of Man,54.09,-4.76,Marine,experimental,10.00,30,NA,dynamic,death,0.0700,NA,NA,NA,NA,32.50,NA,10,yes,Marine,Campbell & Davies 1975,31
Blenniidae,Lipophrys pholis,Port Erin Isle of Man,54.09,-4.76,Marine,experimental,20.00,30,NA,dynamic,death,0.0700,NA,NA,NA,NA,35.10,NA,10,yes,Marine,Campbell & Davies 1975,31
Blenniidae,Lipophrys trigloides,Tagus Brackish Portugal,38.82,-9.00,Brackish,experimental,24.00,14,NA,dynamic,LOE,0.0200,NA,67.33,NA,NA,34.00,0.49,9,yes,Marine,Madeira et al. 2012,119
Blenniidae,Lipophrys trigloides,Portuguese West coast,38.71,-9.49,Marine,experimental,20.00,7,NA,dynamic,LOE,0.0200,NA,65.30,NA,NA,35.00,0.20,4,yes,Marine,Vinagre et al. 2013,204
Blenniidae,Paralticus amboinensis,Hoga Island Indonesia,-5.47,123.76,Marine,collection,27.76,NA,NA,dynamic,LOE,NA,NA,NA,NA,NA,40.70,0.52,15,no,Marine,Clifton et al. 2010,43
Blenniidae,Plagiotremus azaleus,Gorgona Island national park Columbia,2.97,7.18,Marine,experimental,26.50,1,NA,dynamic,LOE,0.0200,NA,40.00,NA,NA,38.04,0.21,42,no,Marine,Mora & Ospína 2001,137
Bothidae,Bothus pantherinus,Hoga Island Indonesia,-5.47,123.76,Marine,collection,27.76,NA,NA,dynamic,LOE,NA,NA,NA,NA,NA,38.50,0.62,15,no,Marine,Clifton et al. 2010,43
Bovichtidae,Bovichtus variegatus,Mouth Bull creek Otago Peninsula,-45.88,170.62,Marine,experimental,7.90,7,NA,dynamic,LOE,0.3000,NA,NA,87.90,NA,26.80,0.37,4,yes,Marine,Bilyk & DeVries 2012,19
Bovichtidae,Bovichtus variegatus,Mouth Bull creek Otago Peninsula,-45.88,170.62,Marine,experimental,15.00,21,NA,dynamic,LOE,0.3000,NA,NA,87.90,NA,28.45,0.28,4,yes,Marine,Bilyk & DeVries 2012,19
Callichthyidae,Callichthys callichthys,NA,-9.11,-59.05,Freshwater,experimental,21.90,NA,NA,dynamic,death,0.2950,NA,92.40,NA,NA,38.67,NA,5,yes,Freshwater,Ortubay et al. 1997,145
Callichthyidae,Corydoras ehrhardti,Rio Piraquara Brazil,-25.30,-49.10,Freshwater,experimental,20.00,NA,NA,dynamic,LOE,0.0900,NA,48.00,NA,NA,34.24,0.09,3,yes,Freshwater,Neto 2010,143
Callichthyidae,Corydoras ehrhardti,Rio Piraquara Brazil,-25.30,-49.10,Freshwater,experimental,25.00,NA,NA,dynamic,LOE,0.0900,NA,48.00,NA,NA,34.63,0.11,3,yes,Freshwater,Neto 2010,143
Callichthyidae,Corydoras ehrhardti,Rio Piraquara Brazil,-25.30,-49.10,Freshwater,experimental,30.00,NA,NA,dynamic,LOE,0.0900,NA,48.00,NA,NA,35.20,0.12,3,yes,Freshwater,Neto 2010,143
