"Data for CTMax analyses (Fig. 6 & 7, S10, Table S16)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Order,Family,Genus3,Species3,Average of Safety,Average of Elevation,Log Average of Elevation,Average of Abs lat,Log Range,log SVL,Average of tmxslope,IUCN 2014risk,Average of Abs lat/10,log SVLx10,Average of tmxslope/100,Average of Safety/10,Average of ARR,LogARR,Log(ARR+1),Exclude Negative ARRs,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,fowleri,10.4863991,375.2,2.57426283,42,6.299131678,1.740362689,0.026780712,0,4.2,17.40362689,2.678071228,1.04863991,0.155555556,-0.808114474,0.06279083,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,nelsoni,0.5089069,1524,3.182984967,36.908557,3.424718337,1.763427994,0.025156863,1,3.6908557,17.63427994,2.515686275,0.05089069,0.036,-1.443697499,0.015359755,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,terrestris,,128,2.10720997,33.322765,5.737276948,1.939519253,0.004402961,0,3.3322765,19.39519253,0.440296118,,0.263235,-0.579656367,0.10148415,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Anaxyrus,woodhousii,13.39463158,174.972973,2.242970971,36.0075073,6.510626768,1.939519253,0.015684339,0,3.60075073,19.39519253,1.56843386,1.339463158,0.078442375,-1.105449266,0.032796944,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Aneides,aeneus,7.111095,701,2.845718018,37.432664,5.24232025,1.892094603,0.012297319,1,3.7432664,18.92094603,1.229731893,0.7111095,,,,,,,,,,,,,,,,,,,,,,
Caudata,Plethodontidae,Aneides,ferreus,7.0779111,1411,3.149527014,41.966419,5.079608092,1.892094603,0.002942377,1,4.1966419,18.92094603,0.294237695,0.70779111,,,,,,,,,,,,,,,,,,,,,,
Anura,Ascaphidae,Ascaphus,truei,4.078807067,1280.5,3.107379583,45.69780575,5.482091435,1.51851394,0.017172269,0,4.569780575,15.1851394,1.717226891,0.407880707,0.1,-1,0.041392685,,,,,,,,,,,,,,,,,,,
Anura,Myobatrachidae,Assa,darlingtoni,4.0183098,761.9628162,2.881933778,28.241961,4.556688369,1.51851394,0.013794318,0,2.8241961,15.1851394,1.379431773,0.40183098,,,,,,,,,,,,,,,,,,,,,,
Caudata,Hynobiidae,Batrachuperus,tibetanus,3.8650763,1500,3.176091259,34.166667,5.399459117,1.892094603,0.026020408,1,3.4166667,18.92094603,2.602040816,0.38650763,,,,,,,,,,,,,,,,,,,,,,
Caudata,Hynobiidae,Batrachuperus,yenyuanensis,9.3309462,1600,3.204119983,28.683333,4.201915783,1.892094603,0.020388956,1,2.8683333,18.92094603,2.038895558,0.93309462,,,,,,,,,,,,,,,,,,,,,,
Anura,Bombinatoridae,Bombina,variegata,14.9967169,519,2.715167358,46.038889,6.153397131,1.740362689,0.023251301,0,4.6038889,17.40362689,2.325130052,1.49967169,,,,,,,,,,,,,,,,,,,,,,
Anura,Strabomantidae,Bryophryne,cophites,-2.4690538,3453,3.538196578,11.1833,2.42975228,1.51851394,0.007073629,1,1.11833,15.1851394,0.707362945,-0.24690538,,,,,,,,,,,,,,,,,,,,,,
Anura,Strabomantidae,Bryophryne,hanssaueri,-5.3690538,3347,3.524655712,11.1833,1.462397998,1.278753601,0.007073629,0,1.11833,12.78753601,0.707362945,-0.53690538,,,,,,,,,,,,,,,,,,,,,,
Anura,Strabomantidae,Bryophryne,nubilosus,-5.3690538,2860,3.456366033,11.1833,0.477121255,1.255272505,0.007073629,0,1.11833,12.55272505,0.707362945,-0.53690538,,,,,,,,,,,,,,,,,,,,,,
Anura,Rhacophoridae,Buergeria,japonica,,482.2222222,2.68324722,24.10685211,4.443826031,1.51851394,0.019772398,0,2.410685211,15.1851394,1.977239785,,0.080472611,-1.094351907,0.033613762,,,,,,,,,,,,,,,,,,,
Anura,Bufonidae,Bufo,bufo,,1756,3.244524512,37.378831,7.016360664,2.164352856,0.030292917,0,3.7378831,21.64352856,3.029291717,,,,,,,,,,,,,,,,,,,,,,,
Anura,Ceratophryidae,Ceratophrys,cranwelli,,102,2.008600172,25.316761,5.937465733,1.84509804,0.012514206,0,2.5316761,18.4509804,1.251420568,,,,,,,,,,,,,,,,,,,,,,,
Anura,Microhylidae,Cophixalus,ornatus,2.2216921,304.7851265,2.48399377,17.806672,4.169409898,1.51851394,0.016367747,0,1.7806672,15.1851394,1.63677471,0.22216921,0.11,-0.958607315,0.045322979,,,,,,,,,,,,,,,,,,,
